Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,9770.65,9827.65,9662.50,9734.15,9702.512494014191807061,45942,2650,445752829.00,37916,82.53,165.15,-36.50
31-July-2024,9568.80,9680.00,9568.80,9663.35,9643.028072289156626506,8300,2168,80037133.00,5706,68.75,111.20,94.55
30-July-2024,9500.75,9651.00,9500.75,9568.75,9568.293242036320333432,13436,1348,128559588.00,10104,75.20,150.25,68.00
29-July-2024,9522.00,9615.00,9505.90,9555.55,9552.904314046207319566,4891,1532,46723255.00,3131,64.02,109.10,33.55
26-July-2024,9280.15,9503.00,9267.50,9493.60,9440.615610859728506787,8840,2367,83455042.00,5624,63.62,235.50,213.45
25-July-2024,9251.00,9308.55,9180.95,9280.10,9272.960913705583756345,3940,1263,36535466.00,1703,43.22,127.60,29.10
24-July-2024,9351.00,9371.65,9250.00,9262.45,9290.274606935171225500,18572,4061,172538980.00,15667,84.36,121.65,-88.55
23-July-2024,9425.05,9508.20,8746.25,9378.25,9260.450105328860107669,12817,4015,118691189.00,3985,31.09,761.95,-46.80
22-July-2024,9384.30,9430.00,9265.00,9413.15,9391.589100942745458726,13047,2287,122532063.00,9323,71.46,165.00,28.85
19-July-2024,9606.25,9671.90,9350.00,9384.90,9552.672460048991018313,8573,2064,81895061.00,3116,36.35,321.90,-221.35
18-July-2024,9778.95,9778.95,9295.50,9625.70,9451.464665278842993316,45635,7123,431317590.00,17894,39.21,483.45,-153.25
16-July-2024,9749.85,9909.95,9631.10,9707.90,9775.200980704324014519,31406,6697,306999962.00,9186,29.25,278.85,-41.95
15-July-2024,9460.95,9737.50,9406.50,9675.50,9642.678442207749490165,15201,2849,146578355.00,4830,31.77,331.00,214.55
12-July-2024,9475.70,9551.45,9413.80,9428.55,9479.637789203084832904,3890,1430,36875791.00,1781,45.78,137.65,-47.15
11-July-2024,9540.85,9542.00,9385.00,9472.20,9438.422148760330578512,6050,1747,57102454.00,1975,32.64,157.00,-68.65
10-July-2024,9541.00,9649.35,9456.05,9540.85,9558.048682447521214828,8956,2482,85601884.00,3059,34.16,193.30,-0.15
9-July-2024,9527.95,9568.25,9480.45,9540.55,9515.734439834024896265,5061,1399,48159132.00,3217,63.56,87.80,12.60
8-July-2024,9669.95,9669.95,9470.00,9527.90,9566.184916828247780385,9799,2665,93739046.00,4345,44.34,199.95,-142.05
5-July-2024,9550.10,9659.95,9495.00,9636.25,9583.900502583207394650,28453,4952,272690721.00,7476,26.27,164.95,86.15
4-July-2024,9499.95,9500.00,9425.90,9467.40,9456.779333210536010314,5429,1689,51340855.00,2524,46.49,74.10,-32.55
3-July-2024,9450.40,9550.60,9386.00,9424.40,9455.538508682328907048,4895,1386,46284861.00,1368,27.95,164.60,-26.00
2-July-2024,9530.00,9530.00,9377.45,9398.45,9433.733951497860199714,5608,1628,52904380.00,2198,39.19,152.55,-131.55
1-July-2024,9500.00,9696.55,9500.00,9526.30,9593.462013295346628679,4212,1373,40407662.00,1386,32.91,196.55,26.30
28-June-2024,9430.50,9519.90,9386.50,9499.10,9456.308066083576287657,7203,1626,68113787.00,3150,43.73,133.40,68.60
27-June-2024,9525.05,9545.00,9365.80,9418.35,9426.061544991511035653,9424,2612,88831204.00,3304,35.06,179.20,-106.70
26-June-2024,9723.95,9723.95,9450.00,9477.45,9509.918777943368107302,9394,2087,89336177.00,3785,40.29,273.95,-246.50
25-June-2024,9741.80,9825.00,9641.30,9656.30,9729.570577014783023366,4194,1203,40805819.00,1202,28.66,183.70,-85.50
24-June-2024,9580.25,9758.00,9535.00,9745.15,9693.852446627621386737,5293,1500,51309561.00,2485,46.95,223.00,164.90
21-June-2024,9685.00,9725.00,9575.00,9599.55,9647.930878859857482185,4210,1355,40617789.00,2032,48.27,150.00,-85.45
20-June-2024,9699.75,9706.00,9564.85,9632.15,9627.481977932161830813,12235,2179,117792242.00,4066,33.23,141.15,-67.60
19-June-2024,9925.00,9944.55,9671.10,9687.75,9788.961194029850746268,5360,1803,52468832.00,1950,36.38,273.45,-237.25
18-June-2024,9943.00,10037.30,9906.60,9917.35,9959.597476340694006309,4755,1416,47357886.00,2278,47.91,130.70,-25.65
14-June-2024,9850.95,9990.50,9818.25,9959.10,9933.707687921695334030,10523,2589,104532406.00,6844,65.04,172.25,108.15
13-June-2024,9937.65,9941.75,9825.00,9921.75,9881.080021578852724330,5561,1742,54948686.00,2059,37.03,116.75,-15.90
12-June-2024,9889.45,9944.95,9798.85,9903.35,9867.661526104417670682,6225,1792,61426193.00,2202,35.37,146.10,13.90
11-June-2024,9749.95,9897.15,9701.05,9811.15,9807.033904229290457881,5722,1829,56115848.00,2280,39.85,196.10,61.20
10-June-2024,9750.25,9926.20,9685.30,9728.45,9775.358142137660884163,5361,1806,52405695.00,2007,37.44,240.90,-21.80
7-June-2024,9685.00,9738.30,9606.45,9723.20,9687.658809936452917388,8655,2442,83846687.00,4249,49.09,131.85,38.20
6-June-2024,9659.00,9739.00,9456.05,9701.90,9632.579609544468546637,6915,2071,66609288.00,2272,32.86,282.95,42.90
5-June-2024,9188.75,9675.05,9180.00,9600.40,9482.186683502501092710,20591,6642,195247706.00,10778,52.34,495.05,411.65
4-June-2024,9300.95,9370.35,8805.95,9265.65,9122.063517268757443429,17633,5367,160849346.00,4432,25.13,564.40,-35.30
3-June-2024,9175.00,9440.00,9135.05,9332.40,9335.146030175612169181,20215,4219,188709977.00,11317,55.98,304.95,157.40
31-May-2024,8981.65,9127.05,8925.00,9082.45,9015.766315189512681675,3509,1046,31636324.00,1213,34.57,202.05,100.80
30-May-2024,9072.00,9145.80,8935.05,8967.15,9040.350079744816586921,5016,1273,45346396.00,1594,31.78,210.75,-104.85
29-May-2024,8900.40,9135.00,8900.40,9066.70,9044.010000000000000000,6400,1055,57881664.00,2649,41.39,234.60,166.30
28-May-2024,9000.10,9015.00,8919.55,8986.10,8967.906166730110392082,5254,1334,47117379.00,2182,41.53,95.45,-14.00
27-May-2024,8981.40,9067.00,8888.00,9000.10,8991.269260499871167224,11643,2635,104685348.00,4682,40.21,179.00,18.70
24-May-2024,8970.15,9020.90,8870.65,8951.60,8964.218791884272311318,21637,3513,193958802.00,11008,50.88,150.25,-18.55
23-May-2024,8826.85,8984.85,8759.55,8967.40,8881.453165881737310308,5733,1549,50917371.00,1764,30.77,225.30,140.55
22-May-2024,8821.05,8843.45,8737.30,8804.80,8792.540735400144196106,2774,735,24390508.00,897,32.34,106.15,-16.25
21-May-2024,8810.00,8859.00,8780.00,8818.75,8816.535815002820078962,3546,1052,31263436.00,757,21.35,79.00,8.75
18-May-2024,8806.75,8955.95,8791.70,8812.90,8820.000000000000000000,713,144,6288660.00,359,50.35,164.25,6.15
17-May-2024,8881.15,8951.25,8766.00,8779.40,8837.051861242364872651,8677,1937,76679099.00,2917,33.62,185.25,-101.75
16-May-2024,8989.95,8989.95,8712.00,8874.85,8831.508944775732434534,7714,1899,68126260.00,2012,26.08,277.95,-115.10
15-May-2024,9068.75,9120.00,8880.00,8903.00,8970.474046677719678612,7841,2205,70337487.00,3550,45.27,240.00,-165.75
14-May-2024,8960.55,9089.10,8888.00,9068.10,9005.947264856355765446,7623,2114,68652336.00,3627,47.58,201.10,107.55
13-May-2024,9000.50,9020.00,8867.05,8993.85,8946.881099922540666150,7746,2050,69302541.00,3979,51.37,152.95,-6.65
10-May-2024,8929.10,9045.00,8902.70,8983.15,8975.298423527242555545,10847,2342,97355062.00,2566,23.66,142.30,54.05
9-May-2024,8760.05,9000.00,8760.05,8845.25,8889.817611777535441657,18340,4185,163039255.00,6610,36.04,239.95,85.20
8-May-2024,8674.85,8780.00,8591.30,8750.70,8708.537231206682068597,11254,2498,98005878.00,4039,35.89,188.70,75.85
7-May-2024,9064.65,9085.00,8641.55,8678.60,8786.334809767177739920,8805,2323,77363678.00,3073,34.90,443.45,-386.05
6-May-2024,9199.95,9199.95,8813.05,9048.65,8976.487158357368493338,7281,1872,65357803.00,1436,19.72,386.90,-151.30
3-May-2024,9115.85,9252.50,9080.00,9098.75,9178.798402066015656524,12391,2499,113734491.00,2523,20.36,172.50,-17.10
2-May-2024,8934.95,9142.00,8823.75,9103.80,9063.675387019946412622,26872,6173,243559085.00,14519,54.03,318.25,168.85
30-April-2024,8808.75,8964.60,8800.00,8907.75,8904.704457485329004869,8009,1549,71317778.00,1865,23.29,164.60,99.00
29-April-2024,8965.95,8992.20,8734.85,8759.80,8815.034265103697024346,7763,1699,68431111.00,2999,38.63,257.35,-206.15
26-April-2024,8730.40,8989.00,8730.40,8965.50,8917.179391905389747892,25029,4828,223188083.00,9857,39.38,258.60,235.10
25-April-2024,8691.70,8768.35,8643.10,8738.65,8704.826177285318559556,10108,1917,87988383.00,3365,33.29,125.25,46.95
24-April-2024,8821.05,8870.00,8663.65,8682.90,8765.637488106565176022,8408,1306,73701480.00,3329,39.59,206.35,-138.15
23-April-2024,8874.30,8874.30,8760.00,8792.75,8789.496841101442365001,8389,1567,73735089.00,2571,30.65,114.30,-81.55
22-April-2024,8910.55,8910.55,8748.05,8792.60,8806.450315641805003507,12831,1862,112995564.00,3266,25.45,162.50,-117.95
19-April-2024,9094.50,9094.50,8700.05,8795.45,8810.380223976158878722,42951,7000,378414641.00,7326,17.06,394.45,-299.05
18-April-2024,8979.35,9125.00,8955.05,9017.75,9048.106826149721592080,14547,2897,131622810.00,1966,13.51,169.95,38.40
16-April-2024,8951.00,9026.30,8787.00,8918.70,8896.846714285714285714,7000,1871,62277927.00,1586,22.66,239.30,-32.30
15-April-2024,8700.05,9174.95,8700.05,8995.80,9023.860752386299831555,14248,3431,128571968.00,6468,45.40,474.90,295.75
12-April-2024,8989.40,9117.70,8929.05,9070.70,9068.799611704340590764,7211,1602,65395114.00,1775,24.62,188.65,81.30
10-April-2024,9025.60,9048.10,8905.00,9003.00,8969.576384895533831704,5217,1265,46794280.00,1158,22.20,143.10,-22.60
9-April-2024,9045.65,9130.45,8940.00,8977.65,9029.008861756597085466,5078,1070,45849307.00,1509,29.72,190.45,-68.00
8-April-2024,9015.05,9087.00,8952.25,9028.40,9021.309946130600446721,7611,1441,68661190.00,1678,22.05,134.75,13.35
5-April-2024,9142.25,9142.25,9000.05,9008.65,9032.175040758855787757,6747,1467,60940085.00,3120,46.24,142.20,-133.60
