Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,5499.00,5499.00,5324.35,5369.85,5393.104101910828025477,19625,4350,105839668.00,8603,43.84,174.65,-129.15
31-July-2024,5425.20,5535.00,5405.20,5493.45,5475.874260758802656719,10991,2691,60185334.00,4879,44.39,129.80,68.25
30-July-2024,5454.00,5548.00,5420.00,5446.90,5492.251649053124335059,14099,3151,77435256.00,7095,50.32,128.00,-7.10
29-July-2024,5477.05,5532.45,5395.50,5425.15,5435.118415386823596957,6967,1489,37866470.00,3220,46.22,136.95,-51.90
26-July-2024,5410.00,5545.00,5396.10,5475.45,5491.407813170962662820,90821,10437,498735149.00,79818,87.88,148.90,65.45
25-July-2024,5408.30,5449.00,5347.60,5404.25,5391.878307900328375507,5177,1443,27913754.00,1396,26.97,101.40,-4.05
24-July-2024,5529.55,5529.55,5405.00,5408.30,5425.699549067918739249,21511,3456,116712223.00,13546,62.97,124.55,-121.25
23-July-2024,5499.95,5658.55,5334.65,5511.60,5537.740952090326518156,32770,6694,181471771.00,9406,28.70,323.90,11.65
22-July-2024,5437.85,5491.50,5390.45,5464.05,5452.569767441860465116,3956,1196,21570366.00,1278,32.31,101.05,26.20
19-July-2024,5510.75,5511.75,5370.50,5423.80,5422.030579339486267096,8993,2366,48760321.00,4862,54.06,141.25,-86.95
18-July-2024,5572.00,5572.00,5418.00,5504.60,5485.743054595715272978,7235,1957,39689351.00,2034,28.11,154.00,-67.40
16-July-2024,5625.00,5656.00,5564.50,5572.85,5593.597537369609635444,18598,2059,104029727.00,13343,71.74,91.50,-52.15
15-July-2024,5589.60,5638.00,5533.75,5605.70,5603.825346673687905915,11394,1671,63849986.00,7162,62.86,104.25,16.10
12-July-2024,5548.95,5600.00,5511.00,5546.40,5551.269211576846307385,4008,831,22249487.00,847,21.13,89.00,-2.55
11-July-2024,5500.00,5551.75,5500.00,5521.85,5522.154355384102490832,20997,1795,115948675.00,16512,78.64,51.75,21.85
10-July-2024,5599.15,5650.00,5471.15,5507.45,5537.207078925956061838,7374,2083,40831365.00,2491,33.78,178.85,-91.70
9-July-2024,5553.95,5600.00,5506.90,5587.55,5542.338089758342922899,21725,3513,120407295.00,15380,70.79,93.10,33.60
8-July-2024,5540.05,5626.00,5490.00,5499.40,5567.667677424012706663,13851,2792,77117765.00,5806,41.92,136.00,-40.65
5-July-2024,5530.75,5595.00,5381.25,5563.10,5549.418120679113953816,42526,5519,235994555.00,27436,64.52,213.75,32.35
4-July-2024,5600.00,5600.00,5532.00,5559.15,5561.461476365593326755,11149,2086,62004734.00,7106,63.74,68.00,-40.85
3-July-2024,5587.15,5623.60,5555.00,5578.35,5580.874973952906855594,4799,1076,26782619.00,1557,32.44,68.60,-8.80
2-July-2024,5698.50,5698.50,5502.50,5564.00,5591.486753427841041134,17212,2586,96240670.00,3918,22.76,196.00,-134.50
1-July-2024,5603.00,5725.00,5583.80,5602.25,5620.348913997520096966,71777,6623,403411784.00,47753,66.53,141.20,-0.75
28-June-2024,5470.95,5603.20,5454.60,5580.80,5550.390619013737616988,18271,3355,101411187.00,8439,46.19,148.60,109.85
27-June-2024,5500.00,5506.40,5422.00,5486.20,5458.940371273204575285,5333,1549,29112529.00,1743,32.68,84.40,-13.80
26-June-2024,5530.00,5530.00,5426.45,5450.70,5464.493797381116471399,8706,2191,47573883.00,3830,43.99,103.55,-79.30
25-June-2024,5555.00,5577.00,5474.00,5513.55,5543.772558544521332661,21821,3037,120970661.00,14082,64.53,103.00,-41.45
24-June-2024,5445.00,5533.70,5395.25,5525.25,5471.021634318209914698,8089,1824,44255094.00,1800,22.25,138.45,80.25
21-June-2024,5555.00,5612.00,5434.95,5451.90,5532.594596862152865173,23838,3910,131885990.00,8542,35.83,177.05,-103.10
20-June-2024,5679.95,5679.95,5496.35,5505.25,5560.814727075313394531,10131,2276,56336614.00,3586,35.40,183.60,-174.70
19-June-2024,5769.00,5774.75,5627.75,5644.40,5690.415031047034472914,14011,3718,79728405.00,5738,40.95,147.00,-124.60
18-June-2024,5809.95,5894.30,5737.65,5756.10,5811.754605694312968761,13733,2855,79812826.00,5859,42.66,156.65,-53.85
14-June-2024,5813.25,5863.10,5762.00,5810.80,5813.491891767202602016,43351,4804,252020687.00,35228,81.26,101.10,-2.45
13-June-2024,5829.45,5837.20,5732.05,5814.55,5811.160586109598534726,20201,2288,117391255.00,14940,73.96,105.15,-14.90
12-June-2024,5800.00,5859.00,5778.00,5789.90,5811.127746077032810271,14020,2451,81472011.00,5249,37.44,81.00,-10.10
11-June-2024,5720.45,5846.75,5704.90,5787.55,5813.915565811622799683,89703,2987,521525668.00,73437,81.87,141.85,67.10
10-June-2024,5629.75,5786.40,5582.15,5718.80,5746.802660753880266075,35178,5330,202161024.00,19697,55.99,204.25,89.05
7-June-2024,5599.15,5636.35,5540.00,5573.65,5580.066717828193198714,20849,2601,116338811.00,12492,59.92,96.35,-25.50
6-June-2024,5635.05,5734.30,5474.70,5534.10,5554.041620382406466403,42311,7556,234997055.00,22294,52.69,259.60,-100.95
5-June-2024,5285.20,5777.40,5285.20,5673.10,5618.844508290044830285,112424,15053,631692975.00,63120,56.14,492.20,387.90
4-June-2024,5199.95,5343.65,4916.20,5311.85,5190.921397772188286022,33396,5602,173356011.00,5587,16.73,427.45,111.90
3-June-2024,5200.10,5305.45,5153.35,5159.85,5215.586827342082731652,78253,4796,408135316.00,59260,75.73,152.10,-40.25
31-May-2024,5185.25,5197.80,5003.00,5119.60,5096.071551955779048788,26051,3724,132757760.00,9369,35.96,194.80,-65.65
30-May-2024,5141.50,5186.65,5095.05,5142.45,5150.945063538611925708,5115,1208,26347084.00,1025,20.04,91.60,0.95
29-May-2024,5177.00,5200.00,5105.05,5141.50,5148.789337240757439134,8872,1996,45680059.00,4115,46.38,94.95,-35.50
28-May-2024,5056.05,5225.00,5050.00,5186.85,5179.608375646340895327,21467,2592,111190653.00,10074,46.93,175.00,130.80
27-May-2024,5120.00,5134.30,5051.05,5080.05,5090.988302752293577981,4360,1175,22196709.00,1313,30.11,83.25,-39.95
24-May-2024,5100.00,5196.00,5078.65,5116.35,5134.332351960893234085,18002,3029,92428251.00,6373,35.40,117.35,16.35
23-May-2024,5012.80,5155.20,4964.00,5146.00,5075.605735688319318473,27233,4168,138223971.00,11955,43.90,191.20,133.20
22-May-2024,5055.15,5055.15,4968.00,4996.00,5001.013401109057301293,8656,1315,43288772.00,2591,29.93,87.15,-59.15
21-May-2024,5100.00,5114.45,5030.90,5047.35,5078.879940063682337516,5339,1114,27116140.00,1383,25.90,83.55,-52.65
18-May-2024,5091.60,5132.00,5091.60,5102.75,5111.557644110275689223,3990,654,20395115.00,2622,65.71,40.40,11.15
17-May-2024,5129.80,5167.70,5074.20,5090.70,5115.456845063824803841,17078,2662,87361772.00,6948,40.68,93.50,-39.10
16-May-2024,5040.00,5153.95,5040.00,5141.35,5101.278800977259913550,10642,1928,54287809.00,1965,18.46,113.95,101.35
15-May-2024,5051.00,5100.20,5021.85,5056.50,5060.712891724526177519,10658,1599,53937078.00,2225,20.88,78.35,5.50
14-May-2024,4920.00,5050.00,4904.70,5041.90,5005.948127211354670787,49178,6334,246182517.00,16848,34.26,145.30,121.90
13-May-2024,4912.95,4912.95,4732.20,4887.95,4815.734879384687099405,17162,2285,82647642.00,2939,17.12,180.75,-25.00
10-May-2024,4780.00,4952.25,4778.50,4877.25,4897.627106921461140427,78076,24560,382387134.00,21898,28.05,173.75,97.25
9-May-2024,4631.90,4919.85,4631.90,4762.15,4819.158425131181151614,172662,16107,832085532.00,54464,31.54,287.95,130.25
8-May-2024,4502.75,4661.25,4415.00,4624.35,4565.575079019744673863,48722,6195,222443949.00,10221,20.98,246.25,121.60
