Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,13400.00,13675.00,13120.00,13349.00,13411.714596129331324603,69032,13483,925837482.00,18320,26.54,555.00,-51.00
31-July-2024,12985.00,13390.00,12898.45,13167.95,13004.173390540889498043,50343,10280,654669101.00,31232,62.04,491.55,182.95
30-July-2024,12763.85,12962.00,12704.05,12874.50,12856.546730984580928589,11609,3218,149251651.00,5250,45.22,257.95,110.65
29-July-2024,12680.25,12775.00,12610.00,12763.80,12738.636742653486651872,14871,3095,189436267.00,8347,56.13,165.00,83.55
26-July-2024,12501.10,12743.00,12390.00,12677.90,12622.374710759737755495,20744,5066,261838541.00,4570,22.03,353.00,176.80
25-July-2024,12399.00,12525.00,12398.95,12501.15,12458.657754010695187165,17204,5981,214338748.00,11086,64.44,126.05,102.15
24-July-2024,12630.25,12665.80,12465.00,12493.45,12529.306882761523889707,4751,1587,59526737.00,1328,27.95,200.80,-136.80
23-July-2024,12690.00,12730.00,12356.85,12626.65,12613.383047745799367825,12022,4477,151638091.00,3163,26.31,373.15,-63.35
22-July-2024,12497.00,12655.00,12406.95,12641.65,12552.443515541264737406,4665,1723,58557149.00,1521,32.60,248.05,144.65
19-July-2024,12688.00,12703.00,12495.10,12521.50,12568.680554416468465512,36579,11206,459749766.00,9865,26.97,207.90,-166.50
18-July-2024,12640.00,12675.00,12470.00,12651.65,12575.984359130611415803,14769,4623,185734713.00,4302,29.13,205.00,11.65
16-July-2024,12643.00,12790.45,12585.60,12628.80,12666.883504193849021435,5365,1539,67957830.00,1357,25.29,204.85,-14.20
15-July-2024,12590.25,12767.90,12590.25,12641.55,12675.951935401179184824,7802,2438,98897777.00,2257,28.93,177.65,51.30
12-July-2024,12704.95,12704.95,12471.95,12557.40,12567.025633100492468731,48531,12542,609890321.00,7609,15.68,233.00,-147.55
11-July-2024,12844.05,12917.00,12696.00,12713.25,12802.273910104765123352,17754,4638,227291571.00,4753,26.77,221.00,-130.80
10-July-2024,12998.25,13299.75,12740.00,12774.15,13045.033881961762261014,60150,12504,784658788.00,9171,15.25,559.75,-224.10
9-July-2024,12205.05,12955.00,12205.05,12820.20,12686.292178471333171862,115604,22373,1466586121.00,51022,44.14,749.95,615.15
8-July-2024,12090.05,12117.95,11964.05,12026.00,12024.493120495562570730,16789,4787,201879215.00,8468,50.44,153.90,-64.05
5-July-2024,12079.95,12134.70,12025.00,12106.50,12086.333130328867235079,19704,8961,238149108.00,3867,19.63,109.70,26.55
4-July-2024,12025.05,12208.95,12025.05,12085.40,12119.611093552465233881,6328,2163,76692899.00,2556,40.39,183.90,60.35
3-July-2024,12098.95,12143.40,11960.35,12121.35,12083.639121841781956092,18721,3291,226217808.00,11697,62.48,183.05,22.40
2-July-2024,12115.45,12149.00,12000.00,12039.30,12046.807849345887842679,12001,2986,144573741.00,7494,62.44,149.00,-76.15
