Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1166.85,1176.30,1136.55,1144.60,1153.245551803569319814,668979,17023,771497056.00,152914,22.86,39.75,-22.25
31-July-2024,1168.80,1168.80,1145.80,1156.35,1154.717021427549293945,831593,27058,960254592.00,317097,38.13,23.00,-12.45
30-July-2024,1124.05,1179.05,1118.55,1162.25,1160.804013903400837439,902513,22607,1047640713.00,237537,26.32,60.50,38.20
29-July-2024,1122.85,1140.00,1118.40,1123.85,1126.669444271799834853,901016,45728,1015147196.00,338826,37.60,21.60,1.00
26-July-2024,1105.05,1120.00,1083.25,1118.40,1103.642865680604917990,1731805,52789,1911294233.00,648379,37.44,36.75,13.35
25-July-2024,1027.65,1094.10,1026.10,1091.05,1073.620950009040483870,1371608,43853,1472587084.00,372399,27.15,68.00,63.40
24-July-2024,999.00,1034.00,994.85,1027.65,1023.772376900599843320,349758,10416,358072579.00,121143,34.64,39.15,28.65
23-July-2024,1005.55,1008.25,967.05,1001.35,993.071562368703608608,342736,12525,340361375.00,93992,27.42,41.20,-4.20
22-July-2024,989.85,1008.00,977.00,1002.90,994.601420448904215675,302158,9418,300526776.00,91449,30.27,31.00,13.05
19-July-2024,1024.75,1024.75,986.55,989.90,1002.459155018630317380,917322,41393,919577837.00,396008,43.17,38.20,-34.85
18-July-2024,1022.20,1026.85,1007.85,1025.10,1018.425195802800233877,285619,10493,290881586.00,115757,40.53,19.00,2.90
16-July-2024,1025.75,1029.50,1019.35,1021.10,1023.664620415051551828,189615,6346,194102167.00,75056,39.58,10.15,-4.65
15-July-2024,1020.45,1029.55,1017.20,1024.30,1025.393414157424433333,224603,7500,230306437.00,103881,46.25,12.35,3.85
12-July-2024,1022.65,1025.85,1014.45,1016.60,1020.397258478009853430,633079,22535,645992076.00,233297,36.85,11.40,-6.05
11-July-2024,1008.90,1025.45,1007.60,1020.75,1019.986589336537205304,390361,13486,398162985.00,188804,48.37,17.85,11.85
10-July-2024,1016.80,1020.00,986.80,1005.45,1005.582113218308854983,350650,10697,352607368.00,111124,31.69,33.20,-11.35
9-July-2024,1002.25,1017.35,998.20,1014.75,1010.338755335879577623,378335,10667,382246513.00,169092,44.69,19.15,12.50
8-July-2024,1003.50,1016.00,996.30,1002.35,1006.527358138657856226,1219765,41416,1227726843.00,744655,61.05,19.70,-1.15
5-July-2024,999.75,1006.00,990.00,993.70,996.622946369636963696,1212000,42942,1207907011.00,498940,41.17,16.00,-6.05
4-July-2024,984.40,1004.00,980.00,999.05,993.386352331828323985,1353037,38010,1344088490.00,793493,58.65,24.00,14.65
3-July-2024,984.05,986.85,974.00,975.65,977.391480209091597798,303599,10437,296735076.00,109354,36.02,12.85,-8.40
2-July-2024,1005.05,1005.05,979.45,980.95,987.865575164900768964,757122,19144,747934760.00,325735,43.02,25.60,-24.10
1-July-2024,990.00,1005.00,985.20,1001.65,996.035309660204138754,1339775,50073,1334463207.00,898956,67.10,19.80,11.65
28-June-2024,975.00,998.60,972.10,990.10,990.796154432787434354,1337488,36705,1325177967.00,625218,46.75,26.50,15.10
27-June-2024,952.70,974.70,948.50,972.00,957.325460657174496045,762172,14934,729646661.00,487400,63.95,26.20,19.30
26-June-2024,956.00,962.25,950.00,951.75,955.332776913215298506,415753,11270,397182468.00,238429,57.35,12.25,-4.25
25-June-2024,960.00,963.35,949.50,954.85,954.293271488216855543,630392,25132,601578844.00,296720,47.07,13.85,-5.15
24-June-2024,961.95,963.40,950.15,958.25,957.907311086910586284,246092,9678,235733326.00,95643,38.86,13.25,-3.70
21-June-2024,979.90,981.00,958.00,961.05,966.131979824346378165,905646,29583,874973563.00,212071,23.42,23.00,-18.85
