Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,2530.00,2600.55,2521.70,2584.90,2582.821607266569163266,25982,3295,67106871.00,5771,22.21,78.85,54.90
31-July-2024,2507.90,2555.55,2499.90,2530.15,2551.518968187633937943,252449,1587,644128412.00,244730,96.94,55.65,22.25
30-July-2024,2477.20,2510.90,2471.60,2495.95,2497.642374247968740308,16123,2321,40269488.00,9902,61.42,39.30,18.75
29-July-2024,2544.45,2544.45,2467.10,2486.00,2492.718031837916063675,17275,1899,43061704.00,6677,38.65,77.35,-58.45
26-July-2024,2450.00,2528.00,2439.80,2506.90,2501.862450774817163606,39106,3964,97837833.00,21300,54.47,88.20,56.90
25-July-2024,2449.50,2458.00,2422.00,2449.45,2441.006579849211788896,7295,1208,17807143.00,2333,31.98,36.00,-0.05
24-July-2024,2489.95,2489.95,2422.00,2448.40,2441.732624466965719665,18057,2250,44090366.00,6761,37.44,67.95,-41.55
23-July-2024,2433.20,2489.00,2359.45,2473.00,2432.767298290689790529,28023,4106,68173438.00,8885,31.71,129.55,39.80
22-July-2024,2400.05,2441.00,2369.85,2423.20,2417.671460892049127343,18564,2670,44881653.00,7861,42.35,71.15,23.15
19-July-2024,2406.40,2418.35,2371.00,2405.30,2393.220220191816582486,35242,2351,84341867.00,27193,77.16,47.35,-1.10
18-July-2024,2459.00,2464.50,2382.50,2405.60,2402.673890622348133738,76597,7824,184037612.00,55207,72.07,82.00,-53.40
16-July-2024,2451.15,2472.20,2436.75,2457.80,2458.851985559566787003,3878,740,9535428.00,1671,43.09,35.45,6.65
15-July-2024,2440.45,2455.55,2425.00,2449.65,2443.021365638766519823,4540,879,11091317.00,1585,34.91,30.55,9.20
12-July-2024,2476.10,2485.00,2425.15,2438.00,2445.717725173210161662,17320,2100,42359831.00,6840,39.49,59.85,-38.10
11-July-2024,2442.70,2490.60,2442.70,2476.05,2477.804132763566118363,17083,2431,42328328.00,7268,42.55,47.90,33.35
10-July-2024,2442.30,2476.00,2407.20,2437.75,2443.758673840337356405,34385,4443,84028642.00,21422,62.30,68.80,-4.55
9-July-2024,2400.00,2447.45,2399.05,2438.30,2425.615168685100701537,211963,2673,514140668.00,200007,94.36,48.40,38.30
8-July-2024,2448.00,2448.00,2383.00,2397.30,2415.746920429962899447,178434,4513,431051386.00,158110,88.61,65.00,-50.70
5-July-2024,2377.15,2439.00,2368.00,2430.95,2421.889632566649895111,880459,6876,2132374524.00,835189,94.86,71.00,53.80
4-July-2024,2320.00,2392.40,2317.45,2366.90,2338.111530668631423834,401746,4966,939326955.00,368663,91.77,74.95,46.90
3-July-2024,2330.40,2374.00,2301.80,2315.90,2338.577008587994245607,22939,3356,53644618.00,12780,55.71,72.20,-14.50
2-July-2024,2355.00,2369.20,2316.00,2338.95,2344.106710899163729352,14469,1987,33916880.00,7155,49.45,53.20,-16.05
1-July-2024,2365.00,2387.00,2343.05,2354.45,2366.186280752532561505,17275,3141,40875868.00,6053,35.04,43.95,-10.55
28-June-2024,2390.00,2390.00,2328.10,2365.00,2348.245465538089480048,6616,1451,15535992.00,2010,30.38,61.90,-25.00
27-June-2024,2379.95,2403.80,2335.85,2343.10,2366.683529996835299968,22119,3187,52348673.00,9349,42.27,67.95,-36.85
26-June-2024,2418.05,2418.05,2347.65,2377.20,2369.458003420535883955,31574,4194,74813267.00,15953,50.53,70.40,-40.85
25-June-2024,2438.05,2483.35,2408.00,2415.65,2444.824165082812924246,18415,2361,45021437.00,9111,49.48,75.35,-22.40
24-June-2024,2433.00,2461.95,2428.20,2438.10,2444.546296296296296296,5616,989,13728572.00,1903,33.89,33.75,5.10
21-June-2024,2444.95,2468.00,2428.00,2434.15,2444.143601772217878550,7674,1156,18756358.00,2567,33.45,40.00,-10.80
20-June-2024,2438.50,2449.90,2388.50,2425.70,2413.320234632075921598,20969,3125,50604912.00,7654,36.50,61.40,-12.80
19-June-2024,2477.40,2477.40,2431.00,2437.90,2452.164599127038823799,8706,1465,21348545.00,2440,28.03,46.40,-39.50
18-June-2024,2524.95,2524.95,2453.00,2468.70,2476.286737089201877934,17040,1861,42195926.00,4940,28.99,71.95,-56.25
14-June-2024,2442.25,2518.55,2441.50,2502.40,2486.051339973303213882,29217,2819,72634962.00,14743,50.46,77.05,60.15
13-June-2024,2421.05,2461.80,2420.00,2441.95,2437.918159243408886775,18927,2229,46142477.00,10691,56.49,41.80,20.90
