Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1167.45,1175.50,1165.50,1172.20,1170.421953150526553899,159148,6507,186270313.00,63534,39.92,10.00,4.75
31-July-2024,1164.45,1170.85,1154.10,1166.20,1162.726524848540062861,109765,4161,127626677.00,34853,31.75,16.75,1.75
30-July-2024,1165.00,1179.95,1160.30,1169.85,1170.940200234730810018,1219269,8181,1427691087.00,1067154,87.52,19.65,4.85
29-July-2024,1183.95,1194.90,1164.00,1170.65,1175.520105330581453277,1334845,28376,1569137135.00,205742,15.41,30.90,-13.30
26-July-2024,1167.75,1183.20,1154.80,1177.60,1174.983638925057098337,468490,16529,550468085.00,95460,20.38,28.40,9.85
25-July-2024,1206.95,1206.95,1156.00,1175.35,1166.488164505161925395,626801,33023,731155948.00,233451,37.24,50.95,-31.60
24-July-2024,1263.00,1267.00,1227.00,1239.75,1243.584280551573761886,99062,4679,123191946.00,28759,29.03,40.00,-23.25
23-July-2024,1286.40,1291.35,1251.50,1262.80,1271.546476761619190404,128064,6718,162839328.00,36420,28.44,39.85,-23.60
22-July-2024,1288.85,1290.95,1278.50,1283.80,1284.528975916536216472,438226,13633,562913995.00,61179,13.96,12.45,-5.05
19-July-2024,1305.20,1305.90,1288.00,1292.10,1294.878435582047331599,395930,11416,512681219.00,54474,13.76,17.90,-13.10
18-July-2024,1300.00,1318.00,1294.80,1309.10,1308.187829184023306006,225178,9439,294575119.00,92225,40.96,23.20,9.10
16-July-2024,1307.65,1315.00,1300.05,1303.95,1304.348445115162910368,80842,3482,105446137.00,38460,47.57,14.95,-3.70
15-July-2024,1318.95,1324.55,1305.60,1307.65,1312.782804893446201680,1037551,33047,1362079112.00,159884,15.41,18.95,-11.30
12-July-2024,1291.65,1339.55,1291.65,1317.80,1320.589538947456090615,624354,20980,824515361.00,92435,14.80,47.90,26.15
11-July-2024,1299.00,1301.10,1276.60,1296.80,1290.826775130216128839,133624,4332,172485437.00,46622,34.89,24.50,-2.20
10-July-2024,1288.85,1294.00,1276.00,1292.10,1287.900385164937566006,64388,2241,82925330.00,21019,32.64,18.00,3.25
9-July-2024,1286.40,1292.25,1279.25,1289.05,1286.204047656209354352,38442,1645,49444256.00,12608,32.80,13.00,2.65
8-July-2024,1280.30,1297.95,1279.55,1287.35,1286.700628411112814122,300122,9990,386167166.00,36619,12.20,18.40,7.05
5-July-2024,1276.75,1295.00,1273.80,1287.30,1284.525610720038179323,536416,20513,689040090.00,77818,14.51,21.20,10.55
4-July-2024,1289.00,1292.90,1268.60,1280.25,1280.455723700268489138,81940,4051,104920542.00,19111,23.32,24.30,-8.75
3-July-2024,1255.20,1288.15,1243.05,1279.75,1275.780297301941914418,232760,8081,296950622.00,97349,41.82,45.10,24.55
2-July-2024,1264.90,1265.00,1238.90,1253.75,1251.440596516286782951,82613,3165,103385262.00,16337,19.78,26.10,-11.15
1-July-2024,1274.70,1274.70,1256.30,1261.70,1263.853853716796932995,606194,27083,766140623.00,69674,11.49,18.40,-13.00
28-June-2024,1288.85,1289.95,1261.45,1265.70,1270.000709876887703280,447965,18202,568915868.00,64317,14.36,28.50,-23.15
27-June-2024,1306.35,1308.55,1280.00,1288.85,1292.147748751073917332,314270,6772,406083273.00,204482,65.07,28.55,-17.50
26-June-2024,1277.05,1292.45,1259.40,1285.90,1274.403604839204929274,97702,3652,124511781.00,28604,29.28,33.05,8.85
25-June-2024,1239.65,1278.00,1226.05,1269.90,1258.330963951548560237,317101,12637,399018007.00,152532,48.10,51.95,30.25
24-June-2024,1235.45,1235.45,1225.30,1228.10,1228.521173702571868999,924425,27152,1135675686.00,103318,11.18,10.15,-7.35
21-June-2024,1245.05,1245.95,1223.40,1236.90,1232.380604905362541138,872963,28074,1075822670.00,172583,19.77,22.55,-8.15
20-June-2024,1233.95,1241.55,1220.40,1238.95,1233.576971881027306872,118212,5787,145823601.00,54149,45.81,21.15,5.00
19-June-2024,1194.90,1243.00,1186.65,1226.25,1216.982805574008678795,257409,8410,313262327.00,66085,25.67,56.35,31.35
18-June-2024,1190.00,1193.05,1181.40,1191.25,1187.933392820372022788,72845,2949,86535008.00,34707,47.64,11.65,1.25
