Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1621.40,1649.00,1619.00,1640.40,1633.400013287354074140,797751,26304,1303046494.00,450614,56.49,30.00,19.00
31-July-2024,1618.95,1627.50,1609.50,1617.05,1618.624859745545138162,157749,6722,255336453.00,50249,31.85,18.00,-1.90
30-July-2024,1603.00,1634.35,1600.00,1615.30,1617.057301802493705630,748685,25309,1210666546.00,334636,44.70,34.35,12.30
29-July-2024,1610.20,1631.70,1598.20,1606.75,1608.944120739095397629,2444610,47993,3933240887.00,314310,12.86,33.50,-3.45
26-July-2024,1603.95,1621.90,1596.55,1617.80,1614.071957084537968350,1012409,23665,1634100976.00,280296,27.69,25.35,13.85
25-July-2024,1594.30,1624.85,1594.30,1616.30,1613.057395127815563159,422562,17594,681616759.00,196896,46.60,30.55,22.00
24-July-2024,1615.75,1621.00,1588.50,1604.70,1603.518795188979885549,262647,20169,421159401.00,99072,37.72,32.50,-11.05
23-July-2024,1649.95,1649.95,1604.75,1618.00,1625.186405231460426399,290244,14521,471700603.00,101464,34.96,45.20,-31.95
22-July-2024,1615.05,1650.75,1613.00,1640.80,1639.017277426025667440,1582238,35317,2593315419.00,468638,29.62,37.75,25.75
19-July-2024,1618.50,1623.60,1603.15,1607.10,1609.033751262789697719,672123,20964,1081468592.00,214420,31.90,20.45,-11.40
18-July-2024,1607.40,1623.90,1598.85,1614.50,1613.418069643417337655,516402,25850,833172318.00,236145,45.73,25.05,7.10
16-July-2024,1620.00,1626.80,1617.00,1619.90,1622.600617196030954754,315945,15409,512652552.00,164080,51.93,9.80,-0.10
15-July-2024,1622.20,1630.00,1615.20,1622.10,1622.097516172772738964,1403439,43022,2276514916.00,378493,26.97,14.80,-0.10
12-July-2024,1622.00,1638.00,1611.30,1624.35,1627.626218832268558109,954192,28621,1553067917.00,186722,19.57,26.70,2.35
11-July-2024,1625.95,1625.95,1601.00,1621.70,1611.580396327243915733,711836,35430,1147180943.00,322881,45.36,24.95,-4.25
10-July-2024,1636.45,1640.00,1621.00,1626.25,1628.403742583015890749,653399,28982,1063997377.00,401553,61.46,19.00,-10.20
9-July-2024,1629.95,1646.80,1623.25,1636.50,1639.360925061236987140,209024,8534,342665778.00,74972,35.87,23.55,6.55
