Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,877.95,881.50,861.15,862.75,873.194719950786087784,516927,14957,451377927.00,231200,44.73,20.35,-15.20
31-July-2024,874.65,874.80,867.70,872.75,871.091159660507989424,320361,11392,279063635.00,138881,43.35,7.10,-1.90
30-July-2024,874.95,880.50,869.10,873.00,874.208549672184164878,510195,16205,446016831.00,222874,43.68,11.40,-1.95
29-July-2024,866.95,889.00,863.10,872.00,877.278138006474333890,2248880,39301,1972893259.00,506727,22.53,25.90,5.05
26-July-2024,847.95,864.60,844.45,862.95,858.923786206391683815,614705,14005,527984746.00,113912,18.53,20.15,15.00
25-July-2024,848.90,850.85,841.10,848.30,846.577610403905541343,490585,16931,415318277.00,186931,38.10,9.75,-0.60
24-July-2024,864.15,868.10,847.35,852.25,855.191932458385660828,625866,22697,535235554.00,269194,43.01,20.75,-11.90
23-July-2024,881.35,884.40,849.10,863.90,868.215080052151238591,958750,28754,832401208.00,367172,38.30,35.30,-17.45
22-July-2024,876.35,895.30,873.00,878.35,880.057088726060855075,1401888,26088,1233741472.00,608895,43.43,22.30,2.00
19-July-2024,896.35,898.80,883.05,889.20,890.185895385586527473,709711,20797,631774722.00,171222,24.13,15.75,-7.15
18-July-2024,880.70,894.75,877.10,893.40,888.737623520571106518,1064600,33807,946150074.00,509405,47.85,17.65,12.70
16-July-2024,882.20,888.00,874.55,880.85,880.268862515623413734,600861,15687,528919229.00,284235,47.30,13.45,-1.35
15-July-2024,860.00,886.90,860.00,881.60,877.291484792740688029,1981455,38874,1738313599.00,457983,23.11,26.90,21.60
12-July-2024,856.70,863.40,855.50,859.65,859.804425469524386783,905757,27825,778773877.00,185777,20.51,7.90,2.95
11-July-2024,854.70,858.00,849.55,856.55,854.776425872896466021,481214,13591,411330383.00,234959,48.83,8.45,1.85
10-July-2024,861.00,861.00,843.30,849.10,850.237566239040070710,479702,13772,407860661.00,202965,42.31,17.70,-11.90
9-July-2024,860.00,869.90,855.85,860.95,863.953641084018124062,758991,17611,655733038.00,367666,48.44,14.05,0.95
8-July-2024,859.50,864.80,852.90,856.25,858.023819385227595728,1108215,25496,950874867.00,419040,37.81,11.90,-3.25
5-July-2024,838.70,861.55,837.65,860.05,851.874760379550787529,1499246,36041,1277169827.00,576405,38.45,23.90,21.35
4-July-2024,844.60,844.60,834.50,839.25,840.520532392654404244,674690,18082,567090798.00,281623,41.74,10.10,-5.35
3-July-2024,829.70,843.80,825.05,840.10,836.710044371717650182,1672011,24351,1398988398.00,1060337,63.42,18.75,10.40
2-July-2024,844.85,846.45,822.85,826.35,833.039899485335095855,1099939,39563,916293074.00,548521,49.87,23.60,-18.50
