Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,457.55,470.50,448.40,451.30,460.517827663907264818,248967,5839,114653742.00,43844,17.61,22.10,-6.25
31-July-2024,449.85,456.50,439.35,451.10,449.231352259430909720,305962,6586,137447723.00,69454,22.70,17.15,1.25
30-July-2024,430.15,460.25,430.10,445.80,450.703844164462705066,512335,11118,230911354.00,129586,25.29,30.15,15.65
29-July-2024,442.00,448.25,427.40,432.95,435.833701618824516625,286010,8195,124652797.00,68249,23.86,20.85,-9.05
26-July-2024,448.05,451.05,436.70,443.00,442.887285420591014464,2439365,4967,1080363743.00,2318362,95.04,14.35,-5.05
25-July-2024,440.95,450.30,435.05,447.15,445.038914675313138491,900560,7116,400784245.00,747798,83.04,15.25,6.20
24-July-2024,430.35,445.35,426.80,443.95,439.326406603206205022,96438,3432,42367760.00,46391,48.10,18.55,13.60
23-July-2024,440.95,440.95,419.85,430.20,427.455735265417642466,81984,3704,35044531.00,26909,32.82,21.10,-10.75
22-July-2024,420.15,435.00,419.95,434.10,428.832967032967032967,32760,2532,14048568.00,10827,33.05,15.05,13.95
19-July-2024,434.00,436.70,422.60,427.45,429.401347574181367195,54023,2063,23197549.00,13402,24.81,14.10,-6.55
18-July-2024,433.00,433.00,416.35,431.65,425.291029243417629305,57654,3054,24519729.00,17533,30.41,16.65,-1.35
16-July-2024,432.35,435.95,427.50,430.00,432.470969740201231416,106544,3050,46077187.00,71848,67.44,8.45,-2.35
15-July-2024,437.40,437.40,428.40,431.55,431.913573610953943646,35348,1301,15267281.00,15220,43.06,9.00,-5.85
12-July-2024,425.35,437.70,422.65,431.50,432.939422368832531348,297387,6778,128750556.00,85546,28.77,15.05,6.15
11-July-2024,424.50,425.45,416.00,423.60,420.305657089425365521,47056,1970,19777903.00,10717,22.77,9.45,-0.90
10-July-2024,427.75,430.55,415.50,423.00,422.214804807602720581,85864,3765,36253052.00,30785,35.85,15.05,-4.75
9-July-2024,424.35,441.95,422.10,427.80,430.388859387552251405,220329,7071,94827147.00,65654,29.80,19.85,3.45
8-July-2024,411.00,423.05,409.55,420.65,420.221481826451424766,229757,4951,96548827.00,82015,35.70,13.50,9.65
5-July-2024,409.95,415.80,407.05,409.25,412.621858329913828477,77984,4033,32177903.00,31673,40.61,8.75,-0.70
4-July-2024,412.45,412.45,407.85,408.45,409.937153859896381285,151131,3213,61954212.00,27556,18.23,4.60,-4.00
3-July-2024,411.65,417.00,409.60,410.80,412.484066619041615889,71391,4699,29447650.00,34499,48.32,7.40,-0.85
2-July-2024,419.55,419.55,410.00,412.55,414.531593038821954484,224100,4408,92896530.00,88043,39.29,9.55,-7.00
1-July-2024,406.45,417.90,403.95,416.65,410.523787561217674420,585411,55979,240325141.00,458582,78.34,13.95,10.20
28-June-2024,420.85,420.85,404.40,405.40,411.130126838904195040,76948,2333,31635641.00,24424,31.74,16.45,-15.45
27-June-2024,424.65,428.70,415.65,417.50,420.121983558073086370,398980,1379,167620269.00,373285,93.56,13.05,-7.15
