Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1859.55,1864.70,1822.85,1836.40,1848.554208829089291671,17986,2033,33248096.00,10454,58.12,41.85,-23.15
31-July-2024,1837.90,1857.40,1820.25,1850.45,1841.943169155337642077,8974,1484,16529598.00,3318,36.97,37.15,12.55
30-July-2024,1832.70,1844.60,1813.00,1815.75,1823.070311101564457809,27933,4365,50923823.00,15496,55.48,31.60,-16.95
29-July-2024,1851.00,1862.15,1832.25,1838.05,1847.119205945628789360,10226,1370,18888641.00,4202,41.09,29.90,-12.95
26-July-2024,1848.00,1856.65,1825.95,1837.75,1839.877709267563527653,32112,2837,59082153.00,13295,41.40,30.70,-10.25
25-July-2024,1782.75,1838.85,1775.00,1831.05,1812.746153331549371153,29896,2888,54193859.00,16511,55.23,63.85,48.30
24-July-2024,1773.95,1799.00,1753.25,1792.30,1781.527671135786427263,16931,2005,30163045.00,6811,40.23,45.75,18.35
23-July-2024,1778.20,1778.20,1691.00,1762.15,1740.774106688013972782,13741,2344,23919977.00,4351,31.66,87.20,-16.05
22-July-2024,1769.00,1783.25,1741.50,1768.55,1763.450978200111794298,8945,1508,15774069.00,3461,38.69,41.75,-0.45
19-July-2024,1875.20,1894.50,1765.50,1768.45,1798.102104109296045771,37403,3332,67254413.00,14846,39.69,129.00,-106.75
18-July-2024,1880.10,1914.05,1821.00,1861.10,1853.996024203256668567,63132,21144,117046477.00,19911,31.54,93.05,-19.00
16-July-2024,1892.05,1909.55,1871.20,1874.55,1888.172690534464112926,17569,2359,33173306.00,8290,47.19,38.35,-17.50
15-July-2024,1926.60,1938.95,1882.25,1891.15,1905.607244414353419092,14770,1247,28145819.00,4640,31.42,56.70,-35.45
12-July-2024,1913.95,1925.45,1897.30,1908.15,1908.126003626003626003,7722,761,14734549.00,3058,39.60,28.15,-5.80
11-July-2024,1940.00,1948.90,1916.05,1918.70,1920.122061287358806679,37006,2930,71056037.00,33288,89.95,32.85,-21.30
