Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1537.30,1548.80,1520.80,1537.05,1531.522287302690360369,10073,993,15427024.00,4834,47.99,28.00,-0.25
31-July-2024,1549.80,1552.55,1533.50,1536.90,1538.523091004909438881,36053,1402,55468373.00,28548,79.18,19.05,-12.90
30-July-2024,1511.00,1560.00,1511.00,1539.40,1546.261286031042128603,56375,9243,87170480.00,26166,46.41,49.00,28.40
29-July-2024,1494.30,1533.20,1494.30,1517.35,1492.782230778050035594,375053,2809,559872454.00,361520,96.39,38.90,23.05
26-July-2024,1463.00,1498.60,1462.15,1491.00,1489.318091146232929261,19551,1591,29117658.00,10517,53.79,36.45,28.00
25-July-2024,1490.00,1495.30,1455.55,1462.35,1470.871864367683524594,17341,1735,25506389.00,8410,48.50,39.75,-27.65
24-July-2024,1482.30,1518.80,1478.10,1500.20,1500.528400993525795024,73677,3974,110554431.00,56581,76.80,40.70,17.90
23-July-2024,1489.90,1494.00,1433.20,1480.65,1475.755267853752989862,26339,2852,38869918.00,16885,64.11,60.80,-9.25
22-July-2024,1403.45,1505.85,1403.45,1484.70,1473.220364140114783297,20212,2608,29776730.00,9456,46.78,102.40,81.25
19-July-2024,1490.00,1509.00,1460.00,1478.20,1482.921098851609997748,44410,3339,65856526.00,31350,70.59,49.00,-11.80
18-July-2024,1520.05,1523.60,1487.40,1493.65,1500.966081321208320267,19134,2625,28719485.00,11275,58.93,36.20,-26.40
16-July-2024,1529.90,1538.90,1515.35,1522.05,1527.597385519801980198,12928,1084,19748779.00,7511,58.10,23.55,-7.85
15-July-2024,1517.75,1534.80,1515.00,1529.75,1526.633371729471778838,18231,1155,27832053.00,12332,67.64,19.80,12.00
12-July-2024,1522.00,1528.00,1504.00,1519.65,1514.579153747948203538,32898,2066,49826625.00,15149,46.05,24.00,-2.35
11-July-2024,1487.60,1517.95,1482.00,1512.65,1497.500470278404815650,10632,1084,15921425.00,3663,34.45,35.95,25.05
10-July-2024,1474.95,1490.10,1450.00,1484.25,1475.827212522576760987,8305,1069,12256745.00,2908,35.02,40.10,9.30
9-July-2024,1459.65,1482.75,1456.45,1468.85,1469.806284099125747715,15213,1606,22360163.00,5089,33.45,26.30,9.20
8-July-2024,1451.95,1478.60,1440.00,1459.10,1457.462073280956684975,14383,1581,20962677.00,4485,31.18,38.60,7.15
5-July-2024,1435.05,1458.25,1435.05,1451.95,1453.694687780772686433,17808,1797,25887395.00,9721,54.59,23.20,16.90
4-July-2024,1453.05,1456.55,1438.00,1444.80,1443.142566610577796070,82607,3790,119213678.00,66271,80.22,18.55,-8.25
3-July-2024,1460.00,1472.35,1448.00,1451.05,1459.159410693593775864,12082,1217,17629564.00,4546,37.63,24.35,-8.95
2-July-2024,1441.95,1455.00,1416.20,1449.65,1436.678598741828049833,40535,4086,58235767.00,17185,42.40,38.80,7.70
1-July-2024,1475.60,1489.00,1440.00,1445.05,1458.138650997061949115,15997,2074,23325844.00,7695,48.10,49.00,-30.55
28-June-2024,1500.85,1505.00,1469.35,1471.90,1483.546912788115097971,20261,1509,30058144.00,7121,35.15,35.65,-28.95
27-June-2024,1495.00,1511.30,1482.85,1500.45,1500.801556879164946629,33914,3236,50898184.00,20125,59.34,28.45,5.45
26-June-2024,1504.95,1515.35,1492.55,1495.25,1503.290889382196777920,154062,9812,231600001.00,142088,92.23,22.80,-9.70
25-June-2024,1509.45,1523.20,1498.55,1503.35,1510.087162362091558523,23657,2423,35724132.00,12363,52.26,24.65,-6.10
24-June-2024,1476.60,1528.00,1470.35,1510.75,1511.166036143307157821,66347,2900,100261333.00,37707,56.83,57.65,34.15
21-June-2024,1487.00,1499.70,1477.70,1485.40,1492.856107157538451682,187313,9091,279631356.00,146808,78.38,22.00,-1.60
20-June-2024,1485.50,1504.20,1472.00,1484.30,1489.171608402214301964,13187,1378,19637706.00,4115,31.20,32.20,-1.20
19-June-2024,1547.25,1550.50,1473.45,1476.90,1502.641239777812066039,51848,3868,77908943.00,22330,43.07,77.05,-70.35
18-June-2024,1498.00,1550.00,1498.00,1535.60,1535.445197188183575084,141261,7949,216898524.00,91895,65.05,52.00,37.60
14-June-2024,1486.30,1511.00,1470.00,1498.90,1493.077202298927839209,29753,3926,44423526.00,10056,33.80,41.00,12.60
13-June-2024,1450.00,1491.60,1449.20,1481.45,1480.394343316224387463,270229,7799,400045483.00,198140,73.32,42.40,31.45
12-June-2024,1460.15,1472.00,1441.55,1447.40,1451.988161741294972358,34549,1716,50164739.00,20059,58.06,30.45,-12.75
11-June-2024,1460.00,1475.75,1445.40,1460.15,1460.203278430961795281,38189,3075,55763703.00,18140,47.50,30.35,0.15
10-June-2024,1455.30,1467.20,1425.50,1461.35,1450.260190161223646134,36285,3527,52622691.00,16948,46.71,41.70,6.05
7-June-2024,1447.40,1458.60,1438.80,1451.90,1447.763701249044098903,7846,853,11359154.00,2618,33.37,19.80,4.50
6-June-2024,1462.75,1478.30,1440.00,1448.90,1454.819581958195819581,46359,3531,67443981.00,19640,42.36,38.30,-13.85
5-June-2024,1352.15,1471.75,1346.00,1459.95,1441.991683822732690432,36916,4126,53232565.00,10682,28.94,125.75,107.80
4-June-2024,1410.80,1410.80,1265.80,1358.25,1355.887629129512954302,66503,7172,90170595.00,30647,46.08,145.00,-52.55
3-June-2024,1400.05,1425.20,1389.40,1406.40,1406.509932467122151573,25321,2641,35614238.00,8996,35.53,35.80,6.35
31-May-2024,1351.00,1386.00,1351.00,1359.60,1372.797009798180895499,25617,1552,35166941.00,6499,25.37,35.00,8.60
30-May-2024,1371.05,1373.50,1346.70,1350.05,1357.492531973884267954,11181,1215,15178124.00,1903,17.02,26.80,-21.00
29-May-2024,1398.55,1405.40,1364.80,1370.85,1385.105212227842533538,22735,1297,31490367.00,12595,55.40,40.60,-27.70
28-May-2024,1408.00,1428.95,1383.35,1389.35,1400.097932418389651341,83721,5589,117217599.00,52459,62.66,45.60,-18.65
27-May-2024,1376.20,1437.80,1358.55,1412.10,1421.143820470119304376,183145,9145,260275385.00,91757,50.10,79.25,35.90
24-May-2024,1350.15,1382.20,1332.10,1370.50,1364.366406853451302577,28482,2084,38859884.00,9653,33.89,50.10,20.35
23-May-2024,1305.65,1351.60,1288.75,1347.35,1343.070087485264006949,564095,3164,757619121.00,517175,91.68,62.85,41.70
22-May-2024,1300.00,1306.90,1288.00,1297.35,1295.913899383575263471,10058,913,13034302.00,4755,47.28,18.90,-2.65
21-May-2024,1296.00,1305.95,1288.05,1295.35,1297.896820695102685624,10128,1198,13145099.00,3868,38.19,17.90,-0.65
18-May-2024,1292.30,1299.75,1291.40,1296.40,1296.006489117209679599,7397,708,9586560.00,4098,55.40,8.35,4.10
17-May-2024,1322.05,1322.30,1285.00,1288.70,1290.843917873716776824,71110,4871,91791911.00,25448,35.79,37.30,-33.35
16-May-2024,1305.00,1325.05,1299.50,1321.00,1312.698428053204353083,20675,1268,27140040.00,4502,21.78,25.55,16.00
15-May-2024,1312.65,1316.30,1299.80,1303.45,1307.543569284247116448,25316,1954,33101773.00,8679,34.28,16.50,-9.20
14-May-2024,1302.30,1328.65,1296.00,1305.75,1309.627580959070488900,68337,4717,89496020.00,42969,62.88,32.65,3.45
13-May-2024,1280.00,1310.70,1257.05,1302.30,1285.133409285103958986,52665,3585,67681551.00,21765,41.33,53.65,22.30
10-May-2024,1276.00,1300.25,1267.20,1289.05,1284.264718012166202701,38796,3673,49824334.00,19961,51.45,33.05,13.05
9-May-2024,1318.05,1324.20,1274.00,1276.00,1294.951450627446676178,81999,6400,106184724.00,30527,37.23,50.20,-42.05
8-May-2024,1281.40,1332.95,1261.65,1319.10,1299.384575361472177596,219104,9547,284700358.00,42377,19.34,71.30,37.70
7-May-2024,1453.95,1461.75,1381.00,1388.45,1418.582681105035559844,55962,3872,79386724.00,15301,27.34,80.75,-65.50
6-May-2024,1500.00,1500.00,1446.00,1447.20,1472.620623316660253943,23391,1562,34446069.00,7798,33.34,54.00,-52.80
3-May-2024,1493.45,1500.00,1482.30,1490.55,1492.247848790174303155,27194,1654,40580188.00,9654,35.50,17.70,-2.90
2-May-2024,1483.55,1500.00,1463.35,1481.65,1484.492954901867604429,84172,10152,124952741.00,33055,39.27,36.65,-1.90
30-April-2024,1470.90,1480.30,1461.40,1475.00,1473.740936583245807830,55222,2106,81382922.00,31375,56.82,18.90,4.10
29-April-2024,1469.40,1477.40,1454.00,1466.60,1467.979096346301889027,84435,4403,123948815.00,33518,39.70,23.40,-2.80
26-April-2024,1434.70,1461.00,1427.00,1455.75,1443.895339373880961423,36862,6609,53224870.00,11609,31.49,34.00,21.05
