Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,887.95,941.05,887.60,914.80,917.815357894521751568,244695,8369,224584829.00,64481,26.35,53.45,26.85
31-July-2024,899.95,909.30,891.40,894.95,900.301005250794528119,57896,2884,52123827.00,20762,35.86,17.90,-5.00
30-July-2024,899.90,906.00,892.65,896.20,898.485930764905892747,74702,3473,67118696.00,24008,32.14,13.35,-3.70
29-July-2024,895.05,924.00,889.15,892.75,902.005244557902871482,115167,4674,103881238.00,33921,29.45,34.85,-2.30
26-July-2024,887.05,916.00,882.50,888.20,888.107121208801641726,547716,3925,486430480.00,466663,85.20,33.50,1.15
25-July-2024,884.40,902.00,877.85,881.45,885.603967914022039640,51362,2534,45486391.00,16034,31.22,24.15,-2.95
24-July-2024,884.85,894.95,881.00,889.90,887.902673742477718812,39383,2217,34968271.00,15292,38.83,13.95,5.05
23-July-2024,885.85,909.95,856.15,878.20,887.538384615384615384,104000,5884,92303992.00,28075,27.00,53.80,-7.65
22-July-2024,883.50,895.65,874.65,885.85,884.114885766464164585,53662,2587,47443373.00,14864,27.70,21.00,2.35
19-July-2024,894.55,894.55,883.40,887.80,888.976925180893651938,40217,2496,35751985.00,14603,36.31,11.15,-6.75
18-July-2024,905.05,905.45,885.55,889.70,895.955727926969281173,35711,2360,31995475.00,11719,32.82,19.90,-15.35
16-July-2024,900.05,915.25,897.30,905.85,906.979461344700639410,67093,3152,60851973.00,23282,34.70,17.95,5.80
15-July-2024,891.95,903.50,886.10,895.15,894.297364454763941504,49098,2443,43908212.00,19710,40.14,17.40,3.20
12-July-2024,891.80,902.00,889.45,893.10,893.578759558198810535,47080,2759,42069688.00,18614,39.54,12.55,1.30
11-July-2024,892.00,898.00,880.55,894.00,891.748792644818057384,38721,2111,34529405.00,15521,40.08,17.45,2.00
10-July-2024,900.00,903.00,882.05,890.40,890.956037727143902294,151721,7679,135176741.00,57488,37.89,20.95,-9.60
9-July-2024,890.15,918.00,888.15,892.40,901.277570025906637196,262867,11076,236916131.00,83316,31.70,29.85,2.25
8-July-2024,891.40,897.45,882.00,883.85,886.629580823293172690,191232,9609,169551948.00,93050,48.66,15.45,-7.55
5-July-2024,904.00,904.00,890.00,891.35,892.792504439267360132,202173,9523,180498539.00,102371,50.64,14.00,-12.65
4-July-2024,904.00,908.80,895.00,896.70,901.705088972004986965,44115,2620,39778720.00,17835,40.43,13.80,-7.30
3-July-2024,912.25,916.45,901.10,904.70,906.089457392944263370,48783,2773,44201762.00,16222,33.25,15.35,-7.55
2-July-2024,896.05,937.95,890.00,904.40,918.395512940848026261,207753,7873,190799423.00,37296,17.95,47.95,8.35
1-July-2024,895.65,902.30,883.45,888.00,888.936023938940550368,52801,3105,46936711.00,23954,45.37,18.85,-7.65
28-June-2024,904.95,906.70,894.55,895.55,897.599885558972891781,27962,1975,25098688.00,14864,53.16,12.15,-9.40
27-June-2024,895.75,906.20,891.65,900.35,898.691329715985197629,44047,2416,39584657.00,16209,36.80,14.55,4.60
26-June-2024,900.00,910.00,889.50,893.30,901.577380586148198281,195036,9574,175840046.00,61382,31.47,20.50,-6.70
25-June-2024,911.60,919.40,887.25,890.90,902.513790851705587860,64318,4002,58047882.00,31640,49.19,32.15,-20.70
24-June-2024,921.95,923.00,909.45,911.35,915.202665340105775776,190970,10311,174776253.00,82933,43.43,13.55,-10.60
21-June-2024,925.50,930.00,918.95,923.70,923.977228582055626730,48394,2855,44714954.00,16843,34.80,11.05,-1.80
20-June-2024,928.95,941.55,924.00,925.50,929.600423579244617013,42495,2712,39503370.00,19827,46.66,17.55,-3.45
19-June-2024,942.45,945.00,922.90,927.35,930.206280404860166463,43373,3039,40345837.00,17500,40.35,22.10,-15.10
18-June-2024,947.00,958.00,937.00,939.90,943.643098646285381177,77195,3363,72844529.00,31282,40.52,21.00,-7.10
14-June-2024,942.55,959.35,942.15,946.30,948.624737191021877071,52795,3084,50082643.00,19071,36.12,17.20,3.75
13-June-2024,952.00,959.25,942.60,945.55,950.081472667459928606,42861,2686,40721442.00,16962,39.57,16.65,-6.45
12-June-2024,958.35,964.60,949.55,951.50,956.517818095389003327,126220,7225,120731679.00,68693,54.42,15.05,-6.85
11-June-2024,982.55,982.55,955.00,957.05,960.229817083167435651,85394,3739,81997865.00,37856,44.33,27.55,-25.50
10-June-2024,997.75,1012.60,966.00,970.70,988.559292211284401524,342136,12680,338221722.00,160373,46.87,46.60,-27.05
7-June-2024,969.80,989.55,950.00,978.40,971.384803108791608580,310603,10643,301715034.00,120872,38.92,39.55,8.60
6-June-2024,969.15,992.10,956.75,969.80,975.832628415920172355,176380,8628,172117359.00,40431,22.92,35.35,0.65
5-June-2024,935.30,966.65,825.30,932.75,908.074434889547636310,435844,18969,395778794.00,83554,19.17,141.35,-2.55
4-June-2024,1120.00,1120.00,897.00,908.45,980.760724559118348024,2335434,87171,2290501942.00,772224,33.07,223.00,-211.55
3-June-2024,1197.95,1197.95,1102.35,1119.85,1131.063690481306095321,698142,26757,789643067.00,237757,34.06,95.60,-78.10
31-May-2024,965.05,1060.00,960.05,1039.15,1020.529102874697170258,1121092,38079,1144107013.00,471915,42.09,99.95,74.10
30-May-2024,952.00,965.50,946.20,955.95,956.814817117912619548,80407,2336,76934609.00,23522,29.25,19.30,3.95
29-May-2024,952.05,964.90,945.45,950.65,955.142029724610228762,137260,5352,131102795.00,51648,37.63,19.45,-1.40
28-May-2024,980.95,983.95,950.10,951.85,964.661617834997870024,63381,2329,61141218.00,22074,34.83,33.85,-29.10
27-May-2024,998.00,1007.55,969.35,971.90,984.666848096071189442,231495,7696,227945452.00,95019,41.05,38.20,-26.10
24-May-2024,942.10,1002.00,942.10,980.05,984.304313998116126568,555239,18002,546524143.00,255392,46.00,59.90,37.95
23-May-2024,941.00,976.00,926.55,956.70,956.085193604013168208,127580,4236,121977349.00,32721,25.65,49.45,15.70
22-May-2024,940.00,946.60,929.00,934.55,936.044871751998127278,149515,5335,139952749.00,56998,38.12,17.60,-5.45
21-May-2024,919.95,963.10,906.60,930.20,938.410998476348167654,113543,4605,106550000.00,34304,30.21,56.50,10.25
