Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,243.25,243.95,237.20,238.95,240.157949356424755933,1341335,16307,322132263.00,569665,42.47,6.75,-4.30
31-July-2024,242.25,246.35,238.50,241.05,242.672186692783353974,3627821,24408,880371255.00,976997,26.93,7.85,-1.20
30-July-2024,233.95,236.30,232.05,233.65,234.304830714068440434,1206509,13436,282690887.00,599968,49.73,4.25,-0.30
29-July-2024,231.30,234.05,230.00,231.90,231.590607833719304568,1725949,13349,399713578.00,1221074,70.75,4.05,0.60
26-July-2024,229.20,232.55,229.20,230.60,230.661559855595941454,2111298,20561,486995290.00,1567290,74.23,3.35,1.40
25-July-2024,222.25,229.75,220.00,228.55,227.590615860962729501,1117801,7069,254401018.00,674065,60.30,9.75,6.30
24-July-2024,219.65,224.20,218.75,223.45,222.240168070768117825,569522,8280,126570665.00,251894,44.23,5.45,3.80
23-July-2024,227.20,227.20,209.15,219.80,219.749263960615859838,704446,7835,154801490.00,208227,29.56,18.05,-7.40
22-July-2024,218.80,226.40,216.10,222.85,222.968170282732244343,1007172,7349,224567298.00,524040,52.03,10.30,4.05
19-July-2024,228.90,228.90,219.00,219.75,222.139854086990680476,1339017,20691,297449041.00,558571,41.72,9.90,-9.15
18-July-2024,233.95,233.95,227.70,228.90,229.531496474734130446,1195229,14909,274342701.00,806513,67.48,6.25,-5.05
16-July-2024,238.80,239.20,232.90,233.35,235.488278685022197379,1146757,9952,270047832.00,484894,42.28,6.30,-5.45
15-July-2024,229.95,238.15,228.10,237.10,234.736274007069650414,1462590,11192,343322927.00,505350,34.55,10.05,7.15
12-July-2024,229.95,233.70,224.70,228.65,230.120849680416612315,1594576,17727,366945184.00,731020,45.84,9.00,-1.30
11-July-2024,230.00,230.70,226.00,229.40,229.257944271574113754,966042,6809,221472803.00,558850,57.85,4.70,-0.60
10-July-2024,230.00,232.20,219.85,229.20,226.756342398247855448,542421,6202,122997402.00,156376,28.83,12.35,-0.80
9-July-2024,233.00,234.15,228.00,228.95,230.839380364132029384,1625729,16315,375282275.00,660170,40.61,6.15,-4.05
8-July-2024,223.05,231.50,221.20,230.50,224.671420068142027067,1777464,15236,399345361.00,1036034,58.29,10.30,7.45
5-July-2024,218.80,223.90,217.55,222.95,221.672976150902638149,929553,9166,206056780.00,407623,43.85,6.35,4.15
4-July-2024,221.90,221.90,217.30,219.05,218.612642628537085607,1371044,13769,299727552.00,913261,66.61,4.60,-2.85
3-July-2024,221.75,222.80,219.10,220.20,220.969950839688800526,312854,4288,69131333.00,116448,37.22,3.70,-1.55
2-July-2024,223.05,226.10,219.80,221.60,222.654477373029365244,946459,7701,210733334.00,485488,51.30,6.30,-1.45
1-July-2024,220.20,223.90,219.55,222.35,220.831163853088452148,1398338,10425,308796608.00,965397,69.04,4.35,2.15
28-June-2024,218.15,223.10,217.90,219.50,221.100379973470216977,1301933,8197,287857881.00,779587,59.88,5.20,1.35
27-June-2024,214.95,218.35,213.50,217.90,215.353983496521808167,2153849,18238,463839962.00,1647151,76.47,4.85,2.95
26-June-2024,212.90,215.00,209.50,214.00,210.930125772121753367,806220,5020,170056086.00,439276,54.49,5.50,1.10
25-June-2024,214.30,215.50,211.70,213.10,213.533640729018880279,403172,4232,86090785.00,163866,40.64,3.80,-1.20
24-June-2024,213.85,213.85,208.60,212.55,211.556078592245040979,1170090,13939,247539652.00,430338,36.78,5.25,-1.30
21-June-2024,219.95,219.95,214.00,214.80,216.475825845312893645,523948,6164,113422076.00,192060,36.66,5.95,-5.15
20-June-2024,218.55,221.55,215.20,218.55,218.500474425584719260,1581913,12924,345648741.00,810495,51.24,6.35,0.00
19-June-2024,222.90,222.90,215.70,216.35,218.289631403197693022,531258,6253,115968113.00,249142,46.90,7.20,-6.55
18-June-2024,224.45,224.45,220.20,222.20,221.573815803941443291,791233,6132,175316515.00,405419,51.24,4.25,-2.25
14-June-2024,220.00,225.50,219.45,221.75,223.103802520087426492,1277416,9584,284996367.00,344228,26.95,6.05,1.75
13-June-2024,219.30,220.05,214.30,219.75,217.028171565889056147,2450627,23201,531855097.00,1325713,54.10,5.75,0.45
12-June-2024,216.00,220.20,214.50,216.95,217.494422346714916074,1407133,9594,306043579.00,331415,23.55,5.70,0.95
11-June-2024,208.50,214.25,206.00,212.80,210.303181780800563642,1629402,11535,342668425.00,363878,22.33,8.25,4.30
10-June-2024,214.95,217.65,205.80,208.05,212.425135366846275513,2120534,12950,450454722.00,843988,39.80,11.85,-6.90
7-June-2024,211.35,214.55,208.00,212.60,210.538963891688955521,1368023,10318,288022145.00,322306,23.56,6.55,1.25
6-June-2024,199.65,210.75,199.65,207.85,207.424089677705354064,6090700,34278,1263357903.00,4096939,67.27,11.10,8.20
