Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,678.95,682.15,655.50,657.45,669.830401479664662954,49741,1889,33318034.00,17350,34.88,26.65,-21.50
31-July-2024,684.85,686.50,674.45,678.55,680.979625297859781824,45743,1485,31150051.00,9484,20.73,12.05,-6.30
30-July-2024,673.15,687.40,671.00,676.85,680.045856410337444397,126569,8116,86072724.00,62097,49.06,16.40,3.70
29-July-2024,646.25,671.00,646.25,668.90,665.029147197150728299,65701,8573,43693080.00,24732,37.64,24.75,22.65
26-July-2024,653.00,653.35,644.65,648.30,649.364841745081266039,16366,859,10627505.00,3978,24.31,8.70,-4.70
25-July-2024,646.10,653.15,641.15,649.00,647.538135671949610746,53821,2414,34851150.00,14415,26.78,12.00,2.90
24-July-2024,633.50,656.70,631.20,648.80,649.127491497696844461,46458,1297,30157165.00,9943,21.40,25.50,15.30
23-July-2024,649.00,650.00,616.40,634.25,638.564175076441624438,69661,2986,44483019.00,19696,28.27,33.60,-14.75
22-July-2024,619.00,646.00,612.50,643.90,628.001599825778135155,119388,2399,74975855.00,22626,18.95,33.50,24.90
19-July-2024,634.30,634.40,612.35,619.00,627.205309734513274336,54805,1541,34373987.00,12114,22.10,22.05,-15.30
18-July-2024,635.10,646.00,628.25,634.30,638.068276183811523209,214350,4009,136769935.00,22176,10.35,17.75,-0.80
16-July-2024,642.00,651.05,636.40,638.25,645.749125414543395615,197808,2969,127734343.00,19382,9.80,14.65,-3.75
15-July-2024,632.95,649.45,631.35,642.30,639.295054334640088876,78311,2420,50063835.00,22703,28.99,18.10,9.35
12-July-2024,646.80,650.40,633.80,635.50,644.368384598639814772,151597,2999,97684314.00,10828,7.14,16.60,-11.30
11-July-2024,651.05,652.00,642.00,644.75,645.616908563134978229,13780,680,8896601.00,3918,28.43,10.00,-6.30
10-July-2024,658.80,662.75,636.50,651.90,650.055697737068965517,29696,1673,19304054.00,5387,18.14,26.25,-6.90
9-July-2024,659.95,660.25,642.85,649.75,650.228930371770636420,25392,1093,16510613.00,6740,26.54,17.40,-10.20
8-July-2024,647.10,655.00,639.00,652.75,647.460140115545520950,60236,3143,39000409.00,32753,54.37,16.00,5.65
5-July-2024,634.95,649.95,630.50,644.90,642.021139296840231419,35952,1438,23081944.00,12041,33.49,19.45,9.95
4-July-2024,637.75,637.75,627.65,632.60,631.928593947036569987,38064,1593,24053730.00,8045,21.14,10.10,-5.15
3-July-2024,654.55,654.55,635.00,637.75,642.697918167411035873,55528,2580,35687730.00,12737,22.94,19.55,-16.80
2-July-2024,653.75,663.05,648.00,650.45,655.343120590121872995,62360,3395,40867197.00,15940,25.56,15.05,-3.30
1-July-2024,627.15,649.95,627.15,646.70,641.689938398357289527,63310,2662,40625390.00,24487,38.68,22.80,19.55
28-June-2024,627.15,642.00,623.05,628.30,632.388799419118810683,107423,3970,67933102.00,48154,44.83,18.95,1.15
27-June-2024,621.50,638.00,610.80,627.15,621.529731623358820483,65654,2898,40805913.00,33567,51.13,27.20,5.65
26-June-2024,613.00,623.20,608.30,620.95,619.029293086055715061,25774,1075,15954861.00,9581,37.17,14.90,7.95
25-June-2024,608.00,618.55,606.55,612.60,614.122105229924069016,63347,2305,38902793.00,26789,42.29,12.00,4.60
24-June-2024,595.75,613.45,580.60,608.00,600.290845950316037042,54424,1884,32670229.00,10906,20.04,32.85,12.25
21-June-2024,608.00,613.15,595.50,599.50,605.056939865572848782,78258,1968,47350546.00,15930,20.36,17.65,-8.50
20-June-2024,613.85,622.90,605.25,608.00,614.345458639280487347,79943,3439,49112619.00,33765,42.24,17.65,-5.85
19-June-2024,634.55,634.55,610.55,612.30,619.324108332100044398,33785,1642,20923865.00,15667,46.37,24.00,-22.25
18-June-2024,630.20,637.85,622.00,634.70,628.861196062502986572,83708,4261,52640713.00,54288,64.85,15.85,4.50
14-June-2024,645.20,648.35,627.00,632.20,634.931521662945199307,99871,3866,63411246.00,45871,45.93,21.35,-13.00
13-June-2024,615.95,644.25,610.60,636.20,624.218434445817096031,209651,9646,130868019.00,118730,56.63,33.65,20.25
12-June-2024,612.00,615.55,603.05,610.85,610.829128535295470223,108725,5125,66412397.00,54981,50.57,12.50,-1.15
11-June-2024,591.00,617.50,583.85,608.40,604.382710713183081197,113365,3541,68515846.00,47459,41.86,33.65,17.40
10-June-2024,599.95,599.95,577.00,589.80,588.106227291930713983,59175,1889,34801186.00,15142,25.59,22.95,-10.15
7-June-2024,577.95,589.90,568.00,588.25,584.070283255048758970,167764,5931,97985967.00,80214,47.81,21.90,10.30
6-June-2024,550.05,576.00,550.05,571.35,569.022206751534439645,70384,3011,40050059.00,16156,22.95,25.95,21.30
5-June-2024,511.15,553.50,511.15,548.95,538.363512234479976415,64449,3358,34696990.00,24912,38.65,42.35,37.80
4-June-2024,572.80,572.80,490.65,537.35,536.711940059299623367,124790,5735,66976283.00,23099,18.51,82.15,-35.45
3-June-2024,561.90,576.70,555.00,569.40,570.302207253785865458,206954,6737,118026323.00,94991,45.90,21.70,7.50
31-May-2024,539.00,557.00,539.00,551.70,548.976955419798121859,68259,3015,37472618.00,23983,35.14,18.00,12.70
30-May-2024,553.50,553.50,535.40,540.10,544.298075341339036025,24316,1402,13235152.00,7034,28.93,18.10,-13.40
29-May-2024,545.00,558.00,544.95,554.75,553.085567431808889667,17121,1281,9469378.00,5769,33.70,13.05,9.75
28-May-2024,553.10,556.30,540.00,547.20,547.162886194759483770,20456,1777,11192764.00,9804,47.93,16.30,-5.90
27-May-2024,560.05,562.70,552.00,553.85,558.700536732640053673,29810,1317,16654863.00,10656,35.75,10.70,-6.20
24-May-2024,558.35,566.45,552.40,556.30,561.819725560328257926,59831,2671,33614236.00,34786,58.14,14.05,-2.05
23-May-2024,561.35,563.55,550.45,561.30,559.708055290753098188,104900,2791,58713375.00,28083,26.77,13.10,-0.05
22-May-2024,561.10,567.90,555.85,558.35,561.084173275616923125,63298,2564,35515506.00,24613,38.88,12.05,-2.75
21-May-2024,550.05,562.75,550.05,560.85,558.654076226286104939,23404,1426,13074740.00,10463,44.71,12.70,10.80
18-May-2024,554.05,559.25,552.30,553.45,554.516017940092904052,12486,620,6923687.00,9019,72.23,6.95,-0.60
17-May-2024,548.45,556.25,543.15,552.70,548.641681934774642726,54580,2185,29944863.00,31488,57.69,13.10,4.25
16-May-2024,546.50,553.65,539.00,551.35,544.662115582988787225,119239,1592,64944966.00,16672,13.98,14.65,4.85
15-May-2024,551.40,551.40,541.50,542.35,545.024012126640713818,29027,1583,15820412.00,12912,44.48,9.90,-9.05
14-May-2024,540.15,553.45,534.95,551.50,545.201592784494338898,31266,2363,17046273.00,12915,41.31,18.50,11.35
13-May-2024,530.35,539.00,519.80,536.65,529.684143837112771442,45774,2623,24245762.00,14094,30.79,19.20,6.30
10-May-2024,532.05,538.00,523.50,530.30,532.361203800807194839,31467,1530,16751810.00,6073,19.30,14.50,-1.75
9-May-2024,549.85,551.00,530.25,531.75,540.278355660625164171,38070,1465,20568397.00,12457,32.72,20.75,-18.10
8-May-2024,540.35,555.70,536.70,545.15,548.272114653529283102,96011,3163,52640154.00,31225,32.52,19.00,4.80
7-May-2024,564.50,566.25,534.20,538.40,545.831230054097751958,212763,5586,116132690.00,37409,17.58,32.05,-26.10
6-May-2024,540.95,561.95,533.00,547.65,548.746816254344575170,146447,4010,80362325.00,23166,15.82,28.95,6.70
3-May-2024,541.35,541.65,530.90,535.65,538.387706618483570902,59772,1870,32180510.00,32841,54.94,10.75,-5.70
2-May-2024,548.10,550.75,535.00,537.30,538.916583719744604403,41191,1590,22198513.00,17104,41.52,15.75,-10.80
30-April-2024,550.95,556.20,545.00,546.35,551.325947719814416657,44185,3286,24360337.00,20038,45.35,11.20,-4.60
29-April-2024,555.45,557.70,548.55,551.40,551.687539364205920376,30167,1367,16642758.00,14131,46.84,9.15,-4.05
26-April-2024,544.15,557.00,543.85,551.65,551.551051230078295775,50322,1826,27755152.00,27289,54.23,13.15,7.50
25-April-2024,543.25,547.25,539.80,543.40,543.475722956087111745,16806,977,9133653.00,3429,20.40,7.45,0.15
24-April-2024,542.65,548.70,540.50,543.75,544.286452893252559013,19148,725,10421997.00,5805,30.32,8.20,1.10
23-April-2024,544.60,549.25,540.10,541.40,544.120395899611170024,42435,1517,23089749.00,22950,54.08,9.15,-3.20
22-April-2024,545.30,556.30,536.60,543.00,543.754996348184051523,45183,1428,24568482.00,11113,24.60,19.70,-2.30
19-April-2024,552.00,552.00,535.00,545.90,542.476349908994899220,44503,2344,24141825.00,6476,14.55,17.00,-6.10
18-April-2024,556.65,570.00,550.60,552.50,561.634430431141675336,39407,1505,22132328.00,6790,17.23,19.40,-4.15
16-April-2024,583.00,583.00,552.00,553.30,565.426016326493611273,220623,6042,124745984.00,54778,24.83,31.00,-29.70
15-April-2024,515.05,577.00,515.05,573.15,565.374576160240884990,152770,7383,86372274.00,64808,42.42,61.95,58.10
12-April-2024,565.35,567.65,558.90,560.85,562.748553441651622459,21603,936,12157057.00,8046,37.24,8.75,-4.50
10-April-2024,559.00,572.40,558.85,564.35,567.486375038940171500,121982,3416,69223123.00,56673,46.46,13.55,5.35
9-April-2024,567.55,570.05,554.85,557.50,562.951746575800988097,74689,2408,42046303.00,29065,38.91,15.20,-10.05
8-April-2024,550.05,567.50,550.05,565.55,560.792218977251387386,154427,4157,86601460.00,70621,45.73,17.45,15.50
5-April-2024,546.35,560.00,538.85,548.60,551.706964442752700591,152374,3535,84065797.00,31252,20.51,21.15,2.25
4-April-2024,547.35,554.20,544.55,546.95,547.785688431017680634,35915,1438,19673723.00,17267,48.08,9.65,-0.40
3-April-2024,546.55,553.75,540.30,544.65,547.631793057705063011,22615,970,12384693.00,7251,32.06,13.45,-1.90
2-April-2024,546.55,553.45,534.55,540.65,541.696074746281479890,37246,1524,20176012.00,12482,33.51,18.90,-5.90
1-April-2024,544.40,555.85,544.40,547.45,550.486460607453368570,26109,1223,14372651.00,13496,51.69,11.45,3.05
28-March-2024,548.95,548.95,538.80,544.25,543.673025463962019853,23170,1275,12596904.00,8486,36.62,10.15,-4.70
27-March-2024,552.95,556.05,540.65,541.70,547.718883393183820042,59036,2141,32335132.00,19435,32.92,15.40,-11.25
26-March-2024,534.70,552.65,525.00,549.40,542.812124899742788395,36157,1599,19626458.00,6408,17.72,27.65,14.70
22-March-2024,529.00,531.95,524.50,528.70,529.010251692186370506,15217,989,8049949.00,6894,45.30,7.45,-0.30
21-March-2024,519.40,530.45,516.60,529.15,525.043472668810289389,15550,1047,8164426.00,7052,45.35,13.85,9.75
20-March-2024,518.00,518.00,498.30,516.50,509.626723223753976670,49036,1840,24990056.00,8833,18.01,19.70,-1.50
19-March-2024,541.05,543.05,516.40,520.75,527.592374187495811834,14923,888,7873261.00,5175,34.68,26.65,-20.30
18-March-2024,535.55,545.85,534.85,541.90,541.060175852455500750,23315,1554,12614818.00,9077,38.93,11.00,6.35
15-March-2024,535.45,546.55,528.45,543.50,537.967674046636922299,23758,850,12781036.00,5569,23.44,18.10,8.05
14-March-2024,528.00,542.00,522.80,537.05,533.834295022224676292,36221,1407,19336012.00,11091,30.62,19.20,9.05
13-March-2024,553.75,556.30,523.40,528.50,540.439076517150395778,37900,1439,20482641.00,9554,25.21,32.90,-25.25
12-March-2024,563.55,570.90,551.45,555.50,563.837537822171995187,54862,1088,30933255.00,26259,47.86,19.45,-8.05
11-March-2024,575.40,576.00,556.45,564.40,563.289880907229007054,26366,842,14851701.00,9648,36.59,19.55,-11.00
7-March-2024,560.05,573.80,560.05,570.40,568.701590742934933319,39667,1578,22558686.00,13564,34.19,13.75,10.35
6-March-2024,595.55,595.55,555.55,566.85,567.923467301846881276,112514,4367,63899341.00,32299,28.71,40.00,-28.70
5-March-2024,592.95,594.90,586.80,593.90,590.902568733694561509,19932,848,11777870.00,6809,34.16,8.10,0.95
4-March-2024,576.80,595.50,576.80,589.75,587.957578875922317342,91346,3706,53707573.00,52789,57.79,18.70,12.95
2-March-2024,580.20,581.95,562.15,577.05,577.514117647058823529,850,192,490887.00,562,66.12,19.80,-3.15
1-March-2024,566.05,582.40,566.05,578.30,575.812592419643552027,77094,2434,44391696.00,43202,56.04,16.35,12.25
29-February-2024,551.05,568.80,544.95,565.95,555.798285064742512602,80936,2732,44984090.00,21804,26.94,23.85,14.90
28-February-2024,559.95,567.00,546.00,548.65,558.341668010969511211,24796,1091,13844640.00,6532,26.34,21.00,-11.30
27-February-2024,573.50,573.50,556.75,558.25,563.245992887697778694,38806,1625,21857324.00,18589,47.90,16.75,-15.25
