Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,338.15,344.60,337.35,341.75,340.354734139838518149,2544063,32859,865883886.00,1361184,53.50,7.25,3.60
31-July-2024,332.95,337.45,329.90,334.30,334.928454164246692367,1330937,10672,445768672.00,652569,49.03,7.55,1.35
30-July-2024,332.90,338.25,331.10,331.80,334.628400835318685843,1597953,20924,534720457.00,970465,60.73,7.15,-1.10
29-July-2024,334.00,339.65,330.75,332.95,334.129631468060932967,1450512,17422,484659040.00,863009,59.50,8.90,-1.05
26-July-2024,337.00,338.55,330.00,331.25,332.436715110904688253,1330602,14185,442340958.00,657870,49.44,8.55,-5.75
25-July-2024,318.45,337.45,316.30,335.75,329.795000480760485126,1539228,18585,507629699.00,358453,23.29,21.15,17.30
24-July-2024,313.85,325.80,312.15,319.50,320.496088335053826869,813720,12295,260794077.00,157507,19.36,13.65,5.65
23-July-2024,320.75,321.45,297.50,314.00,311.140924816890802270,1407630,19015,437971300.00,424593,30.16,23.95,-6.75
22-July-2024,319.05,323.35,315.35,320.80,320.383293111094371510,1765607,27320,565670985.00,1121995,63.55,8.00,1.75
19-July-2024,333.50,333.50,318.00,319.65,324.102935284475489906,1505033,15187,487785613.00,425292,28.26,15.50,-13.85
18-July-2024,325.00,333.45,321.60,331.20,328.894787431934007688,2779839,34135,914274557.00,1079094,38.82,11.85,6.20
16-July-2024,324.70,327.50,319.65,322.40,324.265432577721257743,2281197,35530,739713332.00,1158940,50.80,7.85,-2.30
15-July-2024,311.00,323.60,309.00,322.55,317.085588919008051737,1989136,20402,630726360.00,529508,26.62,14.60,11.55
12-July-2024,307.00,311.70,304.15,306.95,307.801394873384186269,1600432,21368,492615202.00,711095,44.43,7.55,-0.05
11-July-2024,300.00,307.10,295.10,304.80,303.039918631284373650,1338598,15372,405648629.00,504827,37.71,12.00,4.80
10-July-2024,299.05,299.85,288.85,298.05,295.082701961032655732,1184325,19007,349473821.00,549120,46.37,11.00,-1.00
9-July-2024,301.35,302.05,293.25,297.45,297.332202094309913124,1394636,21969,414670193.00,681430,48.86,8.80,-3.90
8-July-2024,290.00,303.00,287.50,299.25,295.355135270603240142,3224056,39321,952241496.00,1435155,44.51,15.50,9.25
5-July-2024,277.15,289.15,277.00,288.20,284.904464863252101648,3391862,44063,966356628.00,2259436,66.61,12.15,11.05
