Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,3023.80,3036.90,3009.85,3031.70,3024.725445853490968425,69866,4954,211325468.00,24549,35.14,27.05,7.90
31-July-2024,3013.95,3020.95,3003.10,3010.25,3011.854110813226094727,62664,4400,188734826.00,30467,48.62,17.85,-3.70
30-July-2024,3034.75,3049.90,3021.15,3025.55,3030.953643792755641857,145741,9849,441734215.00,91369,62.69,28.75,-9.20
29-July-2024,3039.95,3054.00,3025.45,3040.75,3037.635096089235317833,59528,6847,180824342.00,21496,36.11,28.55,0.80
26-July-2024,2998.75,3025.95,2981.90,3017.85,3014.942999154524848151,771164,29012,2325015503.00,160503,20.81,44.05,19.10
25-July-2024,2961.00,3001.15,2954.70,2982.60,2975.808016298127546582,87372,6937,260002298.00,28797,32.96,46.45,21.60
24-July-2024,2964.85,3020.00,2953.70,2990.65,2989.401019246342220787,164239,13739,490976234.00,80607,49.08,66.30,25.80
23-July-2024,3004.95,3012.85,2927.10,2975.65,2970.413557741867022405,263864,16386,783785203.00,115747,43.87,85.75,-29.30
22-July-2024,3070.15,3073.35,2998.80,3001.10,3019.662529659657079122,190073,18591,573956316.00,88177,46.39,74.55,-69.05
19-July-2024,3175.00,3179.00,3104.15,3109.50,3117.950423016267175506,573855,22612,1789251440.00,93572,16.31,74.85,-65.50
18-July-2024,3152.00,3186.60,3116.10,3170.35,3155.192262400000000000,156250,9358,492998791.00,35670,22.83,70.50,18.35
16-July-2024,3192.40,3200.00,3138.15,3151.45,3164.770488200689701805,59156,5295,187215163.00,26252,44.38,61.85,-40.95
15-July-2024,3200.15,3211.45,3171.00,3193.70,3188.527536013463446491,159246,10850,507760256.00,92720,58.22,40.45,-6.45
12-July-2024,3172.80,3209.95,3148.65,3193.45,3187.917422021994027304,722287,34872,2302591311.00,103376,14.31,61.30,20.65
11-July-2024,3178.00,3207.85,3140.65,3163.50,3171.794256750208369676,103182,7219,327272075.00,39131,37.92,67.20,-14.50
10-July-2024,3185.00,3195.00,3126.75,3166.90,3150.915016641281660743,70908,5040,223425082.00,28646,40.40,68.25,-18.10
9-July-2024,3199.95,3201.10,3162.05,3180.15,3177.187143402802645085,167556,10769,532356769.00,110558,65.98,39.05,-19.80
