Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,5785.00,5840.15,5700.00,5728.65,5775.283024197344882779,10621,1885,61339281.00,6277,59.10,140.15,-56.35
31-July-2024,5949.85,5949.85,5774.00,5785.65,5820.285108787793161910,3539,875,20597989.00,1711,48.35,175.85,-164.20
30-July-2024,5888.80,5987.95,5830.95,5840.65,5910.687395722736235401,6593,1569,38969162.00,2326,35.28,157.00,-48.15
29-July-2024,5934.90,5938.50,5840.15,5905.10,5879.354306658521686010,1637,458,9624503.00,721,44.04,98.35,-29.80
26-July-2024,5830.00,5885.00,5815.05,5872.40,5857.234059302020467069,3811,829,22321919.00,2076,54.47,69.95,42.40
25-July-2024,5825.00,5862.95,5804.20,5829.30,5830.619630628761153766,4819,944,28097756.00,1165,24.18,58.75,4.30
24-July-2024,5946.65,5947.25,5810.00,5825.90,5849.815826996197718631,8416,1655,49232050.00,3105,36.89,137.25,-120.75
23-July-2024,5894.00,6007.95,5841.05,5946.65,5942.573266522210184182,7384,1776,43879961.00,2685,36.36,166.90,52.65
22-July-2024,5877.60,5931.10,5840.05,5886.20,5871.329883066262451277,23090,2810,135569007.00,17639,76.39,91.05,8.60
19-July-2024,5862.75,5975.00,5860.05,5880.95,5901.766142308395829522,10934,2202,64529911.00,5149,47.09,114.95,18.20
18-July-2024,5863.15,5918.00,5820.00,5864.65,5869.786732664889791428,23637,3115,138744149.00,17734,75.03,98.00,1.50
16-July-2024,5827.40,5880.95,5782.65,5863.20,5849.288974429474841902,3637,925,21273864.00,1303,35.83,98.30,35.80
15-July-2024,5839.05,5850.00,5787.70,5808.20,5817.722095132917882779,12677,2807,73751263.00,5980,47.17,62.30,-30.85
12-July-2024,5801.75,5807.45,5715.00,5793.45,5750.835286314393101923,4523,1090,26011028.00,2812,62.17,92.45,-8.30
11-July-2024,5816.70,5816.70,5725.60,5758.50,5758.209969008264462809,3872,1205,22295789.00,1271,32.83,91.10,-58.20
10-July-2024,5685.50,5799.80,5683.05,5754.35,5748.908650963597430406,23350,5011,134237017.00,9359,40.08,116.75,68.85
9-July-2024,5698.60,5705.40,5587.00,5669.55,5636.884377501273375536,13743,2523,77467702.00,4890,35.58,118.40,-29.05
8-July-2024,5546.70,5615.00,5535.60,5567.50,5573.920494699646643109,10188,2227,56787102.00,5942,58.32,79.40,20.80
5-July-2024,5427.00,5553.00,5427.00,5547.30,5513.023183391003460207,5780,1266,31865274.00,1849,31.99,126.00,120.30
4-July-2024,5430.65,5485.60,5397.40,5425.80,5436.180064961429151441,4926,1118,26778623.00,3098,62.89,88.20,-4.85
3-July-2024,5417.90,5499.55,5396.95,5450.00,5464.346584964878194589,6691,1426,36561943.00,2748,41.07,102.60,32.10
2-July-2024,5483.55,5487.00,5386.55,5403.35,5430.990295031055900621,2576,565,13990231.00,799,31.02,100.45,-80.20
1-July-2024,5480.00,5482.15,5430.25,5470.95,5457.512633891787970337,7282,1876,39741607.00,4323,59.37,51.90,-9.05
28-June-2024,5425.60,5490.00,5422.00,5475.55,5466.880478087649402390,3514,912,19210618.00,1163,33.10,68.00,49.95
27-June-2024,5362.45,5447.95,5362.45,5429.00,5416.960142143680368805,10412,2286,56401389.00,6371,61.19,85.50,66.55
26-June-2024,5357.95,5433.00,5319.05,5422.35,5393.644595044995000555,9001,1844,48548195.00,6351,70.56,113.95,64.40
25-June-2024,5324.95,5379.65,5286.95,5359.45,5346.142291371994342291,7070,1480,37797226.00,3762,53.21,92.70,34.50
24-June-2024,5314.00,5329.35,5256.00,5301.30,5296.397552836484983314,4495,1249,23807307.00,1731,38.51,73.35,-12.70
21-June-2024,5378.00,5387.85,5319.55,5331.30,5362.150165337482979964,5141,1088,27566814.00,1529,29.74,68.30,-46.70
20-June-2024,5354.35,5400.00,5322.05,5381.35,5370.452772073921971252,1948,562,10461642.00,429,22.02,77.95,27.00
19-June-2024,5428.95,5428.95,5352.30,5360.10,5379.632755072037635989,3401,697,18296131.00,820,24.11,76.65,-68.85
18-June-2024,5392.05,5431.10,5376.25,5393.05,5390.155006858710562414,2916,590,15717692.00,1740,59.67,54.85,1.00
14-June-2024,5401.00,5449.95,5377.25,5393.00,5403.573818716675859533,5439,1194,29390038.00,2313,42.53,72.70,-8.00
13-June-2024,5449.95,5449.95,5343.00,5381.90,5393.819889502762430939,13575,2323,73221105.00,3480,25.64,106.95,-68.05
12-June-2024,5534.05,5571.65,5430.30,5439.65,5459.161110076364313652,5369,1175,29310236.00,1983,36.93,141.35,-94.40
11-June-2024,5483.00,5601.60,5483.00,5516.75,5564.814223057644110275,6384,1249,35525774.00,1904,29.82,118.60,33.75
10-June-2024,5499.95,5560.00,5434.60,5483.20,5513.723353610156043374,7562,1439,41694776.00,2637,34.87,125.40,-16.75
7-June-2024,5442.80,5467.85,5396.95,5463.25,5438.376536705303828591,5694,1550,30966116.00,3171,55.69,70.90,20.45
6-June-2024,5484.95,5491.65,5311.50,5442.85,5403.547345712304491871,12979,2808,70132641.00,5905,45.50,180.15,-42.10
5-June-2024,5350.00,5725.80,5320.05,5486.90,5573.272665241322840376,21983,4596,122517253.00,4982,22.66,405.75,136.90
4-June-2024,5163.65,5414.95,5129.40,5317.40,5273.742709260908281389,17968,3188,94758609.00,5488,30.54,285.55,153.75
3-June-2024,5185.70,5300.00,5157.80,5165.35,5199.153357281016855484,3619,799,18815736.00,1927,53.25,142.20,-20.35
31-May-2024,5213.95,5220.00,5113.45,5172.50,5182.515583259127337488,4492,1150,23279860.00,2187,48.69,106.55,-41.45
