Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,639.55,655.30,636.85,642.95,640.316430910974365934,501013,5570,320806856.00,31917,6.37,18.45,3.40
31-July-2024,635.30,640.40,630.25,635.35,635.933594600478989767,32151,1557,20445901.00,12753,39.67,10.15,0.05
30-July-2024,641.95,648.65,632.70,633.55,642.731371843642125083,130649,3491,83972211.00,32902,25.18,15.95,-8.40
29-July-2024,635.05,643.00,631.20,641.10,639.513721282623222369,531255,2933,339744862.00,472231,88.89,11.80,6.05
26-July-2024,631.00,635.00,625.50,632.95,631.408245469711221744,305113,1002,192650864.00,9618,3.15,9.50,1.95
25-July-2024,626.00,634.60,625.05,631.00,630.941326312793510744,70270,2104,44336247.00,21562,30.68,9.55,5.00
24-July-2024,653.75,653.75,618.05,633.65,629.259976789025185294,216277,8359,136094460.00,57704,26.68,35.70,-20.10
23-July-2024,643.95,662.45,632.60,654.00,651.831163732120252093,147723,7871,96290455.00,32282,21.85,29.85,10.05
22-July-2024,625.80,639.60,625.80,636.50,634.919931689698492462,50944,3264,32345361.00,26447,51.91,13.80,10.70
19-July-2024,647.50,647.50,632.00,633.00,645.039577082984329074,262652,2157,169420935.00,17114,6.52,15.50,-14.50
18-July-2024,640.95,651.00,639.95,644.50,646.599280277907289812,152281,4006,98464785.00,50642,33.26,11.05,3.55
16-July-2024,634.00,648.25,630.00,640.80,640.791307066066841540,73577,3363,47147502.00,22234,30.22,18.25,6.80
15-July-2024,633.70,638.50,629.90,632.20,633.259124884063505919,36658,2103,23214013.00,17739,48.39,8.60,-1.50
12-July-2024,630.55,633.30,626.50,629.95,630.952002097574282468,377579,1152,238234226.00,8664,2.29,6.80,-0.60
11-July-2024,633.00,635.00,624.00,629.10,627.745252690369159515,73410,3915,46082779.00,36476,49.69,11.00,-3.90
10-July-2024,630.00,637.20,619.55,632.60,632.151608851096724321,72443,2987,45794959.00,24576,33.92,17.65,2.60
9-July-2024,625.80,633.05,618.00,630.15,626.707129951545347532,146116,3257,91571939.00,26835,18.37,15.05,4.35
8-July-2024,610.50,633.05,610.50,623.30,625.406107582097505737,825695,17086,516394696.00,591476,71.63,22.55,12.80
5-July-2024,602.55,608.00,602.55,606.40,605.662075969937030266,49230,2563,29816744.00,26830,54.50,5.45,3.85
4-July-2024,600.05,613.55,600.05,606.20,609.444323551355384232,32168,1329,19604605.00,14045,43.66,13.50,6.15
3-July-2024,608.70,613.05,605.05,609.30,608.567696369184352178,58334,3312,35500188.00,29965,51.37,8.00,0.60
2-July-2024,613.60,615.85,602.05,603.10,608.321608430738622233,64336,2154,39136979.00,23575,36.64,13.80,-10.50
1-July-2024,600.05,613.20,600.05,610.80,609.733929715017611271,149904,5735,91401555.00,74430,49.65,13.15,10.75
28-June-2024,600.95,609.85,599.85,600.85,604.304693463897443996,37989,1576,22956931.00,11964,31.49,10.00,-0.10
27-June-2024,601.05,605.85,595.50,599.10,600.566797974113674732,71080,2719,42688288.00,24951,35.10,10.35,-1.95
26-June-2024,593.00,603.25,590.40,602.60,599.642619610556869077,52023,2398,31195208.00,16638,31.98,12.85,9.60
25-June-2024,604.95,605.00,592.55,593.05,596.496107434799532892,82208,3545,49036752.00,45124,54.89,12.45,-11.90
24-June-2024,589.10,602.85,589.10,599.75,595.538272587313394108,57809,3872,34427472.00,29050,50.25,13.75,10.65
21-June-2024,598.05,603.20,588.55,590.10,596.756918687589158345,21030,1371,12549798.00,6812,32.39,14.65,-7.95
20-June-2024,600.00,604.65,595.15,600.70,601.752181315173441157,28194,1404,16965801.00,11328,40.18,9.50,0.70
19-June-2024,600.20,603.25,593.95,598.40,599.221306325551003995,39791,2224,23843615.00,11947,30.02,9.30,-1.80
18-June-2024,610.00,613.20,598.00,600.05,602.098800396278428669,92864,2567,55913303.00,31433,33.85,15.20,-9.95
14-June-2024,610.20,618.20,607.40,608.60,612.516617495467955781,28133,1108,17231930.00,7212,25.64,10.80,-1.60
13-June-2024,613.30,614.00,588.85,609.60,606.001044719072493311,156980,3560,95130044.00,31637,20.15,25.15,-3.70
12-June-2024,613.45,622.80,612.00,619.45,617.681478489194102201,49510,1805,30581410.00,19324,39.03,10.80,6.00
11-June-2024,620.00,623.00,608.00,613.40,616.388321801283368728,43791,2109,26992261.00,17249,39.39,15.00,-6.60
10-June-2024,605.95,627.00,604.75,619.65,617.144747258670349845,118738,3674,73278533.00,36979,31.14,22.25,13.70
7-June-2024,599.65,614.70,598.00,612.60,608.968376669009135628,210604,7264,128251176.00,109745,52.11,16.70,12.95
6-June-2024,600.00,605.30,582.00,597.40,590.943367849986596209,220087,8388,130058953.00,88602,40.26,23.30,-2.60
5-June-2024,585.65,634.00,584.00,600.40,613.790857606700565949,1594134,34173,978464875.00,907393,56.92,50.00,14.75
4-June-2024,545.55,585.00,536.45,578.85,566.563213725808028251,808171,27883,457879959.00,351786,43.53,48.55,33.30
3-June-2024,552.95,560.65,543.30,544.90,548.919110397475985239,70998,3797,38972159.00,34928,49.20,17.35,-8.05
31-May-2024,551.15,554.05,541.00,546.05,547.840463909841686294,67082,1761,36750234.00,20146,30.03,13.05,-5.10
30-May-2024,554.95,557.65,549.65,550.85,552.104995025558338193,58298,1552,32186617.00,12572,21.56,8.00,-4.10
29-May-2024,570.80,570.80,553.45,554.95,560.808755094836162906,31159,1543,17474240.00,10729,34.43,17.35,-15.85
28-May-2024,569.95,579.00,564.40,570.70,572.888590495884414485,74473,2433,42664732.00,19454,26.12,14.60,0.75
27-May-2024,558.80,570.95,558.80,567.10,567.801336200276455229,91154,2597,51757363.00,41260,45.26,12.15,8.30
24-May-2024,558.05,564.80,554.50,557.55,559.853084925118823423,44604,2134,24971687.00,11707,26.25,10.30,-0.50
23-May-2024,555.00,561.55,552.00,559.55,557.491606552956246207,44499,1757,24807819.00,15458,34.74,9.55,4.55
22-May-2024,544.95,555.60,539.65,553.80,551.125803952968207413,114901,3028,63324906.00,33189,28.88,15.95,8.85
21-May-2024,539.85,540.65,533.95,538.85,536.996841689696012633,35462,1544,19042982.00,14893,42.00,6.70,-1.00
18-May-2024,538.05,544.65,534.25,539.90,538.916080286076825470,17338,952,9343727.00,10776,62.15,10.40,1.85
17-May-2024,541.65,543.15,535.05,536.00,537.714206805125939019,27156,1107,14602167.00,9706,35.74,8.10,-5.65
16-May-2024,548.70,548.70,534.60,541.60,540.477532634859123278,200246,4064,108228464.00,54779,27.36,14.10,-7.10
15-May-2024,554.35,555.05,542.95,546.05,546.661387602630452546,25699,1363,14048651.00,8304,32.31,12.10,-8.30
14-May-2024,549.65,562.60,549.65,554.40,556.912150089338892197,43654,1563,24311443.00,9899,22.68,12.95,4.75
13-May-2024,551.05,553.00,543.50,550.20,548.760775785863300449,56562,2877,31039007.00,31461,55.62,9.50,-0.85
10-May-2024,550.00,552.00,540.45,551.05,547.930748068987408739,37804,1580,20713974.00,10627,28.11,11.55,1.05
9-May-2024,565.05,565.05,550.55,552.60,557.590146806330107941,150266,5713,83786841.00,83823,55.78,14.50,-12.45
8-May-2024,559.85,561.95,554.00,556.65,558.037820409479284217,155075,6335,86537715.00,97368,62.79,7.95,-3.20
7-May-2024,534.15,566.75,532.90,559.05,557.942486107891828636,1151913,47665,642701203.00,603706,52.41,33.85,24.90
6-May-2024,532.45,535.25,524.25,530.85,529.410880498213465652,89279,2400,47265274.00,43856,49.12,11.00,-1.60
3-May-2024,535.65,537.50,524.30,531.25,529.860934515934747581,194261,4557,102931315.00,48838,25.14,13.20,-4.40
2-May-2024,508.60,536.20,508.05,524.30,520.853477001907068510,242781,6214,126453328.00,56045,23.08,28.15,15.70
30-April-2024,507.00,512.05,506.00,507.55,508.639358108108108108,53280,1576,27100305.00,25489,47.84,6.05,0.55
29-April-2024,512.00,512.50,505.85,506.65,508.923248786446780467,62214,3372,31662151.00,36384,58.48,6.65,-5.35
26-April-2024,505.45,511.05,505.25,509.00,509.235901137025500772,78978,2678,40218433.00,55906,70.79,5.80,3.55
25-April-2024,509.30,510.00,504.20,506.75,506.499898468911180603,24623,1151,12471547.00,9354,37.99,5.80,-2.55
24-April-2024,510.00,510.20,507.55,509.30,509.247408934952267515,56251,2156,28645676.00,35869,63.77,2.65,-0.70
23-April-2024,508.15,510.50,504.75,507.20,508.330638250307388501,80517,3175,40929258.00,52907,65.71,5.75,-0.95
22-April-2024,504.80,508.00,503.55,506.25,505.848965639562069688,62019,2407,31372247.00,37958,61.20,4.45,1.45
19-April-2024,500.45,505.75,496.10,504.35,501.242329924410849266,76466,4462,38327996.00,39506,51.66,9.65,3.90
18-April-2024,505.20,507.80,501.00,504.10,505.010669614033551832,91381,3041,46148380.00,46573,50.97,6.80,-1.10
16-April-2024,495.75,505.55,489.00,503.90,501.997347354459760314,105555,3654,52988330.00,60649,57.46,16.55,8.15
15-April-2024,495.10,497.20,489.20,495.25,494.059345407741105084,261048,8362,128973204.00,190382,72.93,8.00,0.15
