Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,2710.35,2724.05,2695.05,2715.80,2707.998395061728395061,81000,6441,219347870.00,40938,50.54,29.00,5.45
31-July-2024,2692.15,2708.00,2676.00,2706.05,2691.385776293823038397,44925,3180,120910506.00,29567,65.81,32.00,13.90
30-July-2024,2715.05,2754.00,2685.50,2690.75,2723.843196127670415256,54954,5202,149686079.00,22690,41.29,68.50,-24.30
29-July-2024,2711.75,2720.00,2692.15,2715.05,2706.758032215933826730,80395,5422,217609812.00,44088,54.84,27.85,3.30
26-July-2024,2709.30,2726.10,2687.45,2711.75,2709.660392304447189435,329489,16581,892803293.00,58039,17.61,38.65,2.45
25-July-2024,2702.30,2724.00,2671.10,2709.25,2703.194218312324929971,45696,4071,123525163.00,17026,37.26,52.90,6.95
24-July-2024,2759.95,2759.95,2674.10,2716.80,2717.288955950125154981,128241,9703,348467853.00,65448,51.04,85.85,-43.15
23-July-2024,2736.05,2812.00,2730.45,2766.50,2772.842472266244057052,119890,9627,332436084.00,36908,30.78,81.55,30.45
22-July-2024,2709.95,2748.00,2707.95,2734.50,2730.479657387580299785,42497,3649,116037194.00,19781,46.55,40.05,24.55
19-July-2024,2725.45,2743.15,2716.25,2726.65,2727.910308620489615964,172380,14440,470237179.00,24157,14.01,26.90,1.20
18-July-2024,2692.00,2750.00,2655.05,2736.45,2721.991369124864900462,258143,20960,702663018.00,133290,51.63,94.95,44.45
16-July-2024,2620.65,2724.95,2620.65,2689.65,2686.427526725128211566,159307,9990,427966710.00,70743,44.41,104.30,69.00
15-July-2024,2625.25,2628.25,2613.50,2618.90,2620.797253299158324962,57742,5839,151330075.00,35127,60.83,14.75,-6.35
12-July-2024,2600.00,2639.00,2599.95,2622.40,2624.144852239008023767,273313,20401,717212902.00,56652,20.73,39.05,22.40
