Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,497.40,497.40,491.00,493.75,493.281563046451635242,288795,6242,142457249.00,106234,36.79,6.40,-3.65
31-July-2024,494.80,498.00,490.40,495.05,493.737008321723570584,777363,17597,383812882.00,458834,59.02,7.60,0.25
30-July-2024,496.90,497.70,488.85,490.00,492.347615648837935495,403506,8774,198665217.00,170235,42.19,8.85,-6.90
29-July-2024,508.95,508.95,494.05,495.90,498.385795255120061384,903163,20344,450123610.00,464411,51.42,14.90,-13.05
26-July-2024,494.95,506.25,487.50,502.60,498.442312125459467188,1028093,18249,512445052.00,314709,30.61,18.75,7.65
25-July-2024,490.00,495.90,484.75,489.80,490.320762005960550634,1151907,26682,564803918.00,573323,49.77,11.15,-0.20
24-July-2024,496.90,510.60,490.65,494.05,500.274246053879548544,1556212,36310,778532785.00,397416,25.54,19.95,-2.85
23-July-2024,467.05,497.50,466.55,492.05,482.074502819514660473,1895539,30989,913791021.00,562017,29.65,30.95,25.00
22-July-2024,475.00,479.40,465.75,466.30,471.137577840306287190,433580,9426,204275831.00,171595,39.58,13.65,-8.70
19-July-2024,471.55,479.35,469.50,474.30,474.548043354355592832,1079015,21573,512044457.00,361885,33.54,9.85,2.75
18-July-2024,464.95,470.80,462.50,470.10,467.554463491505693985,637427,14076,298031839.00,358061,56.17,8.30,5.15
16-July-2024,463.00,466.65,461.30,465.50,464.386676285924241645,447713,6423,207911952.00,204500,45.68,5.35,2.50
15-July-2024,459.00,466.20,457.20,462.80,462.740929408949509452,522375,8219,241724293.00,316872,60.66,9.00,3.80
12-July-2024,459.45,463.50,455.80,459.00,458.918940073737393441,2050520,34803,941022465.00,842478,41.09,7.70,-0.45
11-July-2024,450.55,459.45,448.65,458.70,455.676211103694723315,440466,9599,200709878.00,198546,45.08,10.80,8.15
