Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,7500.00,7500.00,6965.15,7065.05,7031.376425855513307984,789,466,5547756.00,129,16.35,534.85,-434.95
31-July-2024,6982.10,7178.35,6982.10,7030.70,7075.335543766578249336,754,403,5334803.00,286,37.93,196.25,48.60
30-July-2024,7164.80,7164.80,6960.00,6989.20,6994.610412926391382405,557,254,3895998.00,223,40.04,204.80,-175.60
29-July-2024,7299.95,7299.95,6975.55,7024.30,7066.374321880650994575,1659,696,11723115.00,608,36.65,324.40,-275.65
26-July-2024,6941.10,7377.95,6941.10,7173.30,7200.509954375777685607,4822,1251,34720859.00,2314,47.99,436.85,232.20
25-July-2024,6970.65,7088.45,6904.35,6937.15,6992.921998247151621384,1141,474,7978924.00,319,27.96,184.10,-33.50
24-July-2024,7074.15,7177.45,6872.95,7076.10,7032.822541518940100765,5359,1752,37688896.00,1502,28.03,304.50,1.95
23-July-2024,6291.00,7349.95,6232.30,7064.65,6863.889064387252624732,10763,3081,73876038.00,968,8.99,1117.65,773.65
22-July-2024,6250.55,6341.80,6229.10,6243.05,6273.031067961165048543,1030,421,6461222.00,496,48.16,112.70,-7.50
19-July-2024,6630.50,6630.50,6303.95,6349.65,6405.326219512195121951,328,188,2100947.00,115,35.06,326.55,-280.85
18-July-2024,6564.00,6592.35,6431.00,6442.80,6486.134343434343434343,990,478,6421273.00,443,44.75,161.35,-121.20
16-July-2024,6460.10,6836.35,6460.10,6566.50,6662.001980198019801980,1010,496,6728622.00,311,30.79,376.25,106.40
15-July-2024,6750.00,6769.60,6585.70,6625.00,6700.578085642317380352,794,325,5320259.00,360,45.34,183.90,-125.00
12-July-2024,6877.15,6877.15,6700.15,6756.05,6820.940573770491803278,488,190,3328619.00,177,36.27,177.00,-121.10
11-July-2024,6839.55,6980.70,6750.00,6864.45,6846.342022940563086548,959,410,6565642.00,283,29.51,230.70,24.90
10-July-2024,6853.90,6895.25,6720.00,6737.75,6803.343562374916611074,1499,504,10198212.00,919,61.31,175.25,-116.15
9-July-2024,6750.00,6944.45,6693.95,6915.85,6838.816023738872403560,1011,431,6914043.00,254,25.12,250.50,165.85
8-July-2024,6855.00,6870.00,6725.00,6737.20,6772.552813425468904244,1013,380,6860596.00,319,31.49,145.00,-117.80
5-July-2024,7172.05,7172.05,6851.10,6891.75,6951.604349484929416253,2621,1045,18220155.00,741,28.27,320.95,-280.30
4-July-2024,6399.00,7550.00,6399.00,7120.15,7138.944664031620553359,12144,3021,86695344.00,2251,18.54,1151.00,721.15
3-July-2024,6418.00,6511.00,6349.60,6388.60,6424.852433281004709576,637,224,4092631.00,299,46.94,161.40,-29.40
2-July-2024,6439.95,6530.65,6306.20,6366.65,6385.898601398601398601,572,194,3652734.00,367,64.16,224.45,-73.30
1-July-2024,6260.00,6482.45,6171.25,6379.75,6312.844064386317907444,994,359,6274967.00,283,28.47,311.20,119.75
28-June-2024,6317.50,6750.00,6209.00,6240.00,6445.948575949367088607,1264,373,8147679.00,575,45.49,541.00,-77.50
27-June-2024,6575.00,6575.00,6290.00,6370.20,6359.414634146341463414,287,164,1825152.00,94,32.75,285.00,-204.80
26-June-2024,6225.65,6456.60,6160.25,6379.95,6333.652650822669104204,547,248,3464508.00,196,35.83,296.35,154.30
25-June-2024,6390.00,6390.00,6290.10,6319.50,6329.589147286821705426,387,200,2449551.00,208,53.75,99.90,-70.50
24-June-2024,6337.25,6483.10,6271.10,6319.15,6393.073732718894009216,434,243,2774594.00,110,25.35,212.00,-18.10
21-June-2024,6417.10,6452.75,6320.20,6350.95,6388.445300462249614791,649,373,4146101.00,177,27.27,132.55,-66.15
20-June-2024,6369.25,6413.30,6346.30,6375.00,6380.090659340659340659,364,235,2322353.00,125,34.34,67.00,5.75
19-June-2024,6512.00,6512.00,6320.30,6380.35,6373.625000000000000000,496,316,3161318.00,177,35.69,191.70,-131.65
18-June-2024,6458.00,6552.85,6380.00,6435.55,6426.875229357798165137,545,242,3502647.00,214,39.27,172.85,-22.45
14-June-2024,6375.40,6600.05,6372.50,6458.00,6473.906336088154269972,1089,435,7050084.00,394,36.18,227.55,82.60
13-June-2024,6230.00,6471.00,6230.00,6350.95,6355.981260647359454855,587,275,3730961.00,128,21.81,241.00,120.95
12-June-2024,6355.00,6370.60,6303.90,6332.05,6335.493693693693693693,555,295,3516199.00,202,36.40,66.70,-22.95
11-June-2024,6123.00,6474.85,6123.00,6350.25,6374.239682539682539682,630,322,4015771.00,223,35.40,351.85,227.25
10-June-2024,6299.95,6312.00,6191.30,6222.15,6241.031847133757961783,314,167,1959684.00,118,37.58,120.70,-77.80
7-June-2024,6208.00,6321.00,6170.70,6252.50,6252.693548387096774193,868,427,5427338.00,359,41.36,150.30,44.50
6-June-2024,6071.45,6229.50,6025.60,6205.25,6157.998468606431852986,653,296,4021173.00,158,24.20,203.90,133.80
5-June-2024,5700.00,6155.90,5635.00,6003.45,5938.434889434889434889,814,408,4833886.00,228,28.01,520.90,303.45
4-June-2024,6195.15,6195.15,5415.55,5630.80,5804.530937500000000000,3200,1147,18574499.00,1264,39.50,779.60,-564.35
3-June-2024,6361.00,6361.00,6051.75,6073.65,6132.908479138627187079,1486,409,9113502.00,899,60.50,309.25,-287.35
