Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1916.30,1959.55,1912.60,1953.55,1937.523988503205836833,104029,5746,201558683.00,73362,70.52,46.95,37.25
31-July-2024,1878.85,1924.90,1862.45,1912.60,1906.179595356859820055,42902,3061,81778917.00,16773,39.10,62.45,33.75
30-July-2024,1859.85,1881.90,1854.55,1862.00,1871.785050928699820251,13352,887,24992074.00,6463,48.40,27.35,2.15
29-July-2024,1859.95,1879.85,1840.55,1860.80,1865.222410945977824958,21195,2186,39533389.00,8565,40.41,39.30,0.85
26-July-2024,1814.95,1849.80,1803.65,1839.55,1839.496229810961192344,170018,9041,312747470.00,150804,88.70,46.15,24.60
25-July-2024,1805.10,1821.90,1796.80,1801.15,1808.918637387387387387,10656,1314,19275837.00,5100,47.86,25.10,-3.95
24-July-2024,1795.60,1824.55,1794.10,1816.10,1816.051566219475667239,63433,3555,115197599.00,51968,81.93,30.45,20.50
23-July-2024,1805.10,1822.95,1775.00,1799.95,1800.031381299204311034,118765,5757,213780727.00,100650,84.75,47.95,-5.15
22-July-2024,1780.70,1844.00,1767.20,1804.95,1820.164127837514934289,13392,1396,24375638.00,3173,23.69,76.80,24.25
19-July-2024,1823.20,1823.20,1778.85,1786.40,1793.421195652173913043,7360,611,13199580.00,3321,45.12,44.35,-36.80
18-July-2024,1844.00,1844.00,1812.05,1816.40,1827.722990216928966397,9404,1196,17187907.00,4308,45.81,31.95,-27.60
16-July-2024,1844.40,1847.60,1822.00,1844.50,1835.074780484968308425,17197,1275,31557781.00,4510,26.23,25.60,0.10
15-July-2024,1820.00,1838.15,1802.85,1832.10,1823.360081230055120394,17235,1547,31425611.00,5828,33.81,35.30,12.10
12-July-2024,1826.95,1826.95,1794.75,1797.10,1805.574685418208734270,6755,905,12196657.00,3908,57.85,32.20,-29.85
11-July-2024,1826.00,1826.00,1807.40,1816.90,1815.422628250175685172,7115,865,12916732.00,2769,38.92,18.60,-9.10
10-July-2024,1837.00,1837.00,1791.10,1826.85,1817.691451639299547215,36662,3325,66640204.00,10034,27.37,45.90,-10.15
9-July-2024,1780.05,1820.00,1767.15,1812.85,1793.923903991709384310,54037,6667,96938266.00,33097,61.25,52.85,32.80
8-July-2024,1770.00,1785.10,1761.00,1779.15,1773.465774142953170513,17852,3045,31659911.00,8613,48.25,24.10,9.15
5-July-2024,1765.00,1785.00,1755.50,1769.40,1768.888928156136710823,87718,6881,155163399.00,37273,42.49,29.50,4.40
4-July-2024,1645.00,1766.00,1645.00,1760.30,1723.179336431545199176,367739,15891,633680246.00,129426,35.20,121.00,115.30
3-July-2024,1640.00,1654.90,1626.45,1630.80,1643.017252543940795559,43240,4571,71044066.00,26418,61.10,28.45,-9.20
2-July-2024,1620.00,1637.65,1614.90,1633.10,1626.325008079036055583,43322,3812,70455652.00,28095,64.85,22.75,13.10
1-July-2024,1620.00,1622.05,1598.05,1616.20,1610.571428571428571428,8939,1280,14396898.00,3565,39.88,24.00,-3.80
28-June-2024,1584.30,1634.65,1580.00,1621.15,1617.220950810441217873,99452,9157,160835858.00,64804,65.16,54.65,36.85
27-June-2024,1587.20,1601.60,1571.65,1584.30,1586.720286235331430383,50448,3387,80046865.00,33535,66.47,29.95,-2.90
26-June-2024,1555.15,1589.30,1545.00,1584.45,1578.515623725218242636,12257,1188,19347866.00,5585,45.57,44.30,29.30
25-June-2024,1562.05,1575.00,1555.00,1557.95,1563.373882151169913022,16326,2065,25523642.00,7263,44.49,20.00,-4.10
24-June-2024,1565.00,1589.85,1562.00,1567.05,1575.407766990291262135,21630,2324,34076070.00,5549,25.65,27.85,2.05
21-June-2024,1531.15,1578.35,1531.15,1559.75,1557.985477781004937554,13772,1489,21456576.00,7384,53.62,47.20,28.60
20-June-2024,1575.00,1575.05,1552.00,1555.10,1558.125005076554440969,24623,3181,38365712.00,12956,52.62,23.05,-19.90
19-June-2024,1589.75,1589.90,1565.95,1572.65,1575.347265853788403173,18781,2398,29586597.00,9469,50.42,23.95,-17.10
18-June-2024,1614.95,1614.95,1571.15,1582.15,1582.171274474256707759,22064,1651,34909027.00,8957,40.60,43.80,-32.80
14-June-2024,1624.00,1624.00,1597.80,1603.85,1603.916806409539780137,10734,855,17216443.00,2829,26.36,26.20,-20.15
13-June-2024,1611.75,1621.00,1601.65,1605.35,1606.639798631144295491,17679,864,28403785.00,12880,72.85,19.35,-6.40
12-June-2024,1625.00,1625.00,1597.95,1605.40,1607.154977479547752550,21758,1549,34968478.00,8989,41.31,27.05,-19.60
11-June-2024,1635.60,1637.00,1611.10,1614.50,1621.020789234956153613,26456,2045,42885726.00,16334,61.74,25.90,-21.10
10-June-2024,1647.80,1664.10,1609.35,1636.25,1633.901010766864425401,54612,4282,89230602.00,23800,43.58,54.75,-11.55
7-June-2024,1622.15,1650.00,1617.95,1629.20,1635.505118486769862916,28231,2274,46171945.00,17221,61.00,32.05,7.05
6-June-2024,1641.05,1649.00,1602.00,1607.65,1620.044032023289665211,13740,1068,22259405.00,6974,50.76,47.00,-33.40
5-June-2024,1582.70,1644.65,1572.25,1629.80,1617.742222729607854329,17519,1666,28341226.00,9521,54.35,72.40,47.10
4-June-2024,1580.05,1592.35,1493.75,1563.25,1556.486854231948656936,59677,4677,92886466.00,33597,56.30,98.60,-16.80
