Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,5659.95,5659.95,5558.00,5626.05,5607.129197945476096404,2531,950,14191644.00,1478,58.40,101.95,-33.90
31-July-2024,5581.05,5671.75,5531.55,5653.60,5618.080662393162393162,1872,631,10517047.00,942,50.32,140.20,72.55
30-July-2024,5501.05,5644.30,5501.05,5574.50,5551.575963718820861678,28224,1376,156687680.00,25118,89.00,143.25,73.45
29-July-2024,5201.00,5446.55,5201.00,5365.65,5348.658948194662480376,2548,734,13628383.00,924,36.26,245.55,164.65
26-July-2024,5290.00,5329.95,5223.35,5240.25,5283.240572792362768496,2095,610,11068389.00,1023,48.83,106.60,-49.75
25-July-2024,5288.00,5372.30,5230.25,5300.80,5309.012214551248008497,1883,537,9996870.00,664,35.26,142.05,12.80
24-July-2024,5196.05,5342.00,5141.50,5291.80,5279.663105544299134278,5429,1562,28663291.00,2933,54.02,200.50,95.75
23-July-2024,5028.50,5232.65,5007.40,5195.95,5139.260147601476014760,3794,987,19498353.00,1101,29.02,225.25,167.45
22-July-2024,4920.10,5097.35,4920.10,5008.70,5030.742150333016175071,1051,261,5287310.00,579,55.09,177.25,88.60
19-July-2024,5088.00,5105.00,5025.00,5055.05,5061.769350811485642946,3204,913,16217909.00,2103,65.64,80.00,-32.95
18-July-2024,5005.00,5172.60,5005.00,5088.35,5107.546712802768166089,7225,1708,36902025.00,4016,55.58,167.60,83.35
16-July-2024,4882.05,5030.00,4882.05,5008.20,5005.981594023380041805,51668,676,258649057.00,50949,98.61,147.95,126.15
15-July-2024,4900.00,5022.30,4835.60,4942.50,4929.345275590551181102,2540,1017,12520537.00,1005,39.57,186.70,42.50
12-July-2024,5024.90,5024.90,4831.30,4851.85,4936.881107491856677524,1228,352,6062490.00,636,51.79,193.60,-173.05
11-July-2024,5020.00,5029.65,4912.05,4950.20,4966.520000000000000000,2300,629,11422996.00,1247,54.22,117.60,-69.80
10-July-2024,4725.25,5050.00,4725.25,5016.30,4942.867097876494996338,8194,2507,40501853.00,2263,27.62,324.75,291.05
9-July-2024,4553.05,4746.15,4553.05,4705.50,4687.679763413603717786,2367,934,11095738.00,1460,61.68,193.10,152.45
8-July-2024,4525.80,4637.85,4525.80,4595.15,4592.367945823927765237,443,202,2034419.00,179,40.41,112.05,69.35
5-July-2024,4658.00,4658.00,4599.70,4618.15,4614.997392438070404172,767,340,3539703.00,366,47.72,58.30,-39.85
4-July-2024,4622.00,4655.85,4576.95,4625.20,4623.675830469644902634,873,331,4036469.00,417,47.77,78.90,3.20
3-July-2024,4649.85,4649.85,4544.10,4587.80,4600.124010554089709762,1137,460,5230341.00,534,46.97,105.75,-62.05
2-July-2024,4648.30,4648.30,4580.60,4587.30,4616.496226415094339622,530,249,2446743.00,188,35.47,67.70,-61.00
1-July-2024,4530.40,4634.90,4530.40,4599.60,4598.559701492537313432,1474,627,6778277.00,681,46.20,104.50,69.20
28-June-2024,4596.00,4622.70,4510.00,4529.45,4539.298158096699923254,2606,860,11829411.00,1322,50.73,112.70,-66.55
27-June-2024,4616.05,4654.70,4502.00,4529.90,4589.847172694854814060,1963,646,9009870.00,725,36.93,152.70,-86.15
26-June-2024,4679.50,4679.50,4600.30,4607.60,4630.899598393574297188,1494,550,6918564.00,704,47.12,79.20,-71.90
25-June-2024,4650.00,4677.90,4589.00,4609.20,4620.694728560188827694,1271,518,5872903.00,489,38.47,88.90,-40.80
