Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1264.30,1264.30,1236.90,1241.60,1248.704128934885726606,18552,1330,23165959.00,7614,41.04,27.40,-22.70
31-July-2024,1230.50,1250.80,1227.30,1246.65,1243.730070146882145486,25803,1844,32091967.00,7359,28.52,23.50,16.15
30-July-2024,1245.00,1245.00,1215.20,1218.65,1226.558781832501969020,19045,1548,23359812.00,7881,41.38,29.80,-26.35
29-July-2024,1220.00,1251.00,1210.05,1234.75,1235.992338204592901878,95800,6849,118408066.00,36427,38.02,40.95,14.75
26-July-2024,1214.95,1214.95,1197.00,1206.25,1206.354605195605298285,19478,1692,23497375.00,6566,33.71,17.95,-8.70
25-July-2024,1170.05,1209.50,1168.50,1205.60,1192.096338501774705772,53530,4432,63812917.00,27010,50.46,41.00,35.55
24-July-2024,1213.95,1213.95,1148.00,1179.45,1171.189951598265604517,39668,2623,46458763.00,16475,41.53,65.95,-34.50
23-July-2024,1155.00,1158.25,1126.00,1148.85,1148.231971963876533225,81609,3512,93706063.00,56543,69.29,32.25,-6.15
22-July-2024,1139.80,1165.45,1122.00,1154.40,1154.708090437762593207,2152331,5587,2485314019.00,2089809,97.10,43.45,14.60
19-July-2024,1165.00,1168.75,1137.90,1144.60,1159.305796756859574872,105145,4403,121895208.00,72594,69.04,30.85,-20.40
18-July-2024,1184.60,1189.60,1159.80,1185.30,1175.690356735061070551,28901,2746,33978627.00,15068,52.14,29.80,0.70
16-July-2024,1190.15,1197.50,1178.00,1184.85,1187.335126560452444996,14499,1287,17215172.00,5622,38.78,19.50,-5.30
15-July-2024,1175.00,1198.80,1172.70,1187.90,1187.988365260312610177,25527,2123,30325779.00,12185,47.73,26.10,12.90
12-July-2024,1174.45,1183.40,1164.00,1174.85,1172.723027982017194086,114109,4921,133818252.00,86082,75.44,19.40,0.40
11-July-2024,1199.45,1203.20,1155.10,1164.30,1174.218717878886380208,113827,4843,133657794.00,32058,28.16,48.10,-35.15
10-July-2024,1166.20,1190.00,1133.55,1180.40,1157.771991742691616168,45051,4345,52158786.00,22867,50.76,56.45,14.20
9-July-2024,1158.05,1177.20,1157.10,1166.20,1166.999656744961506399,20393,1919,23798624.00,4798,23.53,20.10,8.15
8-July-2024,1165.00,1183.95,1154.30,1155.60,1163.152698824546919841,127185,7255,147935576.00,93958,73.88,29.65,-9.40
5-July-2024,1147.95,1166.60,1137.40,1162.40,1156.060321373541712524,113575,7629,131299551.00,39494,34.77,29.20,14.45
4-July-2024,1100.00,1144.00,1093.20,1137.20,1117.859406637459261790,196069,5778,219177576.00,123559,63.02,50.80,37.20
3-July-2024,1076.00,1114.30,1071.05,1094.65,1100.386564853988236508,48455,3311,53319231.00,12166,25.11,43.25,18.65
2-July-2024,1072.55,1079.80,1059.00,1074.45,1070.022460262612301313,23152,1984,24773160.00,5716,24.69,20.80,1.90
1-July-2024,1090.75,1096.00,1060.00,1066.95,1070.994578465978898921,51277,4114,54917389.00,16889,32.94,36.00,-23.80
28-June-2024,1058.45,1084.45,1058.45,1074.35,1076.893087462365490387,212903,6755,229273769.00,179615,84.36,26.00,15.90
