Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,314.30,319.90,305.70,308.35,312.256034392671852879,1923433,26669,600603561.00,673412,35.01,14.20,-5.95
31-July-2024,316.50,319.45,312.00,315.50,315.455107087630079272,3080141,25482,971646209.00,1376763,44.70,7.45,-1.00
30-July-2024,323.45,326.95,316.55,317.35,322.372576396870090377,2024723,31632,652715170.00,1104047,54.53,10.40,-6.10
29-July-2024,327.70,327.70,319.00,323.15,322.506405036642767770,1963689,17953,633302280.00,665489,33.89,8.70,-4.55
26-July-2024,313.85,318.05,310.70,317.25,315.202530674974454884,599919,7012,189095987.00,158281,26.38,7.35,3.40
25-July-2024,303.55,312.55,301.40,311.15,308.815415080014622111,675689,9021,208663179.00,126716,18.75,11.15,7.60
24-July-2024,308.05,313.20,306.90,309.10,309.750241885022338170,1415962,16227,438594572.00,415026,29.31,6.30,1.05
23-July-2024,307.35,315.50,282.85,307.35,304.092523994000758797,5398016,60047,1641496310.00,1027223,19.03,32.65,0.00
22-July-2024,294.25,306.30,289.20,304.90,300.488044936795147161,2002457,25160,601714389.00,623873,31.16,17.10,10.65
19-July-2024,306.95,307.70,293.00,294.25,298.708849418948427923,1283621,18184,383428952.00,439910,34.27,14.70,-12.70
18-July-2024,319.95,319.95,306.30,308.55,310.317895777055076079,1234565,16641,383107613.00,358531,29.04,13.65,-11.40
16-July-2024,325.30,327.30,319.25,319.95,322.520938629023183207,417673,6807,134708288.00,166729,39.92,8.05,-5.35
15-July-2024,327.85,328.30,322.10,325.30,325.618303547692117917,940386,9159,306206894.00,531291,56.50,6.20,-2.55
12-July-2024,332.35,333.75,321.35,325.80,328.272335571058751261,911640,12037,299266192.00,303047,33.24,12.40,-6.55
11-July-2024,329.80,334.80,328.50,332.65,332.758323644900913536,1020977,11216,339738595.00,362555,35.51,6.30,2.85
10-July-2024,331.20,331.20,314.80,327.85,325.047274927671159866,1178299,13772,383002879.00,284479,24.14,16.40,-3.35
9-July-2024,332.30,335.40,323.00,329.25,330.077272097111705280,3527237,37741,1164260767.00,1339524,37.98,12.40,-3.05
8-July-2024,317.80,329.95,315.65,328.40,324.682262259509799832,1942023,17781,630540421.00,695107,35.79,14.30,10.60
5-July-2024,311.00,321.95,308.40,316.35,315.467442537499653422,1731216,15808,546142284.00,653872,37.77,13.55,5.35
4-July-2024,314.00,317.20,309.40,311.00,313.535986708458205818,2837895,28285,889782209.00,1296372,45.68,7.80,-3.00
3-July-2024,298.00,313.60,297.70,311.30,304.000539062568802321,2157449,23696,655865659.00,1245300,57.72,15.90,13.30
2-July-2024,303.50,304.00,293.80,297.05,298.399923819807959350,540823,6738,161381542.00,194073,35.88,10.20,-6.45
1-July-2024,302.40,304.20,297.25,302.15,299.691478716342904812,997338,13417,298893700.00,438258,43.94,6.95,-0.25
28-June-2024,305.70,307.95,300.00,300.75,304.137209650266773635,3395388,34889,1032663832.00,1516450,44.66,7.95,-4.95
27-June-2024,296.00,300.65,291.90,297.20,297.018044526219598537,2273986,22574,675414875.00,1154406,50.77,8.75,1.20
26-June-2024,294.75,297.50,293.45,295.80,296.221722294403730584,1019036,10232,301860599.00,713094,69.98,4.05,1.05
25-June-2024,295.05,299.90,292.80,293.75,295.379178419330865928,954039,7290,281803256.00,463866,48.62,7.10,-1.30
24-June-2024,294.35,297.80,288.60,294.60,294.492774880546075085,915625,8930,269644947.00,336185,36.72,9.20,0.25
21-June-2024,294.45,299.60,291.50,294.95,295.833051679111979560,1840318,19127,544426890.00,791058,42.98,8.10,0.50
20-June-2024,298.80,298.80,291.55,293.40,293.329217162248223567,1176093,12585,344982439.00,361013,30.70,7.25,-5.40
19-June-2024,307.80,307.80,296.15,297.00,299.928119718295146629,957314,10625,287125388.00,286603,29.94,11.65,-10.80
18-June-2024,308.00,310.75,303.50,305.45,306.296352758109627661,1297501,11020,397419824.00,397569,30.64,7.25,-2.55
14-June-2024,304.25,309.45,299.95,305.65,305.408991146068730958,1230188,10447,375710476.00,390894,31.78,9.50,1.40
13-June-2024,297.20,305.65,292.55,303.90,299.184046582141902698,1201147,12044,359364020.00,299411,24.93,13.10,6.70
12-June-2024,295.20,298.75,291.10,295.05,295.523849934167137464,1269123,9437,375056115.00,236060,18.60,7.65,-0.15
11-June-2024,286.40,296.40,285.55,295.15,292.862589768218155905,1476302,14365,432353627.00,382723,25.92,10.85,8.75
10-June-2024,288.50,290.45,282.80,284.40,286.681438174434971121,988976,12268,283521062.00,351700,35.56,7.65,-4.10
7-June-2024,279.95,285.95,275.40,285.35,281.566450528861341379,3672040,35446,1033923269.00,977098,26.61,10.55,5.40
6-June-2024,271.00,292.45,268.05,278.15,282.971276513516541446,5757205,45411,1629123648.00,809813,14.07,24.40,7.15
5-June-2024,255.35,258.25,225.00,255.25,241.518250800314502383,3912212,42638,944870599.00,799434,20.43,33.25,-0.10
4-June-2024,314.65,314.65,223.95,246.15,259.049298442204195234,9105237,115849,2358705257.00,2904724,31.90,90.70,-68.50
3-June-2024,316.85,320.50,308.20,311.35,311.879468969156721494,3774696,44877,1177250184.00,1577774,41.80,12.30,-5.50
31-May-2024,291.70,300.50,288.60,298.95,294.582490979193747406,1819405,24638,535964857.00,722850,39.73,11.90,7.25
30-May-2024,293.05,295.35,289.40,290.80,292.244581870319479828,1037812,14489,303294934.00,320273,30.86,5.95,-2.25
29-May-2024,291.20,297.10,288.75,294.10,293.658865336216369501,789908,7918,231963487.00,174361,22.07,8.35,2.90
28-May-2024,300.85,300.85,290.50,291.20,294.561210405978139638,1578016,21710,464822303.00,494083,31.31,10.35,-9.65
27-May-2024,307.65,307.65,296.80,298.75,300.434169069032147962,1089898,12044,327442600.00,379940,34.86,10.85,-8.90
24-May-2024,304.20,310.00,302.35,305.45,305.901835616412941336,2156006,22590,659526193.00,888918,41.23,7.65,1.25
23-May-2024,304.25,308.75,300.40,304.85,305.288032923136942270,1414932,12008,431961807.00,322503,22.79,8.35,0.60
22-May-2024,305.00,309.60,295.00,301.90,302.663751018367444496,5878281,64000,1779142577.00,1685073,28.67,14.60,-3.10
21-May-2024,312.85,322.35,308.40,319.20,317.840996821514434379,2179969,24307,692883520.00,497806,22.84,13.95,6.35
18-May-2024,302.45,313.00,302.05,310.05,307.938668578570528906,516065,7536,158916369.00,188976,36.62,10.95,7.60
17-May-2024,295.50,301.70,293.75,299.60,296.871405788308046037,1064698,9030,316078392.00,317779,29.85,7.95,4.10
16-May-2024,294.15,296.80,287.55,294.50,292.251550034580504388,821272,7360,240018015.00,162603,19.80,9.25,0.35
15-May-2024,289.75,293.20,288.05,291.20,291.217035145747499951,827184,7688,240890072.00,185843,22.47,5.15,1.45
14-May-2024,283.90,289.20,282.00,288.15,286.466677979488178625,1909338,16113,546961714.00,456738,23.92,7.20,4.25
13-May-2024,274.05,286.30,267.25,283.35,276.924261985884228289,2930906,24191,811638981.00,729260,24.88,19.05,9.30
10-May-2024,275.75,276.85,267.15,274.40,273.406035488726893440,1654779,12510,452426566.00,346947,20.97,9.70,-1.35
