Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,2645.00,2689.80,2573.65,2581.15,2618.057113211897625086,43370,5063,113545137.00,16074,37.06,116.15,-63.85
31-July-2024,2685.00,2697.70,2605.95,2619.80,2635.903644176377788043,114731,12669,302419861.00,53667,46.78,91.75,-65.20
30-July-2024,2598.00,2715.90,2550.80,2679.05,2663.160845565068349282,119021,10117,316972067.00,41290,34.69,165.10,81.05
29-July-2024,2500.05,2589.95,2470.55,2589.95,2559.388697366331268626,107037,9679,273949288.00,37824,35.34,119.40,89.90
26-July-2024,2462.25,2525.00,2450.00,2466.65,2485.092668362269158465,135645,14458,337090395.00,60776,44.81,75.00,4.40
25-July-2024,2527.95,2530.00,2450.00,2461.95,2486.133332620915172369,93578,9216,232647385.00,31975,34.17,80.00,-66.00
24-July-2024,2596.20,2662.35,2550.00,2558.25,2594.609842799589225057,75954,7106,197070996.00,24762,32.60,112.35,-37.95
23-July-2024,2725.00,2770.05,2538.25,2596.20,2653.147958493984533097,495639,47996,1315003601.00,176517,35.61,231.80,-128.80
22-July-2024,2501.05,2671.80,2458.50,2671.80,2630.389143089266603844,484963,23532,1275641410.00,248747,51.29,213.30,170.75
19-July-2024,2611.00,2695.40,2522.00,2544.60,2584.816237357095785221,139604,13147,360850686.00,40335,28.89,173.40,-66.40
18-July-2024,2741.40,2741.40,2608.80,2622.00,2645.789136296712931562,120898,14693,319870615.00,44439,36.76,132.60,-119.40
16-July-2024,2747.15,2815.00,2720.00,2741.40,2756.338277145917274442,196070,20032,540435246.00,81743,41.69,95.00,-5.75
15-July-2024,2857.85,2857.85,2723.80,2746.45,2754.904481249653797152,90265,10815,248671453.00,44887,49.73,134.05,-111.40
12-July-2024,2915.05,2933.70,2806.70,2827.75,2864.545834838001415591,346145,29900,991548218.00,130214,37.62,127.00,-87.30
11-July-2024,2793.00,2863.95,2762.05,2863.95,2838.289901337643029960,525327,36696,1491030319.00,290086,55.22,101.90,70.95
10-July-2024,2814.90,2824.40,2670.00,2727.60,2737.219183061174589118,151321,15401,414198744.00,51220,33.85,154.40,-87.30
9-July-2024,2842.00,2899.95,2682.50,2789.70,2785.971242521989967743,562984,51885,1568457234.00,211356,37.54,217.45,-52.30
8-July-2024,2849.00,2977.10,2750.00,2806.40,2903.301404127676960945,501735,32915,1456687930.00,195382,38.94,227.10,-42.60
5-July-2024,2732.00,2923.95,2650.00,2835.35,2819.949510576212371591,1090466,84572,3075059063.00,309994,28.43,273.95,103.35
4-July-2024,2450.00,2684.20,2405.15,2684.20,2622.474865605038341716,1369657,64235,3591891057.00,561138,40.97,279.05,234.20
3-July-2024,2278.90,2460.00,2248.35,2440.20,2363.390564787646875887,369785,31063,873946380.00,121500,32.86,211.65,161.30
2-July-2024,2275.00,2290.00,2211.10,2260.25,2260.523407947588035721,102572,9733,231866407.00,34590,33.72,78.90,-14.75
1-July-2024,2272.60,2310.15,2241.20,2263.60,2271.668523397424712984,229256,16106,520793639.00,70059,30.56,68.95,-9.00
28-June-2024,2250.00,2268.70,2188.30,2212.60,2224.801783237566871408,100940,10198,224571492.00,36780,36.44,80.40,-37.40
27-June-2024,2217.35,2297.50,2180.00,2237.80,2240.014430289598166247,513919,37428,1151185976.00,196899,38.31,117.50,20.45
26-June-2024,2227.95,2275.00,2192.00,2208.45,2234.622905866689328914,176505,16143,394422116.00,45062,25.53,83.00,-19.50
25-June-2024,2169.95,2238.00,2146.50,2187.50,2194.512817711747141504,439392,32596,964251376.00,164269,37.39,91.50,17.55
24-June-2024,2133.65,2198.00,2115.00,2143.15,2156.169968619336303238,116951,14083,252166234.00,37647,32.19,83.00,9.50
21-June-2024,2235.00,2241.60,2112.30,2132.15,2157.552732345869571670,134756,15913,290743176.00,65096,48.31,129.30,-102.85
20-June-2024,2260.00,2299.70,2202.15,2231.75,2256.075730021822716408,153968,16524,347363468.00,48898,31.76,97.55,-28.25
19-June-2024,2358.00,2427.75,2200.00,2255.65,2280.053504095794360795,662753,65485,1511112300.00,284698,42.96,227.75,-102.35
18-June-2024,2135.00,2333.90,2130.70,2327.30,2265.775524943109613736,541392,25999,1226672743.00,207847,38.39,203.20,192.30
14-June-2024,2018.00,2175.00,1980.10,2121.75,2085.602855331356702921,1081976,76680,2256572235.00,453897,41.95,194.90,103.75
13-June-2024,1905.30,2019.50,1890.00,2006.90,1962.066263546849594205,573196,36259,1124648534.00,319487,55.74,129.50,101.60
12-June-2024,1909.95,1924.50,1885.00,1902.90,1907.879532183595871808,176736,12034,337190997.00,96606,54.66,39.50,-7.05
11-June-2024,1904.90,1947.00,1882.25,1894.30,1914.991992255196070229,83669,5711,160225465.00,30572,36.54,64.75,-10.60
10-June-2024,1938.20,1947.95,1885.00,1893.15,1902.836288046110054684,84667,6911,161107440.00,31278,36.94,62.95,-45.05
7-June-2024,1868.00,1954.70,1862.10,1911.80,1909.085223694431715427,408079,26221,779057589.00,129063,31.63,92.60,43.80
