Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,66.48,66.80,64.85,65.26,65.657300916524888864,1822100,8495,119634168.00,869832,47.74,1.95,-1.22
31-July-2024,66.99,66.99,66.12,66.37,66.607665018973960308,2386165,23256,158936879.00,1244581,52.16,0.87,-0.62
30-July-2024,66.98,67.25,66.50,66.67,66.835552071945710690,969620,5949,64805088.00,437439,45.11,0.75,-0.31
29-July-2024,67.59,67.68,66.60,66.76,67.046954035908807570,3914360,22992,262445915.00,1859302,47.50,1.08,-0.83
26-July-2024,66.91,67.78,66.61,66.93,67.190446996634923229,1394619,7372,93705074.00,477410,34.23,1.17,0.02
25-July-2024,66.95,67.35,66.01,66.21,66.712233365671735816,1587380,9359,105897665.00,640921,40.38,1.34,-0.74
24-July-2024,66.49,67.80,65.80,67.34,67.136502030634922420,1955546,8260,131288518.00,542560,27.74,2.00,0.85
23-July-2024,68.39,69.54,61.54,66.24,66.472340218040445053,7034383,31021,467591900.00,1255784,17.85,8.00,-2.15
22-July-2024,66.94,68.70,66.20,67.80,67.751094450378859727,5008450,24098,339327969.00,2206432,44.05,2.50,0.86
19-July-2024,69.21,69.21,66.69,66.94,67.568496348979730704,3203762,13656,216473381.00,1359883,42.45,2.52,-2.27
18-July-2024,71.59,71.98,68.48,69.00,69.618837832404151885,4685486,24647,326198090.00,1795416,38.32,3.50,-2.59
16-July-2024,68.42,72.00,68.10,70.96,71.061466663511930366,21047718,72506,1495681711.00,12550352,59.63,3.90,2.54
15-July-2024,68.83,68.83,67.51,68.20,68.158698382147542043,5180015,33659,353063080.00,2774828,53.57,1.32,-0.63
12-July-2024,68.53,69.24,67.42,68.36,68.184442487762850190,8027196,37160,547329884.00,4277404,53.29,1.82,-0.17
11-July-2024,69.38,69.79,67.95,68.15,68.624294042372893852,42043954,44682,2885236662.00,34708203,82.55,1.84,-1.23
10-July-2024,67.87,69.56,64.90,68.15,68.413551594015717034,43021094,37280,2943225834.00,34160420,79.40,4.66,0.28
9-July-2024,68.25,68.65,66.73,67.56,67.790158856235107227,2895700,26131,196299963.00,1070485,36.97,1.92,-0.69
8-July-2024,67.99,68.64,67.00,67.14,67.622154510252015489,2362950,21936,159787770.00,998342,42.25,1.64,-0.85
5-July-2024,68.00,68.48,66.82,67.54,67.679580368887100240,8202347,66663,555131403.00,4053266,49.42,1.66,-0.46
4-July-2024,65.80,68.19,65.05,67.69,66.780073582534982727,10637035,87357,710341980.00,5089902,47.85,3.14,1.89
3-July-2024,65.03,66.50,64.70,65.71,65.555507935947705827,1784979,8626,117015205.00,706871,39.60,1.80,0.68
2-July-2024,65.09,65.48,64.34,64.77,64.898873381281614193,1185583,7715,76943001.00,557563,47.03,1.14,-0.32
1-July-2024,65.33,65.70,64.75,64.90,65.110347429352887778,1272345,17783,82842825.00,615332,48.36,0.95,-0.43
28-June-2024,65.28,65.45,64.55,64.86,64.895355601492924973,1124236,6882,72957695.00,504103,44.84,0.90,-0.42
27-June-2024,65.77,66.29,64.12,64.81,65.218403178501414137,1624665,9934,105958057.00,752987,46.35,2.17,-0.96
26-June-2024,65.80,66.38,65.42,65.65,65.700404596999444566,5267958,19530,346106972.00,3648062,69.25,0.96,-0.15
25-June-2024,66.64,66.90,65.60,65.73,66.198163944057389302,3445102,22147,228059427.00,1790241,51.96,1.30,-0.91
24-June-2024,65.89,67.28,65.38,66.34,66.573211307493070566,4050836,17404,269677161.00,1353590,33.42,1.90,0.45
21-June-2024,66.09,66.68,65.35,66.25,66.064042998557101894,6200022,28105,409598520.00,2824937,45.56,1.33,0.16
20-June-2024,64.99,66.24,64.10,65.66,65.573768727249111461,3325969,16185,218096322.00,1077325,32.39,2.14,0.67
19-June-2024,66.81,66.94,64.06,64.48,64.908196345564548078,8821773,53974,572605374.00,4552977,51.61,2.88,-2.33
18-June-2024,67.99,67.99,66.35,66.52,66.885599398047327576,2939766,12703,196628011.00,1418387,48.25,1.64,-1.47
14-June-2024,66.85,67.75,66.30,67.14,67.057067865854383279,12115312,40585,812417299.00,6522629,53.84,1.45,0.29
13-June-2024,68.07,68.07,66.10,66.48,66.809164237257956184,12568902,48758,839717838.00,6964242,55.41,1.97,-1.59
12-June-2024,67.19,68.40,67.06,67.36,67.737645452767112523,14369871,56998,973381227.00,5926350,41.24,1.34,0.17
11-June-2024,64.90,66.75,64.11,66.14,64.991479093347744129,62904691,120238,4088268910.00,29894601,47.52,2.64,1.24
10-June-2024,75.89,75.95,69.60,70.15,72.582412429879199493,15200019,75000,1103254048.00,6638602,43.67,6.35,-5.74
7-June-2024,71.43,78.05,71.00,77.13,74.657724480965100813,8863903,30652,661758828.00,2875803,32.44,7.05,5.70
6-June-2024,68.90,71.45,68.75,70.16,70.333987718750490825,6812499,29395,479150221.00,2452325,36.00,2.70,1.26
5-June-2024,67.51,68.50,62.66,67.31,66.404661865004248154,4646724,28422,308564136.00,1069088,23.01,5.84,-0.20
4-June-2024,74.35,74.35,58.32,65.52,68.216910974974653150,24733843,115033,1687266366.00,7378375,29.83,16.03,-8.83
3-June-2024,74.01,74.60,71.05,72.89,72.751496454773196856,11754114,47681,855129383.00,3412011,29.03,3.55,-1.12
31-May-2024,66.10,66.70,64.61,66.08,65.880761287083039154,8989723,42727,592249795.00,3704454,41.21,2.09,-0.02
30-May-2024,66.85,67.55,63.30,65.24,64.716363724912344113,340849900,114815,22058566104.00,227293040,66.68,4.25,-1.61
29-May-2024,70.99,72.94,69.60,72.74,71.684407331602079870,1352392,7464,96945419.00,345692,25.56,3.34,1.75
28-May-2024,73.49,73.60,70.25,71.52,71.475567065472317155,1902514,9626,135983267.00,710764,37.36,3.35,-1.97
27-May-2024,73.04,76.55,72.60,72.88,74.208850311663943537,4384049,22291,325335236.00,1603768,36.58,3.95,-0.16
24-May-2024,74.14,74.50,72.02,72.55,72.925220058285539141,3999963,20351,291698182.00,1869407,46.74,2.48,-1.59
23-May-2024,74.00,75.85,72.87,74.07,74.489431620558951417,2968809,15351,221144895.00,887801,29.90,2.98,0.07
22-May-2024,69.78,74.39,68.40,73.37,72.700192735996159849,26082310,23856,1896188964.00,21541836,82.59,5.99,3.59
21-May-2024,69.55,71.65,68.57,69.28,69.972389997217826406,2361463,12079,165237210.00,755848,32.01,3.08,-0.27
18-May-2024,68.96,69.57,68.60,68.87,69.095382711883471120,337839,3393,23343115.00,220841,65.37,0.97,-0.09
17-May-2024,66.19,68.84,65.85,67.99,67.277778176813834356,1392244,6924,93667083.00,502193,36.07,2.99,1.80
16-May-2024,66.30,66.37,65.30,65.77,65.840699899140714777,1337507,7605,88062397.00,445548,33.31,1.07,-0.53
15-May-2024,66.82,67.02,65.54,65.70,66.110323123625897596,888762,5397,58756343.00,209690,23.59,1.48,-1.12
14-May-2024,64.20,65.99,63.66,65.83,65.037114280856932827,835258,4956,54322770.00,197281,23.62,2.33,1.63
13-May-2024,63.62,64.37,60.73,63.93,62.490489835674784313,1872628,10469,117021441.00,371797,19.85,3.64,0.31
10-May-2024,66.89,66.89,62.05,62.62,63.470438296614588416,5738032,29462,364195406.00,2216907,38.64,4.84,-4.27
9-May-2024,68.24,69.47,65.11,65.66,67.237402887881975766,1160643,8112,78038621.00,345472,29.77,4.36,-2.58
8-May-2024,67.00,68.87,65.72,67.84,67.624619998283740369,1969399,9321,133179859.00,449367,22.82,3.15,0.84
7-May-2024,67.81,68.34,65.32,66.02,66.757211699484610808,2000430,8923,133543129.00,553650,27.68,3.02,-1.79
6-May-2024,70.39,70.39,65.25,67.63,67.796361760992891228,1840121,10587,124753509.00,501600,27.26,5.14,-2.76
3-May-2024,70.54,70.64,68.74,69.72,69.758756929125206621,4141035,17420,288873454.00,1610919,38.90,1.90,-0.82
2-May-2024,68.44,71.00,67.53,69.73,69.848983402947564237,1948117,10545,136073992.00,586735,30.12,3.47,1.29
30-April-2024,69.49,69.67,67.72,67.97,68.518415621837829208,1277801,5258,87552900.00,383324,30.00,1.95,-1.52
29-April-2024,69.48,70.13,68.50,68.92,69.127753730593030323,1084211,6347,74949071.00,321934,29.69,1.63,-0.56
26-April-2024,68.13,70.38,67.61,68.79,69.106976747405067802,4334699,16337,299557943.00,1841623,42.49,2.77,0.66
25-April-2024,67.64,69.29,67.30,67.81,68.271282657595171733,2108583,10991,143955666.00,869552,41.24,1.99,0.17
24-April-2024,69.35,69.35,67.26,67.65,67.911553138603365899,1638611,9372,111280618.00,788506,48.12,2.09,-1.70
23-April-2024,67.56,69.47,67.30,68.36,68.410272756142600063,1275315,6540,87244647.00,286408,22.46,2.17,0.80
