Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,5256.60,5358.85,5086.35,5107.35,5198.484190037340112814,125870,19084,654333205.00,47481,37.72,272.50,-149.25
31-July-2024,5384.80,5384.80,5234.00,5243.85,5279.983036758020522145,38495,6601,203252947.00,17239,44.78,150.80,-140.95
30-July-2024,5320.00,5545.90,5266.55,5368.55,5452.096607978551508695,334196,38363,1822068878.00,96617,28.91,279.35,48.55
29-July-2024,4949.95,5343.60,4856.00,5341.75,5198.822690175066974020,224714,21499,1168248242.00,56034,24.94,487.60,391.80
26-July-2024,4862.05,4960.00,4839.00,4857.85,4891.126856112319023781,118662,15548,580390895.00,40376,34.03,121.00,-4.20
25-July-2024,4975.55,5027.35,4831.80,4859.10,4919.140006845060781604,78889,11119,388066036.00,21016,26.64,195.55,-116.45
24-July-2024,5070.75,5192.10,5025.35,5047.20,5089.709433410438435564,150444,18866,765716246.00,42091,27.98,166.75,-23.55
23-July-2024,5329.00,5435.70,4793.90,5061.45,5134.803215232714626444,450294,49784,2312171079.00,112009,24.87,641.80,-267.55
22-July-2024,5033.70,5477.00,4950.00,5326.55,5294.051814331377939404,415773,47788,2201123805.00,92254,22.19,527.00,292.85
19-July-2024,5190.00,5380.00,5061.00,5132.30,5204.781893137700447964,154030,15405,801692555.00,22978,14.92,319.00,-57.70
18-July-2024,5380.55,5432.00,5110.00,5190.20,5235.573836609205746336,272243,33369,1425348328.00,82073,30.15,322.00,-190.35
16-July-2024,5399.70,5545.00,5344.00,5405.45,5428.901054435218136285,75870,10215,411890723.00,20085,26.47,201.00,5.75
15-July-2024,5570.00,5570.65,5370.00,5391.00,5415.901196397365237263,59512,9322,322311112.00,25850,43.44,200.65,-179.00
12-July-2024,5745.00,5780.00,5530.00,5552.70,5650.484873065286973297,91228,12761,515482434.00,35948,39.40,250.00,-192.30
11-July-2024,5418.80,5809.00,5400.00,5739.10,5612.420470174993123003,236295,26366,1326186895.00,45941,19.44,409.00,320.30
10-July-2024,5549.35,5567.20,5220.00,5355.40,5369.085990509095450193,96092,13678,515926211.00,29742,30.95,347.20,-193.95
9-July-2024,5649.95,5650.20,5305.00,5508.85,5481.642604278897952901,136437,19340,747898872.00,30900,22.65,345.20,-141.10
8-July-2024,5719.00,5829.05,5500.85,5577.75,5657.483378074929510881,177687,21135,1005261249.00,51494,28.98,328.20,-141.25
5-July-2024,5650.00,5859.95,5291.95,5682.20,5667.143925530379564150,692900,72553,3926764026.00,176559,25.48,568.00,32.20
