Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,605.45,607.45,591.05,595.35,597.909643194269532205,437521,10760,261598025.00,137758,31.49,16.40,-10.10
31-July-2024,614.30,615.95,597.75,601.45,603.989446277870309026,646028,17347,390194094.00,263241,40.75,18.20,-12.85
30-July-2024,615.35,626.65,611.45,613.95,617.615625731011578478,2684636,53666,1658073143.00,976487,36.37,15.20,-1.40
29-July-2024,556.20,607.95,555.55,606.65,588.392726674267233328,5857458,98390,3446485684.00,2241965,38.28,52.40,50.45
26-July-2024,575.75,583.30,550.50,552.70,562.124356040094986217,2932636,77616,1648506123.00,1137079,38.77,32.80,-23.05
25-July-2024,590.95,595.90,574.15,575.75,582.945776051634733799,855858,19257,498918806.00,284709,33.27,21.75,-15.20
24-July-2024,591.00,606.80,583.00,593.40,595.273674273534169064,2069884,42278,1232147454.00,686635,33.17,23.80,2.40
23-July-2024,635.80,639.00,562.00,590.70,603.449907525772299361,3564777,62662,2151164351.00,712058,19.97,77.00,-45.10
22-July-2024,611.10,630.40,598.10,623.95,621.200865316719533550,4172114,66557,2591720827.00,1253631,30.05,32.30,12.85
19-July-2024,580.05,637.80,569.80,614.00,606.972928587244711233,8494939,132137,5156198003.00,2164878,25.48,68.00,33.95
18-July-2024,614.00,626.00,582.35,586.35,596.387777699372767243,4549029,113495,2712985296.00,1704594,37.47,43.65,-27.65
16-July-2024,626.95,631.65,605.00,620.15,618.412893914718282468,3846264,79031,2378579251.00,1363394,35.45,26.65,-6.80
15-July-2024,638.40,647.00,622.90,626.15,632.508914604858582178,1693457,33008,1071126649.00,502576,29.68,24.10,-12.25
12-July-2024,629.95,645.00,610.00,626.55,631.160204235045704816,5986240,107129,3778276461.00,1945193,32.49,35.00,-3.40
11-July-2024,634.50,643.95,605.65,630.00,627.087483280297545165,10108583,151678,6338965873.00,2516627,24.90,38.30,-4.50
10-July-2024,564.80,618.00,559.35,610.55,589.207153917858876836,18269290,232093,10764396365.00,4737844,25.93,58.65,45.75
9-July-2024,586.40,620.00,534.00,543.15,564.468276241972659930,8967790,131202,5062032963.00,1636930,18.25,86.00,-43.25
8-July-2024,508.30,578.95,508.10,565.80,554.254861810214166562,14272256,210763,7910467277.00,3022719,21.18,70.85,57.50
5-July-2024,425.00,498.05,424.20,491.45,467.259316869648053667,14175684,173303,6623720422.00,4941612,34.86,73.85,66.45
4-July-2024,418.55,431.00,417.35,418.75,422.507163832890408181,917386,12708,387602157.00,291914,31.82,13.65,0.20
3-July-2024,416.00,421.00,414.90,416.85,417.256784223654639302,1619640,23975,675805778.00,822184,50.76,6.10,0.85
2-July-2024,415.50,417.10,404.20,411.10,410.865188065190918298,771089,10456,316813627.00,255818,33.18,12.90,-4.40
1-July-2024,417.75,421.00,413.50,414.85,416.753586107760208614,1384370,21166,576941162.00,593878,42.90,7.50,-2.90
28-June-2024,418.00,424.25,410.70,416.65,418.068181938880460547,1129786,15196,472327579.00,298793,26.45,13.55,-1.35
