Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1632.85,1655.00,1632.85,1640.15,1646.051469350658094051,29707,2348,48899251.00,13485,45.39,22.15,7.30
31-July-2024,1625.00,1644.40,1618.95,1641.95,1636.208967547386559448,55712,4954,91156474.00,38323,68.79,25.45,16.95
30-July-2024,1631.55,1632.45,1618.15,1630.55,1625.179595132360574427,17339,2456,28178989.00,8464,48.81,14.30,-1.00
29-July-2024,1644.95,1644.95,1620.30,1631.70,1630.083512318382817435,31660,2012,51608444.00,8478,26.78,24.65,-13.25
26-July-2024,1591.05,1640.15,1591.05,1634.20,1627.769224858507442616,416453,17923,677889377.00,137733,33.07,49.10,43.15
25-July-2024,1560.75,1594.05,1560.75,1588.20,1584.412833952352852696,86427,6798,136936048.00,35293,40.84,33.30,27.45
24-July-2024,1597.95,1597.95,1577.60,1584.60,1585.665951742627345844,55950,3103,88718010.00,30885,55.20,20.35,-13.35
23-July-2024,1576.95,1600.35,1550.25,1598.15,1577.230013658613095276,153017,9487,241343005.00,65070,42.52,50.10,21.20
22-July-2024,1593.40,1593.60,1570.35,1577.90,1579.231958387010524780,287987,7852,454798274.00,248805,86.39,23.25,-15.50
19-July-2024,1604.05,1616.60,1588.90,1594.35,1598.386089148470339065,153923,11211,246028382.00,31086,20.20,27.70,-9.70
18-July-2024,1562.35,1598.95,1555.40,1593.90,1578.628620942417852908,221006,13683,348886397.00,125874,56.96,43.55,31.55
16-July-2024,1556.15,1582.00,1555.50,1569.80,1569.694904678455737879,75324,4655,118235699.00,23720,31.49,26.50,13.65
15-July-2024,1592.95,1635.85,1567.35,1569.20,1601.727317699614736936,400246,18129,641084952.00,143064,35.74,68.50,-23.75
12-July-2024,1528.10,1565.50,1511.05,1560.40,1551.292782264435006458,430412,28273,667695029.00,155256,36.07,54.45,32.30
