Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,5284.40,5284.40,5107.00,5120.25,5194.179871520342612419,3736,757,19405456.00,2212,59.21,177.40,-164.15
31-July-2024,5178.00,5234.65,5178.00,5215.10,5212.212244897959183673,2450,628,12769920.00,1259,51.39,56.65,37.10
30-July-2024,5200.00,5221.85,5150.55,5198.90,5184.935387248609328198,2337,522,12117194.00,755,32.31,71.30,-1.10
29-July-2024,5215.00,5255.00,5144.25,5197.65,5189.491533682543549762,8209,1894,42600536.00,5315,64.75,110.75,-17.35
26-July-2024,5213.20,5240.05,5172.35,5225.55,5214.481594243011347910,3613,841,18839922.00,1442,39.91,67.70,12.35
25-July-2024,5150.00,5223.75,5099.45,5196.65,5165.393493275172664485,5502,1217,28419995.00,1433,26.04,124.30,46.65
24-July-2024,5120.00,5214.65,5119.85,5167.50,5176.559956981537910019,5579,1246,28880028.00,2176,39.00,94.80,47.50
23-July-2024,5069.95,5147.05,4927.50,5122.00,5058.901566092577328532,23051,4933,116612740.00,13371,58.01,219.55,52.05
22-July-2024,4894.50,5040.85,4845.25,5002.90,4997.167111534795042897,10490,2105,52420283.00,5654,53.90,195.60,108.40
19-July-2024,4786.00,4974.90,4747.40,4879.10,4869.171344831473340096,17742,5173,86388838.00,7768,43.78,227.50,93.10
18-July-2024,4867.00,4920.00,4727.30,4845.20,4787.795877198512261236,15863,3593,75948806.00,5731,36.13,192.70,-21.80
16-July-2024,4988.00,5008.55,4826.10,4869.60,4894.427921524026158657,7034,1509,34427406.00,2891,41.10,182.45,-118.40
15-July-2024,5084.70,5084.70,4980.30,4986.55,5027.096807065217391304,2944,817,14799773.00,1177,39.98,104.40,-98.15
12-July-2024,5000.00,5136.05,4971.90,5035.25,5075.196051245077921357,18031,3588,91510860.00,8322,46.15,164.15,35.25
11-July-2024,5061.75,5081.95,4933.10,4946.75,4972.348708487084870848,2168,614,10780052.00,965,44.51,148.85,-115.00
10-July-2024,5075.00,5097.40,4969.85,5037.20,5037.804902451225612806,1999,754,10070572.00,696,34.82,127.55,-37.80
9-July-2024,5106.00,5138.40,5034.05,5073.20,5081.865853658536585365,2542,826,12918103.00,763,30.02,104.35,-32.80
8-July-2024,5169.90,5169.90,5070.10,5106.10,5106.735396182764603817,3458,819,17659091.00,1069,30.91,99.80,-63.80
5-July-2024,5045.55,5132.00,5030.60,5121.05,5099.850444083659631362,10471,2861,53400534.00,6672,63.72,101.40,75.50
4-July-2024,5070.00,5097.15,5050.00,5062.60,5075.580498866213151927,2646,642,13429986.00,1378,52.08,47.15,-7.40
3-July-2024,5059.95,5060.00,4986.80,5037.05,5028.479958757571852042,7759,1843,39015976.00,5068,65.32,73.20,-22.90
2-July-2024,5084.75,5106.10,4994.95,5025.55,5045.864985766571777145,2459,786,12407782.00,801,32.57,111.15,-59.20
1-July-2024,4948.65,5055.20,4893.85,5038.30,5018.908262957443285312,6039,1734,30309187.00,1939,32.11,161.35,89.65
28-June-2024,4936.35,4955.95,4891.00,4908.55,4917.871068095402696163,2893,786,14227401.00,855,29.55,64.95,-27.80
27-June-2024,4870.00,4932.95,4824.00,4892.90,4889.145729832032174118,4227,985,20666419.00,1091,25.81,108.95,22.90
26-June-2024,4835.15,4866.00,4826.40,4844.50,4846.129943502824858757,2124,600,10293180.00,837,39.41,39.60,9.35
25-June-2024,4822.20,4891.00,4822.20,4833.20,4857.311331133113311331,2727,688,13245888.00,1250,45.84,68.80,11.00
24-June-2024,4876.05,4878.90,4805.00,4822.80,4841.956189505858380030,1963,568,9504760.00,916,46.66,73.90,-53.25
21-June-2024,4900.00,5023.15,4860.70,4881.95,4963.086048454469507101,14364,2072,71289768.00,3571,24.86,162.45,-18.05
20-June-2024,4875.00,4887.85,4848.85,4872.25,4866.277828407759406327,7681,1681,37377880.00,5897,76.77,39.00,-2.75
19-June-2024,4885.00,4893.05,4815.80,4866.65,4856.967334035827186512,2847,663,13827786.00,947,33.26,77.25,-18.35
