Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,377.45,381.30,360.60,364.30,369.039793814432989690,4850,332,1789843.00,2403,49.55,20.70,-13.15
31-July-2024,389.50,389.50,374.40,377.40,378.256831439975437519,13028,841,4927930.00,6219,47.74,15.10,-12.10
30-July-2024,380.00,380.00,368.45,375.55,375.604483586869495596,7494,487,2814780.00,5180,69.12,11.55,-4.45
29-July-2024,385.45,389.85,366.05,368.60,373.767249510266270042,13783,715,5151634.00,9528,69.13,23.80,-16.85
26-July-2024,364.50,389.00,364.50,381.55,382.306303236797274275,11740,798,4488276.00,4333,36.91,24.50,17.05
25-July-2024,378.80,395.65,359.90,375.70,383.018034845898682812,31051,1381,11893093.00,18219,58.67,35.75,-3.10
24-July-2024,360.80,378.80,358.40,378.80,372.568786127167630057,12975,557,4834080.00,9077,69.96,20.40,18.00
23-July-2024,379.00,379.00,353.85,360.80,360.825510634452009399,16597,799,5988621.00,10533,63.46,25.15,-18.20
22-July-2024,359.95,375.30,359.95,363.95,369.088788870703764320,12220,741,4510265.00,7346,60.11,15.35,4.00
19-July-2024,380.55,384.55,366.45,368.10,374.981151195784353465,4934,401,1850157.00,3292,66.72,18.10,-12.45
18-July-2024,383.80,393.00,379.05,380.30,385.699191374663072776,7420,428,2861888.00,3967,53.46,13.95,-3.50
16-July-2024,359.95,380.65,359.95,377.25,375.011932928711037959,9721,249,3645491.00,6460,66.45,20.70,17.30
15-July-2024,355.00,365.00,341.25,362.55,357.043869843114468332,3442,92,1228945.00,3442,100.00,23.75,7.55
12-July-2024,361.00,361.00,343.70,354.10,352.451514608352751389,5579,116,1966327.00,5579,100.00,17.30,-6.90
11-July-2024,357.05,357.05,348.15,350.00,350.407459867799811142,2118,77,742163.00,2118,100.00,8.90,-7.05
10-July-2024,352.95,359.80,347.00,357.45,353.370853522176667909,2683,60,948094.00,2683,100.00,12.80,4.50
9-July-2024,362.00,362.00,354.00,359.60,357.487975391498881431,7152,124,2556754.00,7152,100.00,8.00,-2.40
8-July-2024,343.00,362.95,336.30,362.95,351.390559327513740704,3093,76,1086851.00,3093,100.00,26.65,19.95
5-July-2024,347.20,352.95,343.00,349.50,347.263126843657817109,3390,62,1177222.00,3390,100.00,9.95,2.30
4-July-2024,364.00,374.90,346.05,352.65,352.152983631911328779,7759,117,2732355.00,7759,100.00,28.85,-11.35
3-July-2024,361.85,375.00,360.00,363.55,365.862535612535612535,4212,118,1541013.00,4212,100.00,15.00,1.70
2-July-2024,354.70,358.55,350.00,358.55,355.224299065420560747,8239,123,2926693.00,8239,100.00,8.55,3.85
1-July-2024,331.80,341.50,319.20,341.50,334.869155491119971003,2759,70,923904.00,2759,100.00,22.30,9.70
28-June-2024,319.05,330.00,319.00,325.25,325.443593949334791324,5487,102,1785709.00,5487,100.00,11.00,6.20
27-June-2024,328.00,328.00,316.00,318.90,319.557718916781972721,10118,181,3233285.00,10118,100.00,12.00,-9.10
26-June-2024,326.50,335.50,326.50,328.00,327.968658178256611165,2042,40,669712.00,2042,100.00,9.00,1.50
25-June-2024,327.70,334.50,327.70,330.05,329.571907475695608447,5966,115,1966226.00,5966,100.00,6.80,2.35
24-June-2024,339.00,339.00,330.65,334.35,333.655674102812803103,2062,54,687998.00,2062,100.00,8.35,-4.65
21-June-2024,331.10,343.00,331.10,339.00,337.947163274144651364,2309,43,780320.00,2309,100.00,11.90,7.90
20-June-2024,324.00,334.00,323.00,331.00,329.583333333333333333,900,29,296625.00,900,100.00,11.00,7.00
19-June-2024,331.80,331.80,322.00,323.30,324.530831099195710455,2611,86,847350.00,2611,100.00,9.80,-8.50
18-June-2024,336.10,336.10,322.15,332.10,327.924941526685094620,4703,52,1542231.00,4703,100.00,13.95,-4.00
14-June-2024,327.00,335.00,327.00,329.50,329.095041322314049586,2904,46,955692.00,2904,100.00,8.00,2.50
13-June-2024,328.05,334.65,328.00,330.75,329.743248945147679324,4740,103,1562983.00,4740,100.00,6.65,2.70
12-June-2024,331.80,339.80,327.55,331.05,332.558502906976744186,2752,53,915201.00,2752,100.00,12.25,-0.75
11-June-2024,322.00,330.00,319.65,327.55,323.054965357967667436,2165,39,699414.00,2165,100.00,10.35,5.55
10-June-2024,326.20,326.20,314.00,318.00,318.863442518827692586,11021,198,3514194.00,11021,100.00,12.20,-8.20
