Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,4399.75,4419.00,4365.65,4395.75,4397.297286554666384016,75476,5654,331890410.00,50551,66.98,53.35,-4.00
31-July-2024,4363.95,4414.40,4348.30,4384.65,4389.022920186455513261,49127,5334,215619529.00,30477,62.04,66.10,20.70
30-July-2024,4381.25,4397.95,4327.50,4364.25,4356.830476190476190476,32025,4929,139527496.00,13311,41.56,70.45,-17.00
29-July-2024,4421.85,4431.25,4370.80,4380.20,4391.223405708043151713,65907,9441,289412361.00,42046,63.80,60.45,-41.65
26-July-2024,4331.05,4421.50,4331.05,4387.95,4390.363472184632039957,406430,24635,1784375426.00,128313,31.57,90.45,56.90
25-July-2024,4296.95,4343.95,4276.50,4322.90,4321.500578987999157835,56996,5753,246308247.00,27022,47.41,67.45,25.95
24-July-2024,4281.05,4339.00,4277.25,4306.20,4306.948001311487031342,112849,11734,486034775.00,77218,68.43,61.75,25.15
23-July-2024,4298.95,4360.00,4265.55,4302.50,4302.111690438229844443,69621,8422,299517318.00,33805,48.56,94.45,3.55
22-July-2024,4295.05,4318.00,4265.00,4286.20,4289.611109261047653934,90087,8841,386438196.00,62874,69.79,53.00,-8.85
19-July-2024,4314.30,4360.25,4286.15,4302.75,4312.066310915141569899,239493,18804,1032709697.00,37163,15.52,74.10,-11.55
18-July-2024,4159.95,4324.30,4159.95,4314.30,4275.688959634666657468,289927,16239,1239637673.00,182980,63.11,164.35,154.35
16-July-2024,4180.00,4193.35,4144.65,4175.35,4170.449532358118634249,177807,8054,741535120.00,152015,85.49,48.70,-4.65
15-July-2024,4225.60,4237.05,4158.00,4168.00,4203.746511804256609878,158248,15998,665234478.00,77975,49.27,79.05,-57.60
12-July-2024,4001.15,4199.00,3974.10,4184.90,4133.847330964477341451,589314,42600,2436134106.00,130227,22.10,224.90,183.75
11-July-2024,3944.65,3979.90,3895.70,3922.70,3909.230434435538590488,551198,13798,2154759997.00,432532,78.47,84.20,-21.95
10-July-2024,3978.05,4003.00,3902.20,3909.90,3920.773255813953488372,214484,10799,840943131.00,171344,79.89,100.80,-68.15
9-July-2024,3976.10,4011.00,3976.00,3991.70,3992.215432552906045786,46214,3741,184496244.00,27017,58.46,35.00,15.60
8-July-2024,4015.05,4026.30,3910.00,3975.95,3988.056010869565217391,92000,9007,366901153.00,52713,57.30,116.30,-39.10
5-July-2024,4014.95,4026.80,3988.00,4012.45,4008.664962919734831843,305014,31429,1222698935.00,46507,15.25,38.80,-2.50
4-July-2024,4004.95,4047.75,3979.35,4021.25,4025.592937162554299080,56861,8076,228899240.00,21322,37.50,68.40,16.30
3-July-2024,4020.00,4020.85,3954.45,3964.85,3971.982341869334786269,40378,4893,160380703.00,18527,45.88,66.40,-55.15
2-July-2024,3990.00,4022.00,3984.00,4016.00,4004.966071252343827099,50665,6577,202911606.00,19478,38.44,38.00,26.00
1-July-2024,3904.00,4000.95,3886.05,3973.40,3969.453894503882601954,155437,17792,617000005.00,94108,60.54,114.90,69.40
28-June-2024,3927.50,3959.95,3896.40,3904.95,3918.527237302070034957,299222,32611,1172509557.00,31173,10.42,63.55,-22.55
27-June-2024,3825.00,3940.00,3819.10,3933.50,3901.774924945109109647,200853,27963,783683199.00,138245,68.83,120.90,108.50
26-June-2024,3840.35,3865.00,3840.35,3856.05,3856.696846863445971674,81411,8679,313977547.00,46618,57.26,24.65,15.70
25-June-2024,3820.00,3846.90,3793.70,3839.10,3821.196429936549193486,52324,7544,199940282.00,28273,54.03,53.20,19.10
24-June-2024,3810.75,3856.00,3798.00,3817.30,3834.289115861371110548,31624,3879,121255559.00,11437,36.17,58.00,6.55
21-June-2024,3848.95,3877.10,3797.30,3808.95,3820.290691008893829905,345408,29667,1319558967.00,49674,14.38,79.80,-40.00
20-June-2024,3801.00,3809.35,3780.10,3786.60,3792.929049486208761492,29584,4043,112210013.00,12839,43.40,29.25,-14.40
19-June-2024,3821.50,3832.55,3794.00,3801.10,3810.263572414257345764,29711,3414,113206741.00,15814,53.23,38.55,-20.40
18-June-2024,3822.15,3842.00,3797.35,3814.75,3818.895111241935879510,40767,4541,155684897.00,16572,40.65,44.65,-7.40
14-June-2024,3885.30,3887.00,3826.45,3831.95,3837.780763769523951872,66905,6174,256766722.00,20071,30.00,60.55,-53.35
13-June-2024,3859.25,3889.95,3853.75,3877.50,3871.910082291601231233,79595,9660,308184683.00,43999,55.28,36.20,18.25
12-June-2024,3879.65,3893.30,3827.20,3832.40,3861.525126786537574919,23859,3191,92132128.00,9384,39.33,66.10,-47.25
