Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,522.50,526.70,517.50,521.55,523.008727743999676000,395062,11121,206620874.00,180816,45.77,9.20,-0.95
31-July-2024,523.20,525.00,519.50,522.05,521.908690337054501000,223317,7964,116551083.00,117302,52.53,5.50,-1.15
30-July-2024,524.20,526.85,519.95,521.50,523.368716193084560082,146050,3813,76438001.00,50306,34.44,6.90,-2.70
29-July-2024,527.90,530.70,522.85,524.20,525.912025669702069322,471217,13712,247818687.00,254199,53.95,7.85,-3.70
26-July-2024,509.05,528.50,509.00,525.00,521.560637568065857736,653044,13184,340602045.00,170048,26.04,19.50,15.95
25-July-2024,496.55,507.65,493.60,506.80,502.673520057001402998,272274,7095,136864930.00,88659,32.56,14.05,10.25
24-July-2024,502.00,506.45,499.70,500.05,502.780405463384974465,407879,12248,205073569.00,165233,40.51,6.75,-1.95
23-July-2024,509.35,509.35,486.65,500.55,500.519964393895730469,468459,13421,234473082.00,131302,28.03,22.70,-8.80
22-July-2024,520.00,526.30,501.80,505.75,510.754690445249679556,2254690,56334,1151593493.00,882610,39.15,24.50,-14.25
19-July-2024,580.00,580.00,555.00,557.25,563.940139844124326870,995537,31596,561423275.00,359519,36.11,25.00,-22.75
18-July-2024,555.30,574.40,555.30,573.20,567.869857870961686777,490118,14727,278323239.00,164555,33.57,19.10,17.90
16-July-2024,560.20,562.60,556.65,559.60,559.240288517375225404,229033,5942,128084481.00,72472,31.64,5.95,-0.60
15-July-2024,567.20,567.30,556.25,559.35,560.851875106637092646,293050,7565,164357642.00,101635,34.68,11.05,-7.85
12-July-2024,542.35,564.70,541.50,560.05,556.423434526203217035,2270351,49088,1263276501.00,1007410,44.37,23.20,17.70
11-July-2024,535.90,539.60,530.00,534.35,533.768607968248280804,145126,4448,77463703.00,35870,24.72,9.60,-1.55
10-July-2024,540.35,543.15,531.95,535.25,536.049766964873810853,239878,4444,128586546.00,63050,26.28,11.20,-5.10
