Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,8269.00,8284.95,8140.60,8217.00,8209.382602545968882602,1414,656,11608067.00,626,44.27,144.35,-52.00
31-July-2024,7891.05,8289.90,7810.00,8182.90,8140.906891701828410689,3555,1133,28940924.00,1573,44.25,479.90,291.85
30-July-2024,7768.00,7866.90,7701.05,7850.95,7799.167865707434052757,834,416,6504506.00,352,42.21,165.85,82.95
29-July-2024,7942.25,7963.50,7671.00,7690.95,7792.700000000000000000,690,362,5376963.00,225,32.61,292.50,-251.30
26-July-2024,7851.00,7981.80,7772.10,7889.85,7896.207266721717588769,1211,537,9562307.00,488,40.30,209.70,38.85
25-July-2024,7850.00,7937.30,7750.85,7772.10,7907.301985702938840349,31475,561,248882330.00,30529,96.99,186.45,-77.90
24-July-2024,7840.30,8081.65,7840.30,7907.85,7970.048857868020304568,1576,640,12560797.00,468,29.70,241.35,67.55
23-July-2024,7824.45,7880.10,7526.85,7848.10,7740.038858829316281357,2033,756,15735499.00,806,39.65,353.25,23.65
22-July-2024,8010.05,8169.55,7780.00,7840.35,7961.917455310199789695,1902,786,15143567.00,585,30.76,389.55,-169.70
19-July-2024,8594.95,8594.95,8040.00,8173.25,8182.915832290362953692,3196,1246,26152599.00,1242,38.86,554.95,-421.70
18-July-2024,8805.05,8855.00,8326.55,8444.35,8565.495849056603773584,2650,1130,22698564.00,1492,56.30,528.45,-360.70
16-July-2024,8530.15,8980.00,8489.40,8950.95,8872.445835131635735865,4634,1186,41114914.00,2859,61.70,490.60,420.80
15-July-2024,8400.05,8599.95,8313.70,8530.80,8441.859243697478991596,476,196,4018325.00,228,47.90,286.25,130.75
12-July-2024,8610.00,8610.00,8445.65,8467.20,8495.469333333333333333,375,139,3185801.00,167,44.53,164.35,-142.80
11-July-2024,8450.00,8646.75,8333.10,8605.50,8502.309605488850771869,1166,387,9913693.00,381,32.68,313.65,155.50
10-July-2024,8375.00,8428.15,8175.10,8379.00,8369.134171907756813417,954,451,7984154.00,549,57.55,253.05,4.00
9-July-2024,8441.05,8460.15,8240.40,8393.85,8353.897983392645314353,843,403,7042336.00,527,62.51,219.75,-47.20
8-July-2024,8227.00,8476.00,8201.55,8411.75,8386.771250000000000000,800,296,6709417.00,373,46.62,274.45,184.75
5-July-2024,8200.00,8251.00,8156.15,8208.50,8212.715874620829120323,989,300,8122376.00,850,85.95,94.85,8.50
4-July-2024,8153.10,8210.60,8080.00,8195.95,8151.795580110497237569,362,168,2950950.00,96,26.52,130.60,42.85
3-July-2024,8224.00,8229.95,8095.10,8179.95,8150.865217391304347826,920,346,7498796.00,598,65.00,134.85,-44.05
2-July-2024,8210.00,8268.05,8133.95,8222.40,8210.059055118110236220,254,128,2085355.00,104,40.94,134.10,12.40
1-July-2024,8061.90,8314.25,7948.40,8131.30,8161.621527777777777777,1440,483,11752735.00,800,55.56,365.85,69.40
28-June-2024,7900.00,8009.90,7900.00,7971.10,7981.377963737796373779,717,253,5722648.00,400,55.79,109.90,71.10
27-June-2024,7849.95,7920.95,7656.00,7830.25,7838.649166666666666666,1200,540,9406379.00,747,62.25,264.95,-19.70
26-June-2024,7664.20,7858.75,7633.75,7805.45,7734.512223515715948777,859,376,6643946.00,368,42.84,225.00,141.25
25-June-2024,7850.00,7850.00,7651.00,7664.50,7688.138775510204081632,245,104,1883594.00,153,62.45,199.00,-185.50
24-June-2024,7736.00,7802.70,7668.40,7697.00,7729.825284090909090909,704,292,5441797.00,477,67.76,134.30,-39.00
21-June-2024,7733.05,7973.80,7680.00,7730.65,7818.208175624526873580,1321,599,10327853.00,620,46.93,293.80,-2.40
20-June-2024,8049.95,8049.95,7688.10,7727.60,7797.638330757341576506,647,247,5045072.00,336,51.93,361.85,-322.35
19-June-2024,8059.95,8059.95,7820.00,7848.30,7903.042440318302387267,377,135,2979447.00,226,59.95,239.95,-211.65
18-June-2024,7959.60,8040.00,7924.40,7991.90,7980.553349875930521091,403,156,3216163.00,211,52.36,115.60,32.30
14-June-2024,8194.95,8194.95,7919.00,7934.60,8045.404846335697399527,1692,665,13612825.00,839,49.59,275.95,-260.35
13-June-2024,7878.00,8162.75,7800.65,8100.00,8051.698352584737739064,5281,990,42521019.00,3553,67.28,362.10,222.00
12-June-2024,7788.05,7868.00,7750.00,7775.10,7798.883720930232558139,688,269,5365632.00,315,45.78,118.00,-12.95
11-June-2024,7835.05,7925.00,7674.00,7797.75,7843.566718995290423861,1911,698,14989056.00,1090,57.04,251.00,-37.30
10-June-2024,7500.00,7868.90,7452.10,7681.80,7690.592445933597319524,22981,1053,176737505.00,21273,92.57,416.80,181.80
7-June-2024,7265.30,7399.25,7265.30,7386.65,7358.845360824742268041,194,120,1427616.00,138,71.13,133.95,121.35
6-June-2024,7175.50,7280.00,7150.05,7265.10,7205.743289745354439091,1453,380,10469945.00,1239,85.27,129.95,89.60
5-June-2024,6944.25,7169.95,6822.45,7095.30,7055.423135464231354642,657,297,4635413.00,420,63.93,347.50,151.05
4-June-2024,7204.95,7265.60,6628.60,6944.25,6975.606991525423728813,944,390,6584973.00,505,53.50,637.00,-260.70
3-June-2024,7113.00,7311.00,7113.00,7223.95,7233.070717131474103585,1004,522,7262003.00,526,52.39,198.00,110.95
31-May-2024,7325.45,7448.30,7162.00,7231.15,7344.102985074626865671,670,320,4920549.00,261,38.96,286.30,-94.30
30-May-2024,7399.95,7399.95,7202.05,7325.45,7312.294736842105263157,190,115,1389336.00,75,39.47,197.90,-74.50
29-May-2024,7155.00,7466.75,7155.00,7321.35,7368.818181818181818181,1089,257,8024643.00,688,63.18,311.75,166.35
28-May-2024,7294.15,7295.70,7155.00,7173.25,7211.434710743801652892,605,243,4362918.00,282,46.61,140.70,-120.90
27-May-2024,7390.65,7538.30,7261.70,7294.15,7300.285268149747465011,25937,462,189347499.00,25348,97.73,276.60,-96.50
24-May-2024,7223.95,7469.55,7202.70,7371.85,7355.115922417681551646,2217,798,16306292.00,1345,60.67,266.85,147.90
23-May-2024,7158.05,7266.85,7130.10,7254.55,7210.459196102314250913,821,358,5919787.00,564,68.70,136.75,96.50
22-May-2024,7200.05,7303.95,7180.00,7208.20,7235.177777777777777777,855,409,6186077.00,533,62.34,123.95,8.15
21-May-2024,7296.45,7341.85,7045.40,7289.45,7214.409966024915062287,883,366,6370324.00,225,25.48,296.45,-7.00
18-May-2024,7067.10,7235.15,7022.55,7153.35,7109.677419354838709677,62,26,440800.00,57,91.94,212.60,86.25
17-May-2024,7225.45,7244.75,7164.95,7211.30,7208.163230240549828178,582,239,4195151.00,410,70.45,79.80,-14.15
16-May-2024,7137.75,7258.00,7137.75,7180.80,7183.569331158238172920,613,262,4403528.00,276,45.02,120.25,43.05
15-May-2024,7239.80,7239.80,7073.35,7121.35,7124.739165329052969502,1246,535,8877425.00,417,33.47,166.45,-118.45
14-May-2024,7028.00,7151.00,7028.00,7113.90,7085.294343240651965484,1043,444,7389962.00,469,44.97,123.00,85.90
13-May-2024,7073.95,7073.95,6898.75,7023.30,6978.250597800095648015,2091,818,14591522.00,746,35.68,175.20,-50.65
10-May-2024,7079.80,7095.35,6957.95,6992.50,7013.745843230403800475,421,168,2952787.00,137,32.54,137.40,-87.30
9-May-2024,7102.35,7272.55,6993.50,7087.55,7106.276874672260094389,1907,701,13551670.00,863,45.25,279.05,-14.80
8-May-2024,7090.55,7319.90,7090.55,7247.25,7236.806703910614525139,5370,1360,38861652.00,1582,29.46,229.35,156.70
7-May-2024,7195.55,7245.00,7088.05,7203.35,7171.523014495094278677,49534,1330,355234221.00,46516,93.91,156.95,7.80
6-May-2024,6898.95,7408.35,6722.80,7303.45,7216.268689293899377932,9163,2120,66122670.00,2164,23.62,685.55,404.50
3-May-2024,6292.00,6900.00,6259.70,6819.90,6657.066364385820280296,7278,2393,48450129.00,1451,19.94,640.30,527.90
2-May-2024,6390.50,6390.50,6211.15,6235.00,6293.071987480438184663,639,358,4021273.00,248,38.81,179.35,-155.50
30-April-2024,6398.20,6398.20,6121.70,6310.60,6265.034482758620689655,725,314,4542150.00,486,67.03,276.50,-87.60
29-April-2024,6314.20,6314.20,6239.95,6272.75,6249.709243697478991596,595,241,3718577.00,491,82.52,74.25,-41.45
26-April-2024,6328.75,6340.10,6240.00,6314.20,6299.110486891385767790,534,304,3363725.00,164,30.71,100.10,-14.55
25-April-2024,6291.00,6399.00,6269.85,6298.90,6316.407772621809744779,1724,666,10889487.00,711,41.24,129.15,7.90
24-April-2024,6282.15,6328.50,6248.40,6265.40,6291.429256594724220623,417,211,2623526.00,167,40.05,80.10,-16.75
23-April-2024,6320.05,6330.20,6200.00,6250.10,6256.595634095634095634,962,312,6018845.00,473,49.17,130.20,-69.95
22-April-2024,6350.00,6491.00,6288.45,6316.75,6453.624449930235054201,9317,1034,60128419.00,8073,86.65,202.55,-33.25
19-April-2024,6149.55,6319.95,6014.45,6300.15,6240.368867788807365846,6951,1746,43376804.00,2379,34.23,305.50,150.60
18-April-2024,6125.30,6150.95,6065.30,6117.90,6115.896396396396396396,444,165,2715458.00,263,59.23,85.65,-7.40
16-April-2024,6035.70,6098.00,5815.70,6083.05,5965.187324733595064498,1783,397,10635929.00,1290,72.35,282.30,47.35
15-April-2024,5910.10,6033.85,5902.95,5997.40,5948.833718244803695150,1299,485,7727535.00,968,74.52,130.90,87.30
12-April-2024,5897.00,6043.55,5897.00,6022.75,6015.591049382716049382,1296,483,7796206.00,814,62.81,146.55,125.75
10-April-2024,5901.80,6038.10,5880.00,5904.20,5944.047120418848167539,955,326,5676565.00,492,51.52,158.10,2.40
9-April-2024,6129.90,6129.90,5901.00,5925.90,5975.821885913853317811,1718,620,10266462.00,917,53.38,228.90,-204.00
8-April-2024,6080.00,6142.40,5960.00,6016.55,6018.050295857988165680,676,419,4068202.00,405,59.91,182.40,-63.45
5-April-2024,6169.70,6169.70,6000.00,6071.95,6074.440054495912806539,734,351,4458639.00,316,43.05,169.70,-97.75
4-April-2024,6100.00,6140.95,6035.25,6060.75,6074.854143646408839779,905,411,5497743.00,265,29.28,105.70,-39.25
3-April-2024,6125.10,6125.10,6016.90,6104.55,6069.598347107438016528,1210,468,7344214.00,579,47.85,108.20,-20.55
2-April-2024,6147.30,6192.00,6053.10,6100.75,6143.092607003891050583,1285,427,7893874.00,655,50.97,138.90,-46.55
1-April-2024,6200.00,6206.40,6131.20,6147.30,6164.897091722595078299,447,211,2755709.00,151,33.78,75.20,-52.70
28-March-2024,6055.95,6195.00,6046.05,6179.95,6127.930107526881720430,1302,498,7978565.00,344,26.42,148.95,124.00
27-March-2024,5993.60,6050.00,5820.90,6022.50,5942.738803418803418803,2925,849,17382511.00,1752,59.90,229.10,28.90
26-March-2024,5828.00,5971.45,5727.85,5956.65,5882.173430321592649310,2612,750,15364237.00,1712,65.54,243.60,128.65
22-March-2024,5730.00,5900.00,5661.00,5828.65,5804.301204819277108433,1743,685,10116897.00,981,56.28,239.00,98.65
21-March-2024,5635.55,5749.30,5600.00,5654.70,5684.992289442467378410,1686,510,9584897.00,1087,64.47,149.30,19.15
20-March-2024,5687.90,5687.90,5502.15,5625.20,5585.801163918525703200,2062,700,11517922.00,960,46.56,185.75,-62.70
19-March-2024,5649.35,5649.35,5490.00,5502.35,5528.339529797703663203,1829,701,10111333.00,1201,65.66,159.35,-147.00
18-March-2024,5727.50,5727.50,5588.00,5595.15,5629.158730158730158730,1071,382,6028829.00,818,76.38,139.50,-132.35
15-March-2024,5799.55,5799.55,5671.55,5694.20,5698.922500000000000000,800,291,4559138.00,434,54.25,128.00,-105.35
14-March-2024,5709.05,5767.45,5655.45,5688.80,5706.961447678992918961,1271,491,7253548.00,690,54.29,112.00,-20.25
13-March-2024,5949.70,5949.70,5656.55,5709.05,5715.476495726495726495,936,268,5349686.00,580,61.97,293.15,-240.65
12-March-2024,5794.65,5800.60,5710.00,5780.80,5755.045275590551181102,508,198,2923563.00,277,54.53,90.60,-13.85
11-March-2024,5902.30,5969.00,5770.00,5780.70,5835.697833523375142531,877,281,5117907.00,570,64.99,199.00,-121.60
7-March-2024,5926.10,5926.10,5857.25,5900.25,5884.451002227171492204,898,329,5284237.00,460,51.22,68.85,-25.85
6-March-2024,5931.30,5967.65,5870.00,5891.70,5897.248039215686274509,1020,381,6015193.00,634,62.16,97.65,-39.60
5-March-2024,6069.40,6080.00,5864.80,5944.35,5956.500459136822773186,1089,362,6486629.00,676,62.08,215.20,-125.05
4-March-2024,5995.60,6090.20,5948.75,5975.00,6004.926829268292682926,1353,318,8124666.00,801,59.20,141.45,-20.60
2-March-2024,5989.95,6000.00,5876.00,5995.90,5970.428571428571428571,182,125,1086618.00,143,78.57,124.00,5.95
1-March-2024,6061.60,6077.85,5872.95,5898.65,5947.540311173974540311,707,352,4204911.00,419,59.26,204.90,-162.95
29-February-2024,6071.00,6094.95,6023.00,6032.75,6053.269473684210526315,950,401,5750606.00,670,70.53,71.95,-38.25
28-February-2024,6161.80,6166.60,6069.80,6103.70,6123.262711864406779661,236,95,1445090.00,148,62.71,96.80,-58.10
