Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1041.95,1044.90,1030.00,1039.75,1037.925889328063241106,40480,1770,42015240.00,18041,44.57,14.90,-2.20
31-July-2024,1058.95,1058.95,1037.30,1040.00,1045.485562757807896287,27152,1344,28387024.00,16649,61.32,21.65,-18.95
30-July-2024,1044.95,1054.30,1037.80,1048.25,1047.400351932130704330,85812,4645,89879519.00,46663,54.38,16.50,3.30
29-July-2024,1055.00,1058.00,1038.00,1040.35,1047.845199672431234645,41518,2559,43504437.00,20775,50.04,20.00,-14.65
26-July-2024,1016.95,1045.90,1016.75,1039.65,1031.436994694908286514,51083,2341,52688896.00,21517,42.12,29.15,22.70
25-July-2024,1011.50,1029.75,1008.95,1014.85,1019.428153877284888818,133431,7074,136023318.00,52324,39.21,20.80,3.35
24-July-2024,1029.65,1038.75,1020.05,1025.05,1028.711706404214028278,28856,2036,29684505.00,13032,45.16,18.70,-4.60
23-July-2024,1059.80,1059.80,988.65,1029.95,1020.141742070967542694,388572,15001,396398517.00,228536,58.81,71.15,-29.85
22-July-2024,1001.15,1045.60,991.25,1039.10,1025.153095171681849415,146987,9147,150684178.00,58326,39.68,54.35,37.95
19-July-2024,1039.30,1040.90,1007.15,1011.05,1021.899539182437155357,154508,9871,157891654.00,65948,42.68,33.75,-28.25
18-July-2024,1063.00,1064.90,1031.00,1039.80,1043.428671215947557895,223332,9796,233031012.00,138700,62.10,33.90,-23.20
16-July-2024,1070.85,1075.95,1045.60,1047.40,1057.742229396660996934,184606,8574,195265562.00,95423,51.69,30.35,-23.45
15-July-2024,1064.55,1064.55,1043.90,1056.30,1053.059374233880853150,65264,4241,68726867.00,32840,50.32,20.65,-8.25
12-July-2024,1069.00,1069.00,1042.30,1057.60,1056.451340733514382893,37927,2279,40068030.00,10712,28.24,26.70,-11.40
11-July-2024,1054.95,1067.40,1042.05,1058.45,1056.725149234362834155,69354,3195,73288116.00,22682,32.70,25.35,3.50
10-July-2024,1054.25,1054.25,1014.55,1040.75,1035.616472776517809068,122578,7036,126943796.00,69584,56.77,39.70,-13.50
9-July-2024,1043.00,1055.70,1020.00,1040.60,1030.097647028515756735,1707968,3340,1759373818.00,642026,37.59,35.70,-2.40
8-July-2024,1069.95,1069.95,1034.00,1043.10,1051.105158503416908554,87506,6243,91978008.00,36334,41.52,35.95,-26.85
5-July-2024,1032.55,1070.00,1027.95,1059.15,1055.898627911776258413,150209,7213,158605477.00,74575,49.65,42.05,26.60
4-July-2024,1029.95,1046.70,1024.20,1032.65,1037.813356667646351564,74854,3772,77684481.00,30053,40.15,22.50,2.70
3-July-2024,1030.00,1033.05,1016.00,1022.00,1021.254806151874399231,37452,2116,38248035.00,15240,40.69,17.05,-8.00
2-July-2024,1036.15,1041.05,1017.70,1026.40,1028.415282159130739572,42795,2146,44011032.00,18443,43.10,23.35,-9.75
1-July-2024,1042.95,1046.00,1033.00,1036.15,1038.129676503272008889,32396,1844,33631249.00,11188,34.54,13.00,-6.80
28-June-2024,1047.00,1054.45,1035.10,1041.70,1042.638589792541682576,39285,1696,40960057.00,11668,29.70,19.35,-5.30
27-June-2024,1050.00,1058.45,1029.60,1047.85,1046.559047619047619047,21000,1339,21977740.00,7707,36.70,28.85,-2.15
26-June-2024,1070.95,1070.95,1044.30,1046.90,1051.736232148560478167,43834,3583,46101806.00,16686,38.07,26.65,-24.05
