Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,4438.95,4465.10,4375.00,4407.90,4418.003214984623986580,7154,1495,31606395.00,2715,37.95,90.10,-31.05
31-July-2024,4469.00,4512.00,4452.20,4471.85,4473.902011471039663947,12379,1330,55382433.00,4993,40.33,59.80,2.85
30-July-2024,4485.00,4526.10,4440.35,4471.90,4480.230430924147895771,1121195,1916,5023211958.00,1114214,99.38,85.75,-13.10
29-July-2024,4490.00,4490.00,4275.15,4437.75,4395.785018457752255947,19504,3073,85735391.00,4857,24.90,214.85,-52.25
26-July-2024,4459.90,4509.00,4416.00,4491.25,4477.721141600092624753,17274,2516,77348155.00,7975,46.17,93.00,31.35
25-July-2024,4364.50,4465.00,4335.15,4430.50,4419.507217226691907240,33808,5980,149414700.00,19602,57.98,129.85,66.00
24-July-2024,4340.70,4397.70,4295.30,4377.00,4357.692451473759884974,6955,1366,30307751.00,2665,38.32,102.40,36.30
23-July-2024,4349.95,4372.10,4172.80,4315.05,4311.935258438818565400,15168,3414,65403434.00,6254,41.23,199.30,-34.90
22-July-2024,4281.40,4354.00,4250.30,4335.80,4320.179643067268091782,5099,1472,22028596.00,1573,30.85,103.70,54.40
19-July-2024,4415.00,4415.00,4251.00,4278.95,4299.282729890338785762,16323,4044,70177192.00,5497,33.68,164.00,-136.05
18-July-2024,4390.00,4443.95,4363.55,4416.20,4409.117048778828491734,29398,6100,129619223.00,19756,67.20,80.40,26.20
16-July-2024,4449.90,4450.00,4396.75,4434.50,4423.809862206430366582,11539,2001,51046342.00,6621,57.38,53.25,-15.40
15-July-2024,4349.95,4425.00,4320.25,4385.10,4390.566976904515684246,14505,2321,63685174.00,6803,46.90,104.75,35.15
12-July-2024,4321.65,4368.00,4284.65,4331.00,4339.483868391630729915,12522,1574,54339017.00,4450,35.54,83.35,9.35
11-July-2024,4280.05,4330.00,4280.05,4316.75,4309.424690181124880838,6294,1482,27123519.00,2868,45.57,49.95,36.70
10-July-2024,4314.00,4314.00,4167.20,4279.35,4247.854161504197465202,165457,2228,702837206.00,158973,96.08,146.80,-34.65
9-July-2024,4254.95,4315.00,4222.00,4302.65,4266.982104509663564781,6985,1746,29804870.00,3332,47.70,93.00,47.70
8-July-2024,4342.95,4342.95,4226.35,4235.15,4271.702910646288665171,38342,5610,163785633.00,16545,43.15,116.60,-107.80
5-July-2024,4275.75,4346.05,4275.75,4323.35,4328.478130755064456721,13032,1856,56408727.00,6929,53.17,70.30,47.60
4-July-2024,4297.95,4324.00,4267.50,4286.85,4293.801671214188267394,11728,2082,50357706.00,5562,47.42,56.50,-11.10
3-July-2024,4279.55,4285.00,4244.30,4278.25,4265.387625201938610662,30950,4058,132013747.00,14342,46.34,40.70,-1.30
2-July-2024,4225.40,4282.10,4225.40,4253.85,4258.447254592641595847,19651,2931,83682747.00,9885,50.30,56.70,28.45
1-July-2024,4263.00,4283.10,4212.65,4220.05,4243.105369166139149450,17377,1962,73732442.00,7227,41.59,70.45,-42.95
28-June-2024,4222.65,4264.65,4217.10,4227.95,4240.871066620106312807,25773,3563,109299970.00,12517,48.57,47.55,5.30
27-June-2024,4232.45,4236.10,4150.00,4223.80,4201.174833194328607172,9592,1681,40297669.00,3930,40.97,86.10,-8.65
26-June-2024,4242.00,4265.70,4213.40,4224.65,4235.877319429535347339,26084,3899,110488624.00,13786,52.85,52.30,-17.35
25-June-2024,4342.95,4342.95,4226.00,4236.60,4271.197433218922548873,13402,1997,57242588.00,6428,47.96,116.95,-106.35
24-June-2024,4309.90,4345.00,4268.00,4314.65,4318.415748971739418866,30148,4088,130191598.00,14256,47.29,77.00,4.75
21-June-2024,4234.05,4317.70,4211.65,4310.75,4280.077441271303546752,17368,2167,74336385.00,5553,31.97,106.05,76.70
20-June-2024,4247.95,4260.00,4185.80,4229.05,4211.054225799618724846,14163,2039,59641161.00,5307,37.47,74.20,-18.90
19-June-2024,4303.60,4320.00,4215.00,4226.70,4255.487129066857347157,16782,2868,71415585.00,7919,47.19,105.00,-76.90
18-June-2024,4300.00,4328.00,4280.00,4300.90,4303.950386454005271858,44766,4596,192670643.00,20189,45.10,48.00,0.90
14-June-2024,4310.05,4330.75,4261.00,4270.95,4282.404710716162629592,20931,1919,89635013.00,8651,41.33,69.75,-39.10
13-June-2024,4350.00,4350.00,4229.35,4300.95,4278.405698700092850510,51696,5163,221176461.00,15420,29.83,120.65,-49.05
12-June-2024,4394.85,4394.85,4285.00,4296.20,4326.006709481502759710,48737,5615,210836589.00,22353,45.86,109.85,-98.65
11-June-2024,4409.95,4471.90,4361.00,4368.20,4365.936685874313197266,8212875,21385,35856892259.00,7744197,94.29,110.90,-41.75
10-June-2024,4413.00,4610.00,4391.30,4562.55,4557.393434919782506544,59588,4780,271565960.00,16954,28.45,218.70,149.55
7-June-2024,4350.00,4410.00,4320.95,4371.35,4366.478835819093049936,16561,2075,72313256.00,5622,33.95,89.05,21.35
6-June-2024,4363.00,4363.00,4259.00,4299.25,4300.736123398853713890,25997,3337,111806237.00,6862,26.40,104.00,-63.75
5-June-2024,4124.95,4363.00,4031.40,4346.25,4252.636883148718420125,65271,8466,277573862.00,32939,50.46,331.60,221.30
4-June-2024,4333.00,4333.05,3869.00,4075.00,4085.693582633497068610,94665,14365,386772183.00,33219,35.09,464.05,-258.00
3-June-2024,4300.05,4319.95,4232.05,4298.85,4278.455308739918021948,15126,2216,64715915.00,5804,38.37,87.90,-1.20
31-May-2024,4199.80,4215.00,4107.40,4181.30,4153.916792068690802868,11297,2102,46926798.00,3216,28.47,107.60,-18.50
30-May-2024,4049.90,4195.90,4049.85,4161.60,4149.013446299656662445,76601,8060,317818579.00,21210,27.69,146.05,111.70
29-May-2024,4170.05,4175.90,4007.00,4027.80,4072.411341632088520055,57840,8625,235548272.00,23076,39.90,168.90,-142.25
28-May-2024,4261.95,4265.35,4157.35,4197.15,4207.566969353007945516,12334,1800,51896131.00,4516,36.61,108.00,-64.80
27-May-2024,4289.10,4296.00,4208.00,4248.85,4258.588011705741868209,29729,3102,126603563.00,10260,34.51,88.00,-40.25
24-May-2024,4504.65,4520.00,4245.00,4255.80,4352.099687157622397930,151514,15054,659404032.00,49787,32.86,275.00,-248.85
23-May-2024,4392.45,4440.70,4317.75,4400.55,4387.628614379570171857,53882,5664,236414205.00,11370,21.10,122.95,8.10
22-May-2024,4341.85,4405.00,4282.50,4359.55,4348.387944358578052550,13587,1805,59081547.00,5274,38.82,122.50,17.70
21-May-2024,4367.15,4367.15,4280.00,4314.85,4320.823413525288880469,26395,3265,114048134.00,12207,46.25,87.15,-52.30
18-May-2024,4383.80,4386.45,4340.00,4367.20,4360.457364341085271317,4515,793,19687465.00,2404,53.24,46.45,-16.60
17-May-2024,4290.55,4391.00,4290.55,4371.25,4358.325103656238220882,15918,2003,69375819.00,3544,22.26,100.45,80.70
16-May-2024,4299.90,4330.00,4265.15,4289.75,4299.232737411841889453,18291,1830,78637266.00,5229,28.59,64.85,-10.15
15-May-2024,4167.85,4313.75,4133.35,4294.20,4242.143654594036879282,37799,4884,160348788.00,14825,39.22,180.40,126.35
14-May-2024,4123.15,4174.45,4087.20,4148.45,4129.179977902296582748,25342,2987,104641679.00,9592,37.85,87.25,25.30
13-May-2024,4017.10,4090.40,3980.00,4083.65,4028.788686400505635731,18986,1430,76490582.00,4574,24.09,110.40,66.55
10-May-2024,4049.10,4049.10,3992.00,4016.75,4016.668891648556348959,6442,1045,25875381.00,2075,32.21,57.10,-32.35
9-May-2024,4108.05,4125.00,4031.00,4040.15,4079.363250403328521694,11777,1819,48042661.00,3473,29.49,94.00,-67.90
8-May-2024,3968.05,4084.70,3931.00,4075.00,4035.108198643329704379,11941,1917,48183227.00,2794,23.40,153.70,106.95
7-May-2024,4002.40,4040.85,3917.10,3948.35,3948.526013678553981436,40940,4103,161652655.00,25442,62.14,123.75,-54.05
6-May-2024,4079.90,4079.90,3937.55,3998.30,3984.858421851289833080,13180,1773,52520434.00,3586,27.21,142.35,-81.60
3-May-2024,4188.15,4188.15,3999.00,4019.15,4072.092597184340303606,36297,4478,147804745.00,12920,35.60,189.15,-169.00
2-May-2024,4024.05,4122.00,3972.00,4109.70,4049.786595123788007154,21246,2440,86041766.00,6012,28.30,150.00,85.65
30-April-2024,3967.00,3995.95,3936.90,3981.70,3971.586395461746818623,19567,2136,77712031.00,12105,61.86,59.05,14.70
29-April-2024,4012.85,4012.85,3873.50,3927.40,3923.587059345207301751,27062,3028,106180113.00,9477,35.02,139.35,-85.45
26-April-2024,3855.95,3971.30,3835.70,3936.00,3911.627192749544191315,56493,4875,220979555.00,18944,33.53,135.60,80.05
25-April-2024,3742.40,3829.45,3728.45,3815.05,3784.603344242176314174,19556,3054,74011703.00,11078,56.65,101.00,72.65
24-April-2024,3712.45,3763.05,3708.50,3742.35,3735.059068493150684931,9125,1897,34082414.00,2720,29.81,54.55,29.90
23-April-2024,3739.35,3739.35,3674.05,3701.25,3711.582041147258538562,19734,2555,73244360.00,6132,31.07,65.30,-38.10
22-April-2024,3624.95,3741.45,3619.25,3731.80,3678.856506272233664107,26705,3635,98243863.00,7371,27.60,122.20,106.85
19-April-2024,3517.65,3598.95,3443.00,3558.80,3517.590541879429921499,26242,4097,92308611.00,7215,27.49,155.95,41.15
18-April-2024,3658.35,3678.00,3574.00,3589.80,3643.598340915172598340,11211,1247,40848381.00,2727,24.32,104.00,-68.55
16-April-2024,3586.30,3636.00,3511.55,3566.70,3568.748881245608195569,27039,3253,96495401.00,9057,33.50,124.45,-19.60
