Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,56.30,57.00,53.01,54.15,54.993699917447194135,2094417,12168,115179740.00,1439892,68.75,3.99,-2.15
31-July-2024,54.85,56.65,54.77,55.78,55.700847179345598139,3824928,14796,213051730.00,2310136,60.40,1.88,0.93
30-July-2024,53.45,55.00,53.00,54.41,54.185395070673350812,6134915,19056,332422793.00,3194200,52.07,2.00,0.96
29-July-2024,49.20,53.95,48.30,52.62,52.456712508427019708,8150865,25266,427567582.00,4039089,49.55,5.65,3.42
26-July-2024,49.00,49.95,48.23,48.60,48.710547982801207574,1246134,5216,60699870.00,670664,53.82,1.72,-0.40
25-July-2024,48.27,52.00,47.50,48.74,49.261458120478136060,1830274,6739,90161966.00,825372,45.10,4.50,0.47
24-July-2024,48.15,50.00,47.51,48.27,48.513217225328476583,1400937,8368,67963961.00,720596,51.44,2.49,0.12
23-July-2024,48.98,50.35,46.50,48.17,48.562562011119556363,1395919,8340,67789403.00,692441,49.60,3.85,-0.81
22-July-2024,50.89,50.89,48.00,48.59,49.032604176583511786,1659634,7977,81376177.00,900777,54.28,2.89,-2.30
19-July-2024,53.00,54.00,50.00,50.83,52.422060779792333952,4173624,20479,218789971.00,2458040,58.89,4.00,-2.17
18-July-2024,46.09,52.40,44.01,51.18,49.666114623144897394,6557454,19858,325683262.00,2927929,44.65,8.39,5.09
16-July-2024,48.60,48.69,45.50,45.72,46.453718731435080907,2122619,13492,98603546.00,1626918,76.65,3.19,-2.88
15-July-2024,49.30,49.57,47.47,47.68,48.115948755400544661,1172104,7577,56396896.00,1002682,85.55,2.10,-1.62
12-July-2024,50.00,50.50,48.80,48.98,49.349243288501475985,1185987,9247,58527561.00,768468,64.80,1.70,-1.02
11-July-2024,50.95,51.50,49.70,50.01,50.297603371740797426,1600123,5596,80482352.00,1002673,62.66,1.80,-0.94
10-July-2024,49.97,51.00,48.45,50.07,49.570551751141324269,1440432,6576,71403009.00,868106,60.27,2.55,0.10
9-July-2024,50.74,50.74,49.14,49.65,49.832309804556966959,820853,5582,40905001.00,569849,69.42,1.60,-1.09
8-July-2024,51.37,51.46,49.90,49.95,50.390367839594748594,887153,7051,44703966.00,657621,74.13,1.56,-1.42
5-July-2024,50.80,51.90,50.50,50.86,50.902538382987693381,1005719,6546,51193650.00,561472,55.83,1.40,0.06
4-July-2024,51.00,53.00,50.55,50.77,51.226839637824418164,2056682,9117,105357319.00,942595,45.83,2.45,-0.23
3-July-2024,51.27,52.00,50.50,50.82,51.163230459015851739,1392087,7588,71223668.00,546832,39.28,1.50,-0.45
2-July-2024,51.25,52.45,50.25,50.97,51.292165805565188381,1366854,7416,70108902.00,711406,52.05,2.20,-0.28
1-July-2024,51.30,52.00,50.00,50.75,50.946238004404215673,1629348,5376,83009151.00,1355414,83.19,2.00,-0.55
28-June-2024,51.09,52.99,50.00,50.54,51.163641363112922199,2418435,8936,123735941.00,1046478,43.27,2.99,-0.55
