Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,56.51,56.65,55.01,55.13,55.549889541978036000,1379257,7052,76617574.00,1038133,75.27,1.64,-1.38
31-July-2024,57.94,58.39,56.01,56.37,56.815292044368818717,2833251,9269,160971983.00,1950144,68.83,2.38,-1.57
30-July-2024,58.25,59.25,57.22,57.83,58.298150607672935900,1848445,6277,107760925.00,1050355,56.82,2.03,-0.42
29-July-2024,59.80,60.84,57.83,58.25,59.595397028402602445,5169139,12340,308056891.00,2862907,55.38,3.01,-1.55
26-July-2024,56.12,59.79,56.12,57.62,58.460203764855430310,4899471,12403,286424073.00,1857415,37.91,3.67,1.50
25-July-2024,57.00,57.90,56.60,57.17,57.126948814705263720,1516627,5679,86640273.00,992406,65.44,1.30,0.17
24-July-2024,56.72,58.75,56.72,58.00,58.026945125528244051,3179165,9884,184477233.00,1897925,59.70,2.03,1.28
23-July-2024,55.95,58.80,53.00,56.72,56.743213386954137348,5977282,15367,339170188.00,2648568,44.31,5.80,0.77
22-July-2024,56.00,56.90,54.54,54.81,55.409877216589696023,1668385,8882,92445008.00,1191980,71.45,2.36,-1.19
19-July-2024,55.54,58.27,55.50,56.38,56.830754647418692539,3604743,10254,204860265.00,2047673,56.80,2.77,0.84
18-July-2024,57.65,57.65,54.40,55.28,55.863224080693271785,3205323,10755,179059677.00,2054315,64.09,3.25,-2.37
16-July-2024,59.00,60.00,57.28,57.70,58.662574028354784741,12942507,29246,759240775.00,6392211,49.39,2.72,-1.30
15-July-2024,52.93,57.00,52.71,55.89,55.832198222985535522,7961781,19799,444523735.00,4741281,59.55,4.29,2.96
12-July-2024,52.20,53.80,51.50,51.89,52.197225511559302171,1875589,5542,97900542.00,1310196,69.86,2.30,-0.31
11-July-2024,53.00,53.00,51.70,51.97,52.144009564660844123,1006204,5074,52467511.00,646143,64.22,1.30,-1.03
10-July-2024,52.80,54.30,51.50,52.34,52.707877040861251558,1510453,6477,79612771.00,951066,62.97,2.80,-0.46
9-July-2024,55.10,55.79,46.00,52.77,53.341779141583315765,3201825,9473,170791042.00,1760981,55.00,9.79,-2.33
8-July-2024,54.30,56.65,54.30,56.02,55.385656093489148580,3594000,7244,199056048.00,2349915,65.38,2.35,1.72
5-July-2024,54.85,55.65,53.70,54.28,54.809439809866638288,2593548,7961,142150913.00,1455519,56.12,1.95,-0.57
4-July-2024,51.50,54.65,51.05,53.88,53.115688147001604634,3380208,9136,179542074.00,1842101,54.50,3.60,2.38
