Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1490.95,1511.00,1488.80,1505.40,1504.094766459263735329,105913,12548,159303189.00,58120,54.88,22.20,14.45
31-July-2024,1472.20,1504.20,1472.20,1492.90,1488.870318562718054061,153345,10071,228310819.00,87737,57.22,32.00,20.70
30-July-2024,1489.30,1489.30,1464.10,1471.05,1473.120482530366566347,119951,7873,176702275.00,83757,69.83,25.20,-18.25
29-July-2024,1522.05,1522.05,1476.55,1481.10,1503.707399168854568060,324131,18744,487398183.00,234089,72.22,45.50,-40.95
26-July-2024,1450.00,1520.00,1449.50,1514.70,1503.439174433568615216,512860,22833,771053815.00,163885,31.96,70.50,64.70
25-July-2024,1441.65,1454.10,1440.10,1449.40,1448.025350298583193474,51242,8787,74199715.00,14683,28.65,14.00,7.75
24-July-2024,1465.00,1475.55,1437.00,1455.55,1455.036424609828453501,38765,9042,56404487.00,12997,33.53,38.55,-9.45
23-July-2024,1465.05,1469.40,1428.70,1465.00,1450.578260116454144515,75051,8347,108867349.00,17135,22.83,40.70,-0.05
22-July-2024,1450.00,1471.55,1450.00,1464.60,1464.390516791076212782,59347,7513,86907184.00,30731,51.78,21.55,14.60
19-July-2024,1476.90,1478.70,1452.35,1461.50,1462.644991439360180125,255822,16875,374176767.00,37141,14.52,26.35,-15.40
18-July-2024,1466.35,1486.35,1459.05,1483.25,1473.262538353725519906,105596,11580,155570631.00,30065,28.47,27.30,16.90
16-July-2024,1445.00,1473.80,1445.00,1466.00,1463.058560547003409379,106471,7634,155773308.00,30610,28.75,28.80,21.00
15-July-2024,1430.40,1440.00,1426.75,1437.20,1435.963777490297542043,47926,3998,68820000.00,9796,20.44,13.25,6.80
12-July-2024,1440.45,1448.20,1421.55,1433.00,1435.350881593884327739,470398,31268,675186184.00,90976,19.34,26.65,-7.45
11-July-2024,1450.00,1450.75,1427.95,1439.00,1438.975593714873364743,83626,5435,120335773.00,23779,28.43,22.80,-11.00
10-July-2024,1438.90,1449.00,1426.95,1444.70,1439.087678104487966273,56217,4297,80901192.00,14934,26.56,22.05,5.80
9-July-2024,1440.60,1441.75,1428.30,1435.10,1433.662636467329313997,153425,7424,219959690.00,126121,82.20,13.45,-5.50
8-July-2024,1430.05,1438.50,1423.05,1434.90,1431.679249469894965234,162232,8537,232264188.00,102630,63.26,15.45,4.85
5-July-2024,1423.35,1433.30,1416.60,1430.00,1425.472253175432187381,544729,35723,776496075.00,179798,33.01,16.70,6.65
4-July-2024,1418.95,1440.40,1411.55,1423.35,1423.630913451057335949,509157,24839,724851645.00,304402,59.79,28.85,4.40
3-July-2024,1429.60,1432.50,1410.00,1420.35,1421.483791012261888927,556358,15827,790853879.00,372603,66.97,22.50,-9.25
2-July-2024,1465.05,1473.50,1415.50,1418.55,1435.417007798727104311,502005,33279,720586515.00,289343,57.64,58.00,-46.50
1-July-2024,1450.00,1467.40,1449.30,1453.20,1455.936163366957219385,478628,44116,696851814.00,171866,35.91,18.10,3.20
28-June-2024,1535.00,1539.10,1436.50,1445.35,1463.539386253180950286,1564391,85607,2289547844.00,332228,21.24,102.60,-89.65
27-June-2024,1466.85,1489.00,1440.10,1471.80,1462.539517551944802886,379730,11991,555370131.00,204156,53.76,48.90,4.95
26-June-2024,1419.05,1479.50,1410.40,1458.55,1453.251844077300784604,544988,21346,792004816.00,335624,61.58,69.10,39.50
25-June-2024,1439.95,1439.95,1410.05,1415.10,1419.409999383281228503,210793,4432,299201692.00,168803,80.08,29.90,-24.85
24-June-2024,1404.05,1423.10,1397.40,1419.20,1414.279960555319231215,362026,11174,512006117.00,216939,59.92,25.70,15.15
21-June-2024,1388.10,1423.55,1373.05,1413.25,1410.086535795399670381,641954,35070,905210692.00,197947,30.84,50.50,25.15
20-June-2024,1403.00,1406.35,1376.05,1381.15,1385.003533641499743194,438075,35857,606735423.00,63038,14.39,30.30,-21.85
19-June-2024,1432.45,1432.90,1388.05,1393.15,1406.732167234656897889,101821,9541,143234876.00,44121,43.33,44.85,-39.30
18-June-2024,1439.10,1442.00,1418.00,1428.70,1428.479094984881659889,95910,9824,137005430.00,58960,61.47,24.00,-10.40
14-June-2024,1431.05,1434.50,1421.30,1427.75,1425.966810685891558547,159238,9026,227068103.00,95769,60.14,13.20,-3.30
13-June-2024,1441.55,1450.00,1420.45,1425.30,1433.838369770580296896,92625,6080,132809279.00,39746,42.91,29.55,-16.25
12-June-2024,1422.00,1447.50,1422.00,1438.45,1442.091820081124041104,188107,9202,271267566.00,144219,76.67,25.50,16.45
11-June-2024,1429.60,1434.40,1413.00,1427.50,1425.315174620672760399,65313,6119,93091610.00,32518,49.79,21.40,-2.10
10-June-2024,1428.95,1436.45,1421.05,1425.20,1430.175397136077402268,206919,9176,295930463.00,114723,55.44,15.40,-3.75
7-June-2024,1371.70,1431.20,1363.00,1425.80,1410.755943285046491826,709372,30278,1000750765.00,166145,23.42,68.20,54.10
6-June-2024,1367.10,1375.05,1329.00,1371.75,1346.859554056586097058,400275,8717,539114208.00,308761,77.14,46.05,4.65
5-June-2024,1332.70,1348.30,1279.75,1344.40,1315.185080625277380541,243348,16264,320047659.00,103944,42.71,68.55,11.70
4-June-2024,1393.10,1395.65,1224.50,1306.60,1306.129277671474830732,434816,36526,567925908.00,144379,33.20,171.15,-86.50
3-June-2024,1405.05,1420.00,1385.00,1393.95,1401.174608074293482901,152261,9287,213344247.00,77953,51.20,35.00,-11.10
31-May-2024,1378.25,1387.10,1337.60,1371.85,1361.737259003453379378,506750,22211,690060356.00,84165,16.61,49.50,-6.40
30-May-2024,1383.95,1386.10,1363.25,1377.40,1375.613690905734472284,59587,4712,81968693.00,22985,38.57,22.85,-6.55
29-May-2024,1365.10,1390.10,1358.45,1377.20,1375.669803680638945516,35809,2816,49261360.00,11712,32.71,31.65,12.10
28-May-2024,1389.00,1389.00,1367.60,1370.55,1378.207202713487629688,20048,1887,27630298.00,8214,40.97,21.40,-18.45
27-May-2024,1399.20,1407.05,1378.65,1383.70,1393.379475633669838041,82614,5084,115112652.00,36143,43.75,28.40,-15.50
24-May-2024,1377.00,1398.00,1375.00,1388.60,1388.981391660864856501,258540,12942,359107249.00,114265,44.20,23.00,11.60
23-May-2024,1350.15,1377.15,1342.95,1373.95,1367.385007055503292568,85040,11103,116282421.00,23715,27.89,34.20,23.80
22-May-2024,1343.40,1351.15,1329.40,1347.55,1337.285639050080460330,102535,2889,137118583.00,75185,73.33,21.75,4.15
21-May-2024,1348.05,1362.00,1336.50,1343.90,1352.107323232323232323,131472,7293,177764254.00,79972,60.83,25.50,-4.15
18-May-2024,1348.55,1359.95,1341.65,1348.20,1347.731895443508070275,7001,392,9435471.00,3395,48.49,18.30,-0.35
17-May-2024,1354.10,1360.00,1339.95,1344.15,1348.863900406692543086,301948,13318,407286757.00,123370,40.86,20.05,-9.95
16-May-2024,1328.00,1356.75,1321.35,1344.90,1339.388733733436330144,353409,12491,473352033.00,171283,48.47,35.40,16.90
15-May-2024,1280.00,1317.55,1280.00,1311.75,1300.244947992817393914,179879,7609,233886761.00,57679,32.07,37.55,31.75
14-May-2024,1288.55,1299.10,1281.00,1285.40,1287.670890383358257739,111671,3966,143795496.00,63505,56.87,18.10,-3.15
13-May-2024,1296.50,1302.00,1281.25,1286.55,1289.985069480362746112,58002,3806,74821714.00,22879,39.45,20.75,-9.95
10-May-2024,1274.10,1308.20,1272.00,1302.60,1297.196774017223130475,201241,11200,261049176.00,45717,22.72,36.20,28.50
9-May-2024,1287.00,1294.85,1269.85,1275.60,1280.255422466817740369,64869,5853,83048889.00,27892,43.00,25.00,-11.40
8-May-2024,1272.15,1299.65,1272.15,1288.70,1287.060261902837280737,24742,1698,31844445.00,9955,40.24,27.50,16.55
7-May-2024,1285.00,1294.10,1271.05,1284.85,1284.237041280945632180,33163,1539,42589153.00,9262,27.93,23.05,-0.15
6-May-2024,1279.95,1298.50,1276.00,1283.35,1285.963572064496982886,40436,2116,51999223.00,14141,34.97,22.50,3.40
3-May-2024,1309.55,1309.55,1258.25,1276.75,1278.903149642687594264,238027,16100,304413480.00,75445,31.70,51.30,-32.80
2-May-2024,1317.95,1320.05,1294.00,1306.15,1304.794049679562146231,106885,7252,139462912.00,34459,32.24,26.05,-11.80
30-April-2024,1326.35,1334.55,1320.05,1322.85,1326.262385235223913196,128197,3851,170022859.00,92030,71.79,14.50,-3.50
29-April-2024,1329.35,1345.75,1320.25,1333.25,1334.544499236820476693,51102,2914,68197893.00,20902,40.90,25.50,3.90
26-April-2024,1338.00,1344.30,1321.50,1325.50,1327.897607811469762411,134981,7471,179240947.00,18207,13.49,22.80,-12.50
25-April-2024,1332.70,1343.00,1324.50,1335.95,1334.383498817966903073,84600,3233,112888844.00,54743,64.71,18.50,3.25
24-April-2024,1364.05,1364.05,1333.80,1336.25,1345.655853301874097266,111467,3043,149996221.00,58088,52.11,30.25,-27.80
