Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,134.35,140.50,133.30,134.35,137.374887513944977543,4858380,27888,667419406.00,2086152,42.94,7.20,0.00
31-July-2024,136.20,137.50,132.10,134.70,134.660129033633356891,2439364,11316,328485071.00,635851,26.07,5.40,-1.50
30-July-2024,128.00,135.80,127.85,134.80,132.476692995761741253,3509932,19553,464984184.00,832217,23.71,7.95,6.80
29-July-2024,124.75,130.95,123.50,129.80,127.996716665460370556,5733805,38254,733908214.00,2742715,47.83,7.45,5.05
26-July-2024,118.90,124.50,117.60,123.25,120.356031418105872080,5224758,15396,628831138.00,3487291,66.75,6.90,4.35
25-July-2024,119.50,125.10,117.30,118.40,121.221075683827576101,3497775,20127,424004048.00,1094618,31.29,7.80,-1.10
24-July-2024,112.35,120.70,112.35,119.55,117.584703221860186089,4080624,12387,479818962.00,642321,15.74,8.35,7.20
23-July-2024,117.65,117.90,105.35,112.55,112.875425753621640137,2948595,19856,332823916.00,686958,23.30,12.55,-5.10
22-July-2024,113.90,118.30,112.50,117.50,116.017082220480752314,1875810,8283,217626003.00,520969,27.77,5.80,3.60
19-July-2024,117.65,117.65,113.85,115.55,115.526782580207333910,897393,5539,103672926.00,230583,25.69,3.80,-2.10
18-July-2024,120.10,120.45,116.40,117.80,118.031912511123398874,1513701,9442,178665024.00,470259,31.07,4.05,-2.30
16-July-2024,123.60,124.15,119.60,120.15,121.669254952463921821,765629,4245,93153510.00,339459,44.34,4.55,-3.45
15-July-2024,121.50,124.10,119.55,122.50,121.698197351621316526,1649462,9272,200736552.00,516096,31.29,4.55,1.00
12-July-2024,125.00,125.45,120.10,120.80,122.764886956032633567,1955655,10445,240085765.00,660391,33.77,5.35,-4.20
11-July-2024,124.00,126.20,123.45,124.15,125.275316411499052785,8019304,10512,1004620846.00,715676,8.92,2.75,0.15
10-July-2024,127.00,128.00,120.50,122.95,124.256155599074966830,9293937,8655,1154828882.00,7643134,82.24,7.50,-4.05
9-July-2024,132.00,133.05,126.00,126.70,129.632788549735237580,2905435,17377,376639641.00,1253944,43.16,7.05,-5.30
8-July-2024,130.30,135.40,128.55,132.00,131.817529737194469373,6667744,13670,878925543.00,3920259,58.79,6.85,1.70
5-July-2024,125.15,131.50,124.45,130.05,128.727069699357332256,12479699,36814,1606475083.00,8387571,67.21,7.05,4.90
4-July-2024,120.05,126.45,120.05,125.10,123.751469207178967538,6335730,32238,784055896.00,3250375,51.30,6.40,5.05
3-July-2024,113.45,120.55,112.65,118.85,116.684297038054350999,1387095,7031,161852205.00,413920,29.84,7.90,5.40
2-July-2024,115.00,116.25,111.80,112.65,114.098588270008344974,1735176,9802,197981132.00,577971,33.31,4.45,-2.35
1-July-2024,113.55,118.25,112.80,114.60,116.003981221164052316,2445732,13147,283714649.00,789656,32.29,5.45,1.05
28-June-2024,111.90,116.80,107.75,113.20,111.841485036877363191,7036566,20956,786979991.00,3523767,50.08,9.05,1.30
27-June-2024,115.35,117.10,110.35,111.10,113.173236261266879616,2445331,15419,276746023.00,848511,34.70,6.75,-4.25
26-June-2024,115.65,117.25,113.80,115.45,115.417914939885539079,1312413,6994,151475972.00,287147,21.88,3.45,-0.20
25-June-2024,117.15,120.30,114.55,115.00,117.816934564328460224,2513522,12541,296135457.00,653507,26.00,5.75,-2.15
24-June-2024,117.00,119.90,115.00,116.75,117.743534239314265616,3195873,18392,376293382.00,889544,27.83,4.90,-0.25
21-June-2024,124.50,125.50,120.95,121.55,123.231809504874246086,2384061,15148,293792151.00,977194,40.99,4.55,-2.95
20-June-2024,127.00,129.50,123.80,124.55,126.957329673085730486,2200944,12350,279425973.00,504767,22.93,5.70,-2.45
19-June-2024,124.90,130.50,119.10,126.90,125.449604591112741714,6307142,28287,791228470.00,2848402,45.16,11.40,2.00
18-June-2024,123.15,129.00,122.75,124.15,126.084807993338006567,7589320,31301,956897955.00,3322601,43.78,6.25,1.00
14-June-2024,112.75,120.20,111.40,117.80,117.120494023887477565,10369701,41612,1214504504.00,5384194,51.92,8.80,5.05
