Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,16.34,16.39,15.88,15.99,16.050405745820943536,34025982,89664,546130817.00,12442415,36.57,0.51,-0.35
31-July-2024,16.29,16.52,16.22,16.27,16.366781236333146946,39205258,94860,641663881.00,19115358,48.76,0.30,-0.02
30-July-2024,16.06,16.28,16.00,16.22,16.174546332170151787,24790054,55284,400967877.00,13493982,54.43,0.28,0.16
29-July-2024,16.05,16.42,15.93,16.06,16.090353005331936484,58130850,52425,935345897.00,35378339,60.86,0.49,0.01
26-July-2024,15.38,16.13,15.38,15.98,15.861773713869947057,59384877,58120,941949481.00,32272305,54.34,0.75,0.60
25-July-2024,15.30,15.42,15.03,15.20,15.190296821665315966,43577412,79894,661953823.00,19650635,45.09,0.39,-0.10
24-July-2024,15.30,15.65,15.21,15.58,15.486586801474494341,34344791,52482,531883587.00,13360818,38.90,0.44,0.28
23-July-2024,15.89,15.90,14.56,15.28,15.220759403671521970,94566069,135669,1439367384.00,39154683,41.40,1.34,-0.61
22-July-2024,15.76,16.05,15.65,15.89,15.906924495201222511,38020100,66739,604782860.00,14551744,38.27,0.40,0.13
19-July-2024,16.35,16.43,15.81,15.88,16.052138867004240123,44202725,81721,709548280.00,17613336,39.85,0.62,-0.47
18-July-2024,16.67,16.68,15.92,16.28,16.263442129322790125,37101674,79719,603400928.00,13689122,36.90,0.76,-0.39
16-July-2024,17.56,17.66,16.67,16.79,17.074859996823005685,67447398,83798,1151654878.00,24809735,36.78,0.99,-0.77
15-July-2024,16.10,16.73,15.78,16.68,16.306340636782512000,27806040,62546,453414760.00,6890377,24.78,0.95,0.58
12-July-2024,16.72,16.83,16.00,16.08,16.307985935287769194,59252972,123404,966296634.00,25331112,42.75,0.83,-0.64
11-July-2024,16.75,16.84,16.50,16.56,16.611372712338293629,49603488,57953,823982027.00,24855293,50.11,0.34,-0.19
10-July-2024,16.95,17.28,16.47,16.64,16.779232301698624436,43830760,87642,735446504.00,11524127,26.29,0.81,-0.31
9-July-2024,16.60,17.01,16.55,16.85,16.776367682362099344,58600211,115260,983098686.00,17260785,29.46,0.46,0.25
8-July-2024,17.12,17.24,16.51,16.57,16.858006454563889663,60640193,145927,1022272765.00,22489680,37.09,0.73,-0.55
5-July-2024,17.43,17.49,17.02,17.09,17.248798901488896254,54647058,107192,942596114.00,20158677,36.89,0.47,-0.34
4-July-2024,17.53,17.74,17.28,17.51,17.508230693152995185,38828686,122277,679821592.00,7938338,20.44,0.46,-0.02
3-July-2024,17.09,17.67,16.90,17.46,17.408792251569287396,77036399,104179,1341110666.00,26375989,34.24,0.77,0.37
2-July-2024,17.70,17.76,16.95,17.03,17.288983663455568017,81038619,135714,1401075360.00,28496681,35.16,0.81,-0.67
1-July-2024,17.87,18.05,17.40,17.63,17.731254252255126549,86545254,162568,1534555903.00,28401689,32.82,0.65,-0.24
28-June-2024,19.02,19.15,17.50,17.90,18.183864478542670236,166585989,269036,3029177048.00,60506204,36.32,1.65,-1.12
27-June-2024,18.26,18.70,18.00,18.52,18.274773390226630335,136656286,259378,2497362659.00,42300511,30.95,0.70,0.26
26-June-2024,17.22,18.47,17.22,18.02,17.817725451855513668,162817367,213214,2901035144.00,61535950,37.79,1.25,0.80
25-June-2024,17.46,17.50,17.15,17.20,17.303564755310313075,67227251,83278,1163271091.00,26863391,39.96,0.35,-0.26
24-June-2024,17.01,17.34,16.84,17.27,17.135176372742198516,86095645,118223,1475264062.00,30513307,35.44,0.50,0.26
21-June-2024,16.62,17.28,16.53,17.14,17.094781140437842750,131283069,102077,2244255332.00,52970087,40.35,0.75,0.52
