Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,435.15,436.55,424.50,428.65,429.573997105045492142,386880,7245,166193588.00,119555,30.90,12.05,-6.50
31-July-2024,448.75,448.75,430.50,432.85,437.074852069962413484,850571,13546,371763194.00,329150,38.70,18.25,-15.90
30-July-2024,445.40,453.45,444.25,447.05,448.041188193983107146,705979,13009,316307670.00,446036,63.18,9.20,1.65
29-July-2024,449.75,449.75,441.10,443.20,443.398915306399541381,530288,9019,235129124.00,306243,57.75,8.65,-6.55
26-July-2024,439.80,447.30,435.60,445.00,441.682264548577905288,903456,10168,399040492.00,472757,52.33,11.70,5.20
25-July-2024,417.40,429.80,415.55,424.80,421.955952151044565871,440135,12797,185717583.00,216316,49.15,14.25,7.40
24-July-2024,436.60,440.00,418.85,426.55,427.712155276566685927,1142220,22961,488541378.00,804186,70.41,21.15,-10.05
23-July-2024,424.95,439.45,404.00,434.40,425.503883447520316562,672727,17433,286247951.00,143151,21.28,35.45,9.45
22-July-2024,409.50,422.80,403.65,421.50,417.246174777075988937,515983,8953,215291933.00,278326,53.94,19.15,12.00
19-July-2024,420.00,424.65,404.80,409.40,412.908370069110662381,703220,12547,290365424.00,348953,49.62,19.85,-10.60
18-July-2024,407.95,423.25,407.75,419.15,416.965753377940564615,733065,11185,305663000.00,207038,28.24,15.50,11.20
16-July-2024,399.40,408.00,398.35,406.70,403.968473128717339566,234879,4363,94883711.00,76780,32.69,9.65,7.30
15-July-2024,393.40,398.00,388.25,396.45,393.511740253904055724,302634,3585,119090032.00,65825,21.75,9.75,3.05
12-July-2024,397.05,398.30,389.25,391.90,393.434717702822627802,290722,5273,114380128.00,124395,42.79,9.05,-5.15
11-July-2024,383.50,395.50,383.35,394.25,390.640451859055883893,334175,5395,130542273.00,127102,38.03,12.15,10.75
10-July-2024,386.35,388.50,373.65,382.55,379.333303630135784117,740661,12830,280957384.00,269287,36.36,14.85,-3.80
9-July-2024,385.80,387.55,376.20,385.25,383.367415425098411041,563199,10603,215912145.00,228523,40.58,11.35,-0.55
8-July-2024,397.90,398.80,384.30,385.85,390.441747514886812491,418995,4739,163593140.00,139769,33.36,14.50,-12.05
5-July-2024,400.45,403.55,392.55,395.50,397.706318124636144932,843399,10556,335425111.00,276346,32.77,11.00,-4.95
4-July-2024,399.00,408.25,389.65,404.05,398.624756461558646024,1219520,15708,486130863.00,475840,39.02,18.60,5.05
3-July-2024,387.80,397.50,385.45,396.50,391.313586878095104776,1157271,20936,452855866.00,437998,37.85,12.05,8.70
2-July-2024,391.10,396.50,380.10,383.90,389.230100405238756106,1332301,18091,518571652.00,401824,30.16,16.40,-7.20
1-July-2024,379.65,391.20,373.00,389.75,384.634953774752683965,889449,12052,342113175.00,207233,23.30,18.20,10.10
28-June-2024,374.95,384.75,369.80,375.05,377.395931122004261575,3527803,33921,1331378498.00,1105597,31.34,14.95,0.10
27-June-2024,362.70,369.15,351.50,365.65,361.128913169607689412,2659449,29126,960403927.00,885603,33.30,17.65,2.95
26-June-2024,346.20,357.75,340.70,356.15,350.177488548583818945,1844750,19732,645989922.00,690902,37.45,17.05,9.95
25-June-2024,343.75,344.90,341.00,344.30,343.498404361339328933,456557,7332,156826601.00,159298,34.89,3.90,0.55
24-June-2024,339.20,341.65,331.40,339.75,336.597806202424379084,824871,8907,277649769.00,282525,34.25,10.25,0.55
21-June-2024,338.45,338.60,330.10,335.90,333.686912621791783736,718234,8299,239665286.00,225002,31.33,8.50,-2.55
20-June-2024,336.00,340.10,334.15,336.25,337.065116241157779048,736099,9914,248113295.00,263910,35.85,5.95,0.25
19-June-2024,330.45,342.20,320.60,334.00,326.914203411761792727,46119398,173012,15077086259.00,24730446,53.62,21.60,3.55
18-June-2024,330.80,347.60,330.80,343.90,338.903818116622694500,1480861,152776,501869447.00,451972,30.52,16.80,13.10
14-June-2024,339.65,346.80,338.60,340.80,342.464262145075421472,721280,36711,247012623.00,188182,26.09,8.20,1.15
13-June-2024,344.45,344.45,337.00,339.60,340.231815132644795463,316032,6606,107524141.00,123504,39.08,7.45,-4.85
12-June-2024,351.45,351.45,340.75,342.15,344.675867248309080204,215711,2754,74350376.00,59815,27.73,10.70,-9.30
11-June-2024,348.40,353.35,342.00,347.85,347.638792070456481823,219483,4690,76300805.00,45208,20.60,11.35,-0.55
10-June-2024,347.95,352.50,344.45,347.75,349.177636746363379308,318290,5424,111139750.00,138720,43.58,8.05,-0.20
7-June-2024,338.95,351.40,337.15,347.40,345.679190523434418293,418295,8147,144595877.00,195926,46.84,14.25,8.45
6-June-2024,335.95,344.95,335.00,339.35,340.500144423595508095,453527,7097,154426009.00,164126,36.19,9.95,3.40
5-June-2024,320.85,335.80,309.15,332.80,326.202129044351185579,384116,5490,125299457.00,64922,16.90,26.65,11.95
4-June-2024,364.95,364.95,292.00,307.45,319.335442334373536530,1142405,15581,364810406.00,225515,19.74,72.95,-57.50
3-June-2024,360.00,369.85,341.70,363.90,354.935414960657955637,814523,10208,289103059.00,186327,22.88,28.15,3.90
31-May-2024,349.20,350.90,342.00,348.00,347.714379363944007493,686449,7549,238688188.00,425848,62.04,8.90,-1.20
30-May-2024,341.85,346.30,339.00,343.70,343.402017405813314119,263705,2861,90556829.00,38785,14.71,7.30,1.85
29-May-2024,342.05,345.15,340.15,340.80,341.956921866358001813,175379,1944,59972063.00,29798,16.99,5.00,-1.25
28-May-2024,345.15,350.70,340.00,341.35,346.535839637930021075,476372,10811,165079971.00,139539,29.29,10.70,-3.80
27-May-2024,346.60,351.90,340.45,342.90,345.834626205787781350,199040,3235,68834924.00,64182,32.25,11.45,-3.70
24-May-2024,345.50,356.35,343.15,346.65,351.050717415642617711,602022,12493,211340255.00,106265,17.65,13.20,1.15
23-May-2024,341.40,347.70,340.15,343.65,344.653838448750003252,384361,5846,132471494.00,111064,28.90,7.55,2.25
22-May-2024,342.10,345.25,336.75,339.55,340.039805901994812508,265639,5387,90327834.00,82949,31.23,8.50,-2.55
21-May-2024,346.75,347.00,338.00,339.10,341.337954688725052701,442583,36555,151070376.00,108892,24.60,9.00,-7.65
18-May-2024,344.40,347.00,344.00,344.75,345.141477227086512972,49796,1176,17186665.00,26146,52.51,3.00,0.35
17-May-2024,341.05,348.95,341.05,344.45,345.698522180760059813,296924,3568,102646188.00,73915,24.89,7.90,3.40
16-May-2024,342.80,343.70,337.45,340.95,340.889525699614205427,224731,3565,76608444.00,90671,40.35,6.25,-1.85
15-May-2024,343.40,347.95,340.05,341.80,343.749665817099470654,224428,2748,77147050.00,42415,18.90,7.90,-1.60
14-May-2024,330.65,342.05,328.05,339.20,337.591750065335362572,520392,10549,175680046.00,272212,52.31,14.00,8.55
13-May-2024,328.55,331.80,321.30,328.25,325.618753029205626562,367258,5186,119586092.00,190253,51.80,10.50,-0.30
10-May-2024,326.00,333.00,322.75,330.55,327.888070605770754235,340822,11550,111751468.00,95543,28.03,10.25,4.55
9-May-2024,333.00,341.40,326.05,327.80,332.221782422116657755,357233,5994,118680584.00,149092,41.74,15.35,-5.20
8-May-2024,336.75,342.25,333.65,337.35,337.630753175502415170,167690,11959,56617301.00,37130,22.14,8.60,0.60
7-May-2024,346.60,348.55,335.65,337.95,339.967000461993532090,666676,16408,226647840.00,327835,49.17,12.90,-8.65
6-May-2024,354.00,356.00,345.50,351.05,350.167430690518132795,296893,3248,103962259.00,79383,26.74,10.50,-2.95
3-May-2024,354.05,358.30,347.80,350.75,353.681084851394563061,331179,4055,117131748.00,71719,21.66,10.50,-3.30
2-May-2024,358.50,363.60,348.55,352.90,356.820808967009951505,985479,12354,351639414.00,283583,28.78,15.05,-5.60
30-April-2024,353.45,360.55,352.25,354.80,356.615518716370116730,464059,4686,165490641.00,98464,21.22,8.30,1.35
29-April-2024,353.25,354.55,344.00,351.80,350.191794067267517249,312335,4462,109377154.00,62155,19.90,10.55,-1.45
26-April-2024,352.45,355.45,348.85,353.25,351.812965914918980358,360715,2912,126904214.00,73977,20.51,6.60,0.80
25-April-2024,348.60,356.80,345.45,351.60,351.177824226137155369,653055,7163,229338434.00,125170,19.17,11.35,3.00
24-April-2024,363.80,364.05,346.85,348.20,353.414436552914194558,774811,12243,273829393.00,264159,34.09,17.20,-15.60
23-April-2024,362.95,366.50,356.85,359.65,361.106989479982506602,875759,10996,316242696.00,169528,19.36,9.65,-3.30
22-April-2024,352.20,355.40,341.95,349.60,347.826410939587543012,391459,10600,136159779.00,78100,19.95,13.45,-2.60
19-April-2024,343.75,359.60,337.00,351.10,352.220089230297409984,1917286,37214,675306646.00,439762,22.94,22.60,7.35
18-April-2024,334.75,353.80,334.75,344.60,346.885430319404641138,1566383,18217,543355441.00,375347,23.96,19.05,9.85
16-April-2024,336.85,339.20,326.65,332.85,333.689524912636310389,1063657,12865,354931199.00,640808,60.25,12.55,-4.00
15-April-2024,320.85,337.50,320.85,334.30,330.593989348861366944,546796,6770,180767471.00,118315,21.64,16.65,13.45
12-April-2024,329.25,335.85,324.00,327.40,328.425911669298218456,1453515,4798,477371989.00,1075927,74.02,11.85,-1.85
10-April-2024,326.00,330.00,317.30,326.65,322.957236722225199635,466475,6655,150651477.00,128978,27.65,12.70,0.65
9-April-2024,328.45,330.95,324.45,327.80,328.064682709212290403,507941,6465,166637503.00,231811,45.64,6.50,-0.65
8-April-2024,319.90,331.30,315.90,327.85,326.579681673259170287,1590190,22666,519323744.00,657405,41.34,15.40,7.95
5-April-2024,306.00,321.25,302.40,314.00,314.428638301695927281,690006,6816,216957647.00,149266,21.63,18.85,8.00
4-April-2024,303.95,310.00,301.50,306.55,306.298995630299089240,801199,13992,245406449.00,321273,40.10,8.50,2.60
3-April-2024,304.45,307.25,298.35,300.65,302.001760779656852708,1147787,11721,346633695.00,415738,36.22,8.90,-3.80
2-April-2024,315.00,315.00,303.80,304.85,307.303041997729852440,484550,12068,148903689.00,110255,22.75,11.20,-10.15
1-April-2024,294.05,318.75,292.10,315.15,307.831722127293116704,2274797,30837,700254678.00,743489,32.68,26.65,21.10
28-March-2024,283.95,292.70,283.45,291.15,289.170953817363844318,735298,10812,212626824.00,163071,22.18,9.25,7.20
27-March-2024,283.95,286.50,279.30,283.15,282.627527335907566038,1006643,12473,284505022.00,479369,47.62,7.20,-0.80
26-March-2024,279.00,286.10,274.30,283.70,279.810131657658387503,1703433,12707,476637812.00,356886,20.95,11.80,4.70
22-March-2024,250.20,275.15,250.20,270.70,262.078252921181317339,1085263,10428,284423831.00,412810,38.04,24.95,20.50
21-March-2024,252.80,254.95,249.50,250.15,251.774774264080657569,493940,17580,124361632.00,143207,28.99,5.45,-2.65
20-March-2024,241.50,252.05,241.50,250.75,246.949632883439495523,1254370,98805,309766211.00,178744,14.25,10.55,9.25
19-March-2024,249.75,251.65,234.00,238.00,242.743837723763262588,618846,13991,150221053.00,97185,15.70,17.65,-11.75
18-March-2024,249.35,251.00,245.75,248.40,248.499952913628323088,392895,8927,97634389.00,175348,44.63,5.25,-0.95
15-March-2024,243.05,252.40,241.40,249.45,246.966663252946099706,566342,10781,139867594.00,125463,22.15,11.00,6.40
14-March-2024,231.35,247.80,231.35,245.95,243.324355654303006884,269149,3180,65490507.00,73956,27.48,16.45,14.60
13-March-2024,248.35,249.85,231.40,236.05,239.693376444378949558,576805,7414,138256338.00,135342,23.46,18.45,-12.30
12-March-2024,250.60,250.60,241.55,247.10,245.985319492968013866,257893,2942,63437892.00,48556,18.83,9.05,-3.50
11-March-2024,255.40,255.40,246.50,247.20,250.987969906446176017,245634,2772,61651179.00,81880,33.33,8.90,-8.20
7-March-2024,253.15,258.20,252.65,255.35,255.173778813028833255,234833,2396,59923224.00,60666,25.83,5.55,2.20
6-March-2024,260.80,260.80,246.05,252.85,251.985577542490120664,946926,9677,238611695.00,261215,27.59,14.75,-7.95
5-March-2024,267.80,271.30,260.20,261.55,267.653018731414657848,1494121,11661,399905996.00,311602,20.86,11.10,-6.25
4-March-2024,265.65,269.80,263.60,268.25,266.865708727285443726,543319,6657,144993210.00,100096,18.42,6.20,2.60
2-March-2024,263.55,267.25,260.95,265.60,265.378728116082544649,181526,5266,48173139.00,108752,59.91,6.30,2.05
1-March-2024,252.50,264.25,246.55,263.15,256.387656092534409228,1147076,13576,294096127.00,313620,27.34,17.70,10.65
29-February-2024,244.35,255.00,240.35,252.45,246.290422383141905098,805785,9040,198457128.00,178768,22.19,14.65,8.10
28-February-2024,241.05,250.35,234.75,244.20,243.452801035694996359,1968147,23776,479150900.00,476717,24.22,15.60,3.15
27-February-2024,248.80,250.35,239.05,240.25,243.295886895833591590,806690,7703,196264359.00,171060,21.21,11.30,-8.55
26-February-2024,245.00,252.80,243.70,246.30,248.918181318338935461,1364065,14610,339540579.00,369274,27.07,9.10,1.30
23-February-2024,230.65,245.40,230.65,241.05,238.871210821161825060,2494076,24676,595762954.00,480854,19.28,14.75,10.40
22-February-2024,220.10,225.95,217.65,225.05,222.120556054779432968,537501,7500,119390021.00,246604,45.88,8.30,4.95
21-February-2024,222.15,225.75,217.00,219.65,222.571560087729108711,849433,9125,189059628.00,416786,49.07,8.75,-2.50
20-February-2024,224.70,225.05,219.75,221.50,222.169235111487440022,372015,4149,82650288.00,169044,45.44,5.30,-3.20
19-February-2024,221.15,227.95,220.55,223.40,225.135743843013635453,789266,6628,177691988.00,291469,36.93,7.40,2.25
16-February-2024,221.55,224.80,219.00,220.90,222.116769093931234882,496938,6651,110378263.00,208960,42.05,5.80,-0.65
15-February-2024,217.70,223.70,216.65,221.30,220.950064160692593289,584470,8113,129138684.00,278504,47.65,7.05,3.60
14-February-2024,207.70,218.70,207.00,216.00,215.550671454337618873,545011,6929,117477487.00,167122,30.66,11.70,8.30
13-February-2024,213.30,214.50,206.85,209.40,211.124449352098607431,768867,14806,162326622.00,251862,32.76,7.65,-3.90
12-February-2024,225.25,226.00,210.50,213.65,218.236919850765977323,507391,5377,110731449.00,222783,43.91,15.50,-11.60
9-February-2024,229.10,229.10,218.20,226.10,223.800280230662049268,1154763,18116,258436283.00,430528,37.28,10.90,-3.00
8-February-2024,226.05,230.30,224.80,227.70,227.645556559538927420,818960,14980,186432605.00,274652,33.54,5.50,1.65
7-February-2024,223.20,226.35,215.00,225.50,215.622704743460215553,38589804,20226,8320837914.00,36102465,93.55,11.35,2.30
6-February-2024,215.85,222.75,213.60,221.25,219.981526889042990079,963292,6873,211906445.00,425776,44.20,9.15,5.40
5-February-2024,216.60,218.25,213.25,214.40,215.223987172634954569,935500,11200,201342040.00,412763,44.12,5.00,-2.20
2-February-2024,221.00,222.35,215.55,216.25,219.330688600960838550,741852,7150,162710910.00,334703,45.12,6.80,-4.75
1-February-2024,215.00,223.50,210.00,219.00,212.000515667294966005,228377873,321707,48416226843.00,188730494,82.64,13.50,4.00
31-January-2024,230.00,230.40,220.90,222.00,223.419135945491367178,466128,4675,104141915.00,163536,35.08,9.50,-8.00
30-January-2024,233.95,234.85,228.60,229.75,231.565803265090676017,397845,4103,92127297.00,88454,22.23,6.25,-4.20
29-January-2024,227.00,233.85,226.25,232.05,229.995565789678403061,385638,3552,88695030.00,88180,22.87,7.60,5.05
25-January-2024,232.40,232.60,221.25,225.40,229.452905999788165311,3493290,6234,801545542.00,3177264,90.95,11.35,-7.00
24-January-2024,225.75,236.00,219.00,229.80,228.947501877371095311,2358351,22362,539938570.00,669549,28.39,17.00,4.05
23-January-2024,215.15,225.35,215.15,217.25,220.183576929988778847,706701,6573,155603954.00,124356,17.60,10.20,2.10
20-January-2024,220.05,222.00,214.50,215.50,218.463096624732601772,309931,3101,67708486.00,131153,42.32,7.50,-4.55
19-January-2024,219.35,221.85,215.90,220.35,218.984073260657086402,426641,5149,93427584.00,119034,27.90,5.95,1.00
18-January-2024,211.80,219.00,206.00,215.80,214.048187796224838599,617563,6821,132188241.00,107502,17.41,13.00,4.00
17-January-2024,215.10,218.70,209.30,211.05,214.217889741991205704,482813,6927,103427182.00,161281,33.40,9.40,-4.05
16-January-2024,222.05,222.35,213.65,219.65,218.623926565827941340,1015549,8262,222023310.00,320764,31.59,8.70,-2.40
15-January-2024,217.90,219.75,212.65,218.50,216.649883472057074910,210250,2706,45550638.00,86332,41.06,7.10,0.60
12-January-2024,216.35,218.10,214.00,216.35,215.409836342590636802,236714,2760,50990524.00,74850,31.62,4.10,0.00
11-January-2024,214.55,219.20,213.00,214.55,215.813515007824872787,533555,6104,115148380.00,167729,31.44,6.20,0.00
10-January-2024,220.15,220.50,212.00,214.40,215.666782339993746283,815515,6840,175879496.00,235926,28.93,8.50,-5.75
9-January-2024,216.20,217.40,209.80,211.40,212.097218253448838465,542429,5726,115047682.00,158337,29.19,7.60,-4.80
8-January-2024,222.85,223.00,211.95,213.10,217.295557161160010421,744614,9191,161801314.00,213332,28.65,11.05,-9.75
5-January-2024,218.25,229.80,217.05,222.30,223.662998239788695443,2020212,18945,451846673.00,698638,34.58,12.75,4.05
4-January-2024,208.85,219.65,208.20,216.45,212.444407920749094100,644939,6964,137013684.00,204003,31.63,11.45,7.60
3-January-2024,202.65,209.35,200.25,207.65,205.814039413335655606,1102368,9865,226882811.00,484297,43.93,9.10,5.00
2-January-2024,202.05,208.90,197.30,202.35,203.172160031454446289,1149599,10730,233566512.00,360753,31.38,11.60,0.30
1-January-2024,198.40,206.35,195.05,202.90,203.169799499132120043,1626377,13879,330430689.00,393922,24.22,11.30,4.50
29-December-2023,187.35,201.75,185.00,199.20,196.022728213974163699,1521193,12854,298188402.00,253012,16.63,16.75,11.85
28-December-2023,186.60,189.70,184.30,185.85,186.378426470816576867,322015,3030,60016649.00,141796,44.03,5.40,-0.75
27-December-2023,187.00,187.50,182.50,186.40,185.299418089784100272,389579,3935,72188762.00,121991,31.31,5.00,-0.60
26-December-2023,186.80,186.95,183.80,185.50,185.296837719364618170,198243,2399,36733801.00,67381,33.99,3.15,-1.30
22-December-2023,187.90,189.15,182.60,185.60,186.552591379790529078,236978,3682,44208860.00,57345,24.20,6.55,-2.30
21-December-2023,179.55,186.50,176.45,185.20,182.297032607532002041,719251,8940,131117323.00,210506,29.27,10.05,5.65
20-December-2023,196.95,197.95,177.00,180.90,184.863868480016674482,997932,10693,184481570.00,247565,24.81,20.95,-16.05
19-December-2023,199.30,201.80,196.10,196.65,199.356758118747263459,484188,5473,96526150.00,160956,33.24,5.70,-2.65
18-December-2023,198.60,200.50,195.60,198.85,197.985221688318421318,366483,4724,72558218.00,111120,30.32,4.90,0.25
15-December-2023,202.80,202.90,196.20,197.40,199.209920582973338569,458340,4104,91305875.00,105055,22.92,6.70,-5.40
14-December-2023,189.60,202.70,187.85,201.00,198.007495151171623461,1296705,13831,256757309.00,585650,45.16,14.85,11.40
13-December-2023,190.00,191.85,187.15,188.10,188.834422242790511968,220404,3773,41619862.00,98779,44.82,4.70,-1.90
12-December-2023,192.20,192.90,188.10,188.95,190.443111138391030362,97752,2149,18616195.00,32302,33.04,4.80,-3.25
