Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,141.45,143.80,135.75,136.15,139.134515820185767504,220383,2706,30662882.00,97723,44.34,8.05,-5.30
31-July-2024,145.50,146.15,139.35,139.95,141.576167928005428515,269687,2795,38181252.00,157617,58.44,6.80,-5.55
30-July-2024,149.25,155.25,144.40,145.25,149.149475745756776954,659699,8021,98393760.00,263802,39.99,10.85,-4.00
29-July-2024,149.55,152.40,147.10,147.65,149.651124892321346663,268159,3718,40130296.00,129219,48.19,5.30,-1.90
26-July-2024,145.05,151.30,145.05,147.55,148.949890574624625277,229837,3082,34234196.00,67280,29.27,6.25,2.50
25-July-2024,144.00,147.20,143.60,144.20,145.249794301386561023,131260,2428,19065488.00,51454,39.20,3.60,0.20
24-July-2024,139.55,149.95,139.55,147.30,145.937525315977728804,145659,2035,21257114.00,53140,36.48,10.40,7.75
23-July-2024,142.70,143.50,132.75,141.45,139.292615492123292873,131654,1886,18338430.00,29243,22.21,10.75,-1.25
22-July-2024,137.65,142.95,136.45,141.25,140.280071420547596946,169139,2176,23726831.00,79299,46.88,6.50,3.60
19-July-2024,146.00,146.00,137.10,137.80,140.955841400815202931,281893,4133,39734465.00,107996,38.31,8.90,-8.20
18-July-2024,148.95,148.95,142.00,143.10,144.821289025714080248,292019,3530,42290568.00,113021,38.70,6.95,-5.85
16-July-2024,148.45,153.85,148.25,148.60,150.760764646351062633,222325,2493,33517887.00,63089,28.38,5.60,0.15
15-July-2024,145.90,154.45,143.00,148.25,150.246095170767441741,780828,7432,117316358.00,306298,39.23,11.45,2.35
12-July-2024,138.80,148.75,137.90,144.85,145.268233932364637079,938237,8124,136296032.00,388561,41.41,10.85,6.05
11-July-2024,138.70,139.85,136.75,138.45,138.117152214572154297,122439,1595,16910926.00,57448,46.92,3.10,-0.25
10-July-2024,140.70,142.00,136.05,138.20,138.453832801388655579,107154,1775,14835882.00,32348,30.19,5.95,-2.50
9-July-2024,141.40,142.85,139.25,140.70,141.236948079106171954,167370,2539,23638828.00,88490,52.87,3.60,-0.70
8-July-2024,138.95,141.80,137.65,139.85,139.821353310680688452,198358,2709,27734684.00,65781,33.16,4.15,0.90
5-July-2024,141.75,141.75,138.00,139.10,139.700646083002213137,313582,4340,43807608.00,192597,61.42,3.75,-2.65
4-July-2024,145.00,145.00,141.30,141.75,142.270995458450963544,122205,1458,17386227.00,78817,64.50,3.70,-3.25
3-July-2024,145.85,145.85,141.90,142.75,143.501495968491691881,118318,1708,16978810.00,62713,53.00,3.95,-3.10
2-July-2024,145.00,148.90,142.50,143.05,145.547092698015729375,303890,3296,44230306.00,96385,31.72,6.40,-1.95
1-July-2024,138.95,144.50,136.80,143.70,141.821169676576985534,213683,3284,30304773.00,71763,33.58,7.70,4.75
28-June-2024,139.35,142.00,136.50,136.80,138.625965502734539335,178275,2473,24713544.00,71589,40.16,5.50,-2.55
27-June-2024,139.10,142.20,135.20,136.05,137.877434708369781539,261787,3067,36094520.00,117553,44.90,7.00,-3.05
26-June-2024,142.30,145.25,138.75,139.40,141.552089557484798425,113804,1431,16109194.00,33671,29.59,6.50,-2.90
25-June-2024,143.90,146.50,142.30,142.85,144.028653762972681101,349099,3464,50280259.00,182138,52.17,4.20,-1.05
24-June-2024,139.40,145.20,138.65,142.15,142.909324418514598445,309896,3800,44287028.00,117100,37.79,6.55,2.75
21-June-2024,138.95,142.05,136.50,140.95,139.584008144578764759,320213,4000,44696614.00,160088,49.99,5.55,2.00
20-June-2024,134.45,139.00,134.45,136.50,136.967701477424402816,260724,2757,35710767.00,101849,39.06,4.55,2.05
19-June-2024,137.45,137.85,133.10,135.20,135.200745052982612230,312461,3223,42244960.00,114450,36.63,4.75,-2.25
18-June-2024,133.65,139.15,133.65,136.70,137.289506728874971640,445171,3693,61117307.00,209789,47.13,5.50,3.05
14-June-2024,134.00,136.90,132.15,134.85,135.202618570838891030,293137,3719,39632890.00,114832,39.17,4.75,0.85
13-June-2024,131.00,136.00,130.30,134.25,134.062651107376950570,257681,3098,34545398.00,70807,27.48,5.70,3.25
12-June-2024,132.05,133.35,129.75,130.20,131.699749203336178876,188599,2212,24838441.00,75975,40.28,3.60,-1.85
11-June-2024,133.50,133.50,130.60,131.75,132.094186774026821903,183805,2680,24279572.00,60989,33.18,2.90,-1.75
10-June-2024,127.00,135.50,125.45,131.65,132.761984480990916347,528642,6419,70183561.00,115467,21.84,10.05,4.65
7-June-2024,122.75,129.60,122.00,125.70,126.780516193523503488,438169,4660,55551292.00,212740,48.55,7.60,2.95
6-June-2024,124.50,124.70,119.35,122.10,122.733770784784398927,114146,1445,14009569.00,44866,39.31,5.35,-2.40
5-June-2024,119.65,121.20,114.20,120.35,118.180711283465610058,83033,1217,9812899.00,41701,50.22,7.00,0.70
4-June-2024,126.15,126.55,109.80,116.10,118.001035635347878557,589976,6950,69617779.00,258751,43.86,16.75,-10.05
3-June-2024,127.00,129.80,126.00,126.85,127.471003293976350486,113237,1454,14434434.00,33675,29.74,3.80,-0.15
31-May-2024,124.95,126.95,123.15,126.45,125.015841443489379839,168924,2662,21118176.00,64786,38.35,3.80,1.50
30-May-2024,125.00,126.15,123.50,124.35,124.597460199676200755,118592,1676,14776262.00,58921,49.68,2.65,-0.65
29-May-2024,127.50,127.50,124.90,125.20,126.071580937606050322,41254,1189,5200957.00,16898,40.96,2.60,-2.30
28-May-2024,127.75,128.50,125.10,126.55,126.722565364081551830,131303,1772,16639053.00,45305,34.50,3.40,-1.20
27-May-2024,126.80,130.05,126.45,127.75,128.351892705650658991,211232,2199,27112027.00,99319,47.02,3.60,0.95
24-May-2024,129.00,131.20,125.60,126.35,128.182393472870898921,277488,3257,35569076.00,86692,31.24,5.60,-2.65
23-May-2024,130.05,131.55,129.60,129.95,130.435332535759162697,132903,2174,17335247.00,59117,44.48,1.95,-0.10
